=== non-contiguous nft : chains ===
Found 400 chain interruption in 1391 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100973019402:	1 
100973205454:	1 
100973484532:	2 
100973670584:	3 1 
100973763610:	1 
100974042688:	1 
100974693870:	2 
100974879922:	1 
100974972948:	2 
100975345052:	1 
100975531104:	1 
100975810182:	3 
100975903208:	1 2 1 
100976368338:	1 1 
100976833468:	1 
100977112546:	1 
102082635639:	1 1 
102206081140:	1 
102471763397:	1 3 
102601279553:	1 
103195132518:	2 
103195411596:	1 1 
103195504622:	1 
103195690674:	1 
103196155804:	2 
103196434882:	1 
103196713960:	1 1 
103196806986:	2 1 
103196993038:	1 
103197179090:	1 
103197458168:	1 1 1 
103197551194:	1 
103197644220:	1 3 
103197923298:	1 1 
103198016324:	1 
103198295402:	1 1 
103198481454:	1 1 
103198574480:	2 
103198667506:	3 
103198946584:	1 
103199225662:	1 
104429403594:	1 1 
104436938700:	1 
104680294717:	1 
105417059582:	2 
105417245634:	1 1 
105417524712:	1 2 
105417617738:	1 
105417710764:	2 
105417803790:	1 1 
105417896816:	1 1 1 
105418175894:	1 2 
105418268920:	2 
105418361946:	1 
105418827076:	2 3 
105419013128:	1 
105419106154:	1 
105419385232:	1 
105419850362:	2 
105420129440:	4 
105420594570:	1 
105421338778:	1 
105421431804:	1 
105421524830:	1 
105421803908:	1 
107639265724:	1 
107640009932:	1 2 
107640289010:	2 
107640661114:	1 
107640754140:	1 
107641033218:	1 
107641498348:	1 1 
107642149530:	1 
107642986764:	1 
108753998391:	1 1 
109861564892:	1 
109861843970:	1 
109861936996:	1 
109862216074:	1 
109862774230:	1 
109862867256:	2 
109863239360:	1 
109863425412:	1 
109864076594:	3 
109864355672:	1 2 
109864634750:	1 
109864820802:	1 1 
109865658036:	2 
109865751062:	1 1 
109866123166:	1 
109866309218:	1 
110283998067:	1 1 
111103650152:	1 1 
112083771034:	2 
112083957086:	3 
112084050112:	3 
112084143138:	1 1 
112084236164:	1 
112084701294:	1 4 
112084794320:	2 
112085352476:	2 1 
112085445502:	1 
112085538528:	1 
112086189710:	1 1 
112086282736:	4 
112086933918:	1 
112087119970:	1 2 
112087212996:	1 
112087492074:	2 
112087585100:	2 
112087678126:	1 
112088143256:	1 
114305977176:	1 
114306256254:	2 1 
114306442306:	1 1 
114307558618:	1 
114307930722:	1 
114308395852:	3 
114308581904:	1 
114309233086:	2 
114309884268:	1 
114309977294:	1 2 3 
114310070320:	1 2 
114310721502:	2 
114629802791:	1 
116259171563:	6 
116528183318:	1 
116528276344:	1 
116528555422:	2 
116528648448:	1 1 
116529113578:	1 
116529206604:	1 
116529578708:	1 
116529857786:	1 
116531067124:	1 
116531439228:	1 
116532276462:	1 
116532369488:	1 
116532462514:	1 
116533113696:	2 
118750482486:	1 
118750668538:	1 2 1 
118751412746:	2 1 
118751877876:	1 
118752063928:	1 
118752249980:	1 
118752808136:	1 
118753087214:	1 
118753459318:	1 
118753552344:	1 
118753645370:	1 
118753831422:	1 1 
118754575630:	3 
118754668656:	1 
118754947734:	1 
118755040760:	1 
119992195642:	1 
120100961419:	2 
120972688628:	1 1 
120973153758:	2 
120973711914:	1 
120974270070:	2 
120974735200:	1 
120974828226:	1 
120975014278:	1 
120975293356:	2 
120975386382:	2 1 
120976037564:	1 3 
120976130590:	1 
120976502694:	2 
120976688746:	1 
120977339928:	1 
120977525980:	2 
123194987796:	1 2 
123195452926:	1 
123195918056:	2 2 
123196011082:	2 
123196383186:	2 2 
123196476212:	1 1 
123196848316:	1 
123197313446:	1 
123197499498:	2 
123197592524:	1 1 
123197871602:	2 
123198336732:	1 1 
123198615810:	3 
123198801862:	2 
123199360018:	2 
123199546070:	1 
123199639096:	1 
124436980030:	1 1 
125417659068:	1 
125417845120:	2 
125417938146:	1 
125418217224:	1 
125418310250:	2 
125418961432:	1 
125419798666:	1 
125420170770:	1 2 1 
125420821952:	2 
125421287082:	2 
125421659186:	1 
125421752212:	1 
126182055819:	1 1 
126651558040:	1 
127640144288:	2 
127640330340:	2 
127640516392:	2 1 
127640609418:	1 
127640702444:	1 
127640981522:	1 
127641167574:	2 
127641446652:	1 
127642004808:	1 1 
127642097834:	1 
127642283886:	1 
127642376912:	1 1 
127642469938:	3 
127642842042:	2 
127642935068:	3 
127643028094:	2 1 
127643400198:	2 
127643679276:	1 
127643772302:	1 
127643958354:	2 1 
128872833922:	1 
129734829112:	1 
129861978326:	2 
129862350430:	1 
129862443456:	1 
129862815560:	1 
129863001612:	1 
129863094638:	2 
129863466742:	1 
129863652794:	1 1 
129863745820:	1 1 
129863838846:	1 
129864024898:	2 
129864210950:	1 
129864303976:	3 
129864490028:	2 
129864583054:	1 
129864676080:	1 
129865141210:	1 
129865885418:	1 
129866164496:	1 2 3 
129866350548:	1 1 
132083998416:	1 
132084463546:	1 
132084649598:	1 
132084928676:	2 
132085021702:	1 
132085114728:	1 
132085486832:	1 
132085951962:	1 
132086603144:	1 
132087161300:	2 
132087440378:	1 
132087626430:	3 
132088091560:	2 
132088184586:	1 1 
132088649716:	1 
134305925480:	1 
134306018506:	1 
134306204558:	1 
134306297584:	1 
134306669688:	1 
134306948766:	1 1 
134307227844:	1 
134307599948:	1 
134307786000:	1 
134307879026:	1 
134308065078:	1 
134308809286:	1 
134308902312:	1 1 
134309274416:	1 1 
134309553494:	1 
134309739546:	2 1 
134310204676:	1 
134310390728:	1 
134310576780:	1 
136301444589:	1 3 
136528224648:	1 
136528503726:	1 
136528875830:	3 
136529247934:	1 
136529433986:	1 
136529992142:	2 
136530085168:	1 
136530457272:	1 
136530736350:	2 
136531108454:	1 
136531294506:	1 
136531387532:	2 
136531573584:	1 
136532038714:	2 
136532596870:	1 
136533062000:	1 
138750430790:	1 
138750523816:	2 
138750709868:	2 
138751361050:	1 
138751640128:	1 3 1 
138751733154:	1 
138751826180:	1 
138752012232:	1 1 
138752105258:	2 
138752570388:	1 
138752849466:	1 
138752942492:	1 
138753407622:	1 
138753872752:	2 
138754058804:	1 
138754244856:	2 
138754430908:	2 
138754523934:	1 
140465196377:	1 1 
140912264113:	2 2 
140973009036:	1 
140973102062:	2 1 
140973381140:	1 
140973567192:	1 
140973846270:	1 
140974404426:	2 
140974683504:	1 
140974962582:	2 
140975148634:	1 
140975520738:	1 1 2 
140975985868:	1 
140976544024:	2 
140976637050:	2 1 
140976916128:	1 
140977381258:	1 
142207466164:	1 1 
142214815218:	1 1 
143194936100:	1 
143195122152:	1 
143195215178:	1 1 
143195866360:	1 
143197447802:	1 
143197726880:	1 1 
143197819906:	3 
143198098984:	1 
143198285036:	1 1 
143198378062:	1 1 
143198657140:	1 
143198750166:	2 1 
143198843192:	1 1 
143199029244:	1 
143199494374:	1 1 
145417142242:	1 1 
145417328294:	2 
145417421320:	1 2 1 
145418351580:	2 
145418723684:	1 
145418909736:	3 
145420212100:	1 
145420305126:	1 
145420398152:	1 
145420491178:	1 
145420584204:	1 
145420677230:	1 
145421235386:	1 1 
145421700516:	1 
145421793542:	2 
146450385186:	1 1 
146658390268:	1 1 
147392229203:	1 
147639813514:	1 
147640092592:	2 
147640185618:	1 
147640278644:	1 1 
147641487982:	1 1 
147641767060:	1 
147641860086:	1 
147642046138:	1 
147642697320:	1 
147642883372:	1 
147643813632:	1 
147644092710:	1 
149615551657:	1 
149861647552:	1 
149861926630:	1 
149862298734:	1 
149862391760:	1 1 1 
149862670838:	1 
