=== non-contiguous nft : chains ===
Found 56 chain interruption in 5926 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
10000:	1 
10001:	1 
10002:	1 
10003:	2 
10004:	1 
10005:	2 
10006:	1 
10007:	2 
10011:	1 
10012:	1 
10013:	1 
10014:	1 
10015:	1 
10017:	1 
10019:	1 
1002:	1 
10021:	1 
10022:	1 
10024:	1 
10025:	1 
10026:	1 
10027:	1 
10028:	2 
10029:	5 
10030:	1 
10031:	1 
10032:	1 
10033:	1 
10034:	1 
10036:	1 
10038:	2 
10039:	1 
1004:	1 
10040:	1 
10041:	1 
10046:	1 
10047:	1 
10048:	1 
10049:	1 
1005:	1 
10050:	1 
10054:	1 
10055:	1 
10056:	2 
10059:	2 
1006:	2 
10060:	1 
10061:	1 
10062:	1 
10064:	1 
10065:	2 
10066:	1 
10067:	1 
10068:	2 
1007:	1 
10072:	2 
10073:	1 
10074:	1 
10077:	1 
10078:	2 
10079:	1 
1008:	1 
10080:	1 
10081:	2 
10082:	1 
10083:	1 
10084:	1 
1009:	1 
10090:	3 
10091:	2 
10093:	1 
10096:	1 
10097:	1 
101:	1 
10100:	1 
10104:	2 
10108:	1 
10109:	3 
10111:	1 
10112:	1 
10113:	2 
10114:	4 
10115:	2 
10116:	1 
10117:	3 
10119:	1 
10121:	3 
10124:	2 
10125:	1 
10126:	1 
10129:	1 
10131:	1 
10132:	2 
10133:	1 
10134:	1 
10135:	1 
10136:	1 
10137:	2 
10138:	1 
10139:	1 
10140:	1 
10141:	2 
10142:	2 
10143:	2 
10145:	1 
10146:	1 
10147:	1 
10148:	1 
10149:	1 
10150:	1 
10154:	2 
10155:	1 
10157:	1 
10158:	1 
10159:	1 
10160:	1 
10161:	2 
10162:	1 
10163:	1 
10164:	1 
10165:	1 
10169:	1 
10173:	1 
10174:	1 
10175:	1 
10177:	1 
10180:	1 
10181:	1 
10182:	3 
10185:	1 
10186:	1 
10187:	3 
