=== non-contiguous nft : chains ===
Found 310 chain interruption in 6706 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 2 
10001:	3 
10002:	1 
10003:	2 
10004:	2 
10005:	3 
10006:	3 
10007:	1 
10008:	1 
10009:	3 
10010:	1 
10011:	1 
10012:	2 
10013:	2 
10014:	1 
10015:	1 
10016:	1 
10017:	2 
10018:	2 
10019:	2 
1002:	1 
10020:	1 
10021:	1 
10022:	2 
10023:	1 
10024:	2 
10025:	1 
10026:	1 
10027:	1 
10028:	2 
1003:	1 
10031:	1 
10032:	1 
10035:	1 
10036:	1 
10037:	2 
10038:	1 
1004:	1 
10046:	3 
10047:	2 
10048:	1 
10049:	2 
1005:	3 
10050:	2 
10051:	1 
10052:	2 
10053:	2 
1006:	1 
10060:	2 
10061:	1 
10062:	2 
10064:	1 
10065:	1 
10066:	2 
10067:	3 
10068:	2 
10069:	2 
1007:	1 
10070:	2 
10071:	1 
10072:	2 
10073:	2 
10074:	2 
10075:	2 
10076:	2 
10077:	2 
10078:	2 
10079:	2 
1008:	2 1 
10080:	1 
10081:	4 
10082:	4 
10083:	2 
10084:	1 
10085:	1 
10086:	2 
10087:	1 
10088:	2 
10089:	4 
1009:	1 
10090:	1 
10091:	2 
10092:	1 
10093:	2 
10094:	1 
10098:	2 
10099:	2 
1010:	1 
10100:	1 
10101:	4 
10102:	1 
10103:	1 
10104:	1 
10105:	1 
10106:	1 
10107:	1 
10108:	2 
10109:	1 
1011:	1 
10110:	1 
10111:	1 
10112:	1 
10113:	2 
10114:	1 
10115:	1 
10116:	2 
10117:	1 
10118:	1 
10119:	1 
1012:	2 
10120:	1 
10121:	1 
10122:	2 
10123:	2 
10124:	1 
10125:	1 
10126:	1 
10127:	1 
10128:	3 
10129:	1 1 
1013:	1 1 
10130:	2 
10131:	2 
10132:	2 
10133:	2 
10135:	1 
10137:	3 
10138:	1 
10139:	2 
1014:	1 
10140:	2 
10141:	1 
10142:	1 
10143:	1 
10144:	2 
10146:	1 
10147:	1 
10148:	1 
10149:	2 
1015:	1 
10150:	1 
10151:	1 
10152:	2 
10153:	2 
10156:	1 
1016:	1 
10160:	1 
10161:	1 
10162:	4 1 
10164:	1 
10165:	1 
10168:	1 
10169:	1 
10170:	1 
10171:	1 
10174:	1 1 
10177:	1 
1018:	1 
10182:	2 
1019:	2 
1020:	2 
1021:	1 
10212:	2 
10213:	2 
10214:	1 
10216:	1 
10217:	1 
10226:	2 
10227:	2 
10228:	1 
10229:	1 
1023:	3 
10230:	2 
10231:	1 
10232:	2 
10233:	4 2 
10234:	6 
10235:	2 
10236:	2 
10237:	2 
10238:	3 
10239:	2 
1024:	1 
10240:	2 
10241:	3 1 
10242:	2 
10243:	1 
10244:	1 
10245:	2 
10246:	2 
10247:	1 
10248:	1 
10249:	2 1 
1025:	1 
10250:	2 1 
10251:	2 1 1 
10252:	2 
10253:	2 
10254:	1 
10255:	2 
10256:	2 
10257:	3 
10258:	2 
10259:	3 
1026:	1 
