=== non-contiguous nft : chains ===
Found 468 chain interruption in 8227 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1003:	1 
1004:	1 1 
1009:	2 
101:	3 
1012:	1 
1018:	1 
1019:	1 
102:	4 
1020:	1 
1021:	3 
1022:	3 
1023:	1 
1024:	1 
1025:	1 
1026:	1 
1027:	1 
1028:	3 
1029:	2 
103:	1 
104:	1 
1045:	3 
1046:	1 
1047:	1 
1048:	2 
1049:	1 
105:	2 
1050:	2 
1051:	1 
1052:	2 
1053:	2 
1054:	1 1 
1055:	1 
1056:	1 
1057:	1 
1058:	2 
1059:	1 
106:	3 
1060:	1 
1061:	3 
1062:	3 
1063:	2 
1064:	1 
1065:	5 
1066:	3 
1067:	1 
1068:	2 
1069:	1 
107:	3 
1070:	2 
1071:	3 
1072:	1 
1075:	4 
1077:	1 
1078:	1 
1079:	2 
108:	2 
1080:	1 
1082:	2 
1087:	2 
1088:	2 2 
1089:	1 
109:	1 
1090:	1 
1091:	1 
1092:	1 
1094:	1 
1096:	1 
1097:	1 
1098:	1 
11:	1 
110:	2 
1100:	1 
1102:	1 
1103:	4 
1108:	1 
111:	1 
1111:	1 
1113:	2 
1115:	1 
1116:	1 
1117:	1 
112:	2 
1120:	1 
1121:	4 
1122:	2 
1124:	3 1 
1125:	2 
1126:	2 
1127:	2 
1128:	1 
1129:	2 1 
113:	2 
1130:	1 
1131:	2 
1132:	1 
1133:	2 
1134:	1 
1135:	3 
1136:	1 
1137:	2 
1138:	3 
1139:	4 
114:	3 
1140:	1 
1141:	2 
1142:	2 
1143:	1 
1144:	2 
1145:	2 
1148:	1 
1149:	1 
115:	3 
1150:	2 
1151:	2 
1152:	3 
1154:	3 
1155:	1 
1157:	1 
1158:	1 
116:	2 
1160:	2 
1161:	1 
1162:	1 
1164:	1 
1165:	2 
1166:	1 
1168:	1 
1169:	1 
117:	3 
1170:	3 
1171:	1 
1172:	1 
1174:	2 
