=== non-contiguous nft : chains ===
Found 2353 chain interruption in 7517 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000004:	1 
1000006:	4 
1000008:	1 
1000019:	2 
1000020:	1 
1000022:	1 
1000026:	1 
1000027:	1 
1000030:	2 
1000035:	1 
1000037:	1 
1000040:	1 
1000041:	2 2 
1000042:	1 
1000044:	1 
1000046:	1 
1000047:	1 
1000049:	2 1 
1000050:	1 
1000053:	1 
1000058:	4 
1000059:	1 
1000060:	1 
1000061:	1 
1000064:	1 
1000066:	1 
1000068:	2 
1000070:	5 1 
1000071:	1 6 
1000073:	2 
1000076:	4 
1000078:	2 
1000080:	2 
1000081:	2 1 
1000082:	1 
1000086:	2 
1000088:	1 
1000089:	1 
1000090:	2 
1000091:	2 
1000092:	2 
1000093:	2 1 2 
1000095:	1 
1000101:	1 
1000102:	3 
1000103:	1 
1000104:	1 
1000105:	1 
1000108:	2 
1000111:	1 
1000112:	5 2 
1000113:	1 2 
1000114:	1 
1000115:	2 1 1 1 1 
1000116:	1 
1000117:	3 
1000118:	1 
1000119:	2 
1000120:	1 
1000122:	2 1 
1000123:	1 
1000124:	1 
1000125:	1 
1000127:	2 1 
1000129:	2 2 
1000130:	2 3 
1000131:	1 
1000135:	1 
1000136:	5 
1000137:	3 
1000139:	1 1 1 1 1 
1000141:	1 
1000144:	2 
1000145:	1 
1000146:	1 
1000147:	1 
1000148:	3 1 
1000151:	1 
1000153:	4 
1000154:	1 
1000157:	1 3 
1000159:	1 
1000161:	1 
1000166:	1 
1000167:	2 
1000169:	4 
1000170:	1 
1000175:	1 
1000177:	1 
1000182:	2 
1000184:	2 
1000186:	3 
1000192:	1 
1000194:	3 
1000198:	2 
1000200:	1 
1000202:	1 
1000203:	1 
1000206:	2 
1000207:	1 2 
1000208:	1 1 4 
1000209:	2 
1000210:	1 3 
1000211:	2 1 2 
1000213:	1 
1000214:	1 
1000215:	1 
1000219:	2 2 1 2 
1000222:	1 1 
1000224:	5 
1000226:	1 1 
1000227:	4 1 
1000229:	4 
1000231:	2 
1000233:	1 
1000234:	1 
1000238:	2 1 1 
1000239:	1 
1000241:	3 
1000243:	2 
1000245:	1 
1000249:	1 
1000250:	1 
1000252:	2 
1000253:	2 
1000254:	3 
1000255:	1 
1000257:	3 
1000259:	2 1 2 
1000262:	1 1 
1000265:	4 
1000268:	2 
1000269:	1 
1000270:	1 
