=== non-contiguous nft : chains ===
Found 1404 chain interruption in 6159 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	3 
10003:	1 1 
1001:	3 2 
10011:	1 
10013:	1 1 
10014:	1 
10016:	1 
10018:	2 
1002:	3 
10020:	2 
10021:	2 
10023:	2 1 
10024:	1 1 
10028:	1 1 
10029:	1 
1003:	2 
10030:	1 1 
10033:	1 
10035:	1 
10038:	1 
10039:	1 
1004:	3 
10046:	1 1 
10047:	1 
10051:	1 1 
10055:	1 1 
10056:	1 1 
10059:	1 1 
10061:	1 3 1 
10062:	1 1 
10064:	1 
10076:	1 
10077:	1 1 
10079:	1 1 1 
1008:	1 1 
10086:	1 
10087:	1 3 
10088:	1 
10094:	1 
10097:	1 
101:	2 
1010:	2 
10100:	1 
10103:	2 
10108:	2 
1011:	1 
10111:	1 
10112:	1 
10114:	1 
10119:	1 1 
1012:	3 
10120:	1 
10121:	1 1 
10125:	2 
10128:	1 
1013:	3 
10130:	1 
10133:	2 1 
10134:	4 
10139:	1 
1014:	1 
10145:	1 
10148:	2 
10149:	1 
10158:	1 
10159:	1 
10163:	1 1 
10167:	1 
10169:	1 2 1 
1017:	2 
10170:	1 
10180:	1 
10182:	1 
10184:	1 
1019:	3 
102:	1 
1020:	1 
10203:	1 
10206:	4 
10207:	1 1 
10208:	2 
1021:	1 
10211:	1 
10218:	1 1 
1022:	1 
10229:	1 
10235:	3 2 2 1 
10239:	1 
1024:	2 
10242:	1 
10243:	1 1 
10247:	1 
10248:	1 
1025:	1 
10251:	1 
1026:	1 
10260:	1 
10265:	1 
10266:	1 2 1 
10267:	1 
10269:	1 1 
1027:	1 1 
10271:	1 1 
10273:	1 
10274:	1 
10275:	1 
10276:	1 
10278:	1 1 
1028:	1 1 
10283:	2 2 2 
10287:	1 5 
1029:	1 1 
10290:	2 
10299:	2 
103:	2 
10302:	1 
10304:	1 
10305:	1 
10307:	1 1 1 1 1 
1031:	1 2 
10315:	1 
10318:	2 
10319:	1 
1032:	1 1 
10320:	3 
10324:	2 
10328:	1 
10330:	1 1 
10334:	2 
10336:	1 
10341:	1 1 
10342:	1 1 
10347:	1 3 
1035:	2 
10350:	3 2 
10352:	1 2 
10354:	1 
10355:	1 
10359:	1 
1036:	1 
10364:	1 
10365:	2 1 
10366:	2 
10367:	1 
1037:	1 1 
10371:	2 
10372:	1 1 2 1 
10379:	1 
1038:	1 
10380:	1 1 
10385:	2 1 
10387:	1 
1039:	2 
10391:	3 
104:	3 
1040:	1 
10406:	1 
10413:	1 1 
10415:	1 
10421:	1 
10422:	1 
10423:	1 
10424:	1 1 
10429:	1 
10432:	1 
10435:	1 1 
10440:	1 7 
10441:	1 1 1 
10444:	1 
10446:	1 
10460:	1 1 
10462:	1 
10463:	1 
10464:	1 1 
10468:	4 
10469:	1 
1047:	1 
10471:	1 
10472:	1 1 
10474:	1 
1048:	1 
10496:	1 1 
10499:	1 
105:	1 
10501:	1 1 
10502:	1 
10503:	1 
10504:	1 3 6 
10519:	3 4 2 
10522:	1 
10524:	1 
10526:	1 
10536:	1 
10539:	1 
1054:	1 
10542:	2 
10546:	5 
1055:	1 
10567:	1 
10570:	1 1 
10571:	2 
10575:	1 5 
1058:	2 
1059:	1 
10591:	1 
10597:	1 
106:	1 
10603:	1 1 
10605:	1 
1061:	1 
10614:	1 1 
1062:	1 
10625:	1 
10628:	1 
1063:	1 
10639:	1 
1064:	2 1 
10643:	1 
10645:	2 1 1 1 
10648:	1 
10649:	1 1 
10651:	1 
10655:	2 
10656:	2 
10659:	1 
1066:	1 
10666:	1 
10671:	1 
10672:	2 
10679:	1 1 
10681:	1 1 
10682:	2 
10683:	1 1 
10687:	1 
10691:	1 
107:	1 
10703:	2 1 
10705:	1 
10707:	1 1 
10710:	1 1 
10714:	1 1 1 
10715:	1 
10716:	2 
10724:	2 
10729:	1 
10732:	1 
10745:	1 1 
10746:	3 
10753:	3 1 
10757:	1 
10760:	1 
10765:	1 2 
10771:	1 1 
10775:	1 1 
10780:	1 
10787:	1 1 
10788:	1 1 
10789:	1 
10791:	1 1 
10795:	1 
108:	1 
10815:	1 1 
10816:	3 
1082:	1 
10822:	1 1 
10826:	2 
10828:	9 
10829:	1 
10833:	1 1 
1084:	1 
10840:	1 
10844:	1 
10849:	1 
1085:	4 1 
10856:	1 
10857:	3 
10859:	2 
1086:	3 
10864:	1 1 
10865:	2 
1087:	3 1 
10870:	1 
10873:	1 
10878:	1 
1088:	3 1 1 1 
10881:	2 
10884:	1 1 
10887:	6 
10888:	9 
1089:	2 
10893:	1 2 2 
10899:	1 
109:	1 
1090:	1 
10900:	1 1 1 
10904:	1 
10908:	3 1 
1091:	2 
10910:	1 
10915:	1 
1092:	3 
10921:	4 
10924:	2 
10927:	21 1 
1093:	2 
