=== non-contiguous nft : chains ===
Found 3261 chain interruption in 8006 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
10:	2 
100:	2 
1001:	4 
1002:	3 
1003:	4 
1004:	2 7 
1005:	2 
1006:	1 
1007:	1 6 
1008:	7 1 
1009:	1 
101:	1 
1010:	4 
1011:	2 
1012:	4 
1013:	3 
1015:	1 8 
1016:	5 
1017:	4 6 
1018:	4 
1019:	3 
102:	4 
1020:	2 4 2 
1021:	4 
1022:	1 2 
1023:	2 
1024:	3 
1025:	2 
1026:	4 4 
1027:	4 2 
1028:	2 
103:	1 
1030:	1 
1031:	1 
1032:	1 
1033:	1 2 
1034:	6 
1035:	3 2 
1036:	7 2 
1037:	2 
1038:	1 1 
1039:	4 1 
1040:	4 
1041:	4 
1042:	1 2 
1043:	4 3 
1044:	1 
1045:	4 2 
1046:	4 
1047:	3 
1048:	4 1 
1050:	2 1 
1051:	5 4 
1052:	1 2 1 1 
1053:	1 
1054:	1 1 1 2 1 
1055:	3 2 2 1 
1056:	3 2 
1057:	3 
1058:	2 3 
1059:	1 
106:	3 
1060:	2 2 1 
1061:	2 
1062:	2 
1063:	3 1 
1064:	3 1 
1066:	3 1 2 1 
1067:	3 3 1 1 
1068:	5 
1069:	5 
107:	2 
1070:	1 
1071:	5 
1072:	1 
1073:	4 2 6 2 2 
1074:	3 1 2 
1077:	4 2 
1079:	1 
108:	4 
1080:	5 1 
1082:	1 
1083:	4 
1084:	2 
1085:	10 3 
1086:	3 
1088:	5 
1089:	1 
109:	4 
1093:	2 
1094:	2 3 
1095:	2 
1096:	3 
1097:	4 1 
1098:	1 1 
11:	2 
110:	1 
1100:	2 4 1 
1103:	3 4 
1104:	1 1 5 
1105:	1 
1106:	6 
1107:	2 
1108:	2 
111:	1 
1110:	1 2 1 
1114:	2 
1115:	2 
1118:	3 
1119:	1 
112:	2 2 
1121:	1 1 1 
1123:	5 2 1 
1125:	4 3 5 
1126:	2 2 2 
1127:	4 
1128:	10 
113:	2 2 6 
1130:	1 
1132:	1 2 
1133:	5 
1134:	3 
1135:	4 
1136:	1 
1137:	5 
1138:	1 
1139:	2 
114:	7 
1140:	2 
1142:	1 
1144:	2 3 1 
1145:	2 
1146:	1 
1147:	2 7 2 
1148:	2 
1149:	1 3 
115:	3 
1150:	1 1 2 
1151:	1 
1152:	6 
1154:	4 
1155:	3 
1156:	1 2 3 
1157:	2 
1158:	4 
1159:	2 
116:	2 
1161:	1 1 
1162:	2 
1163:	6 
1164:	2 
1165:	6 
1166:	3 
1167:	2 
1169:	3 
117:	1 1 
1170:	3 
1172:	5 
1173:	6 
1174:	3 
1175:	1 
1176:	5 2 5 
1178:	5 
1179:	1 
118:	4 5 
1180:	3 
1181:	1 5 
1182:	5 1 3 5 
1183:	7 
1184:	3 
