=== non-contiguous nft : chains ===
Found 121 chain interruption in 825 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	2 
101:	2 2 
103:	1 
105:	1 
106:	2 
107:	1 
108:	3 2 
109:	1 
110:	3 1 
111:	2 
112:	1 
113:	1 
114:	1 
115:	1 
116:	4 
117:	3 
118:	3 
119:	1 
12:	1 
120:	2 
121:	2 
122:	3 
123:	2 1 
124:	1 
125:	1 
126:	1 
128:	2 
13:	1 2 
131:	2 
132:	2 
133:	1 
137:	3 
138:	1 
139:	1 
14:	3 
140:	1 
141:	1 
142:	2 
143:	1 
144:	3 
145:	4 
147:	2 
149:	2 
15:	1 
150:	2 
153:	3 2 1 
154:	3 
155:	1 
156:	1 
157:	1 
158:	1 1 
159:	6 
161:	2 
162:	1 
163:	5 1 
164:	2 
167:	3 
168:	3 
169:	3 
17:	1 
170:	2 1 
171:	2 
172:	1 1 
173:	2 
174:	2 
175:	1 
176:	1 
177:	2 
178:	1 
18:	3 
180:	1 
185:	1 2 
186:	4 
187:	1 
188:	1 1 
189:	1 
19:	2 
190:	3 
191:	1 
192:	3 3 
193:	2 
194:	5 
195:	2 
196:	1 
197:	1 
198:	1 
199:	1 2 
2:	3 
20:	1 
200:	2 
201:	2 
202:	2 
203:	1 
204:	1 
205:	2 
206:	1 
207:	1 
208:	1 
209:	1 
21:	2 1 
210:	2 
211:	1 
212:	1 
213:	1 
214:	2 
216:	2 
217:	3 
218:	2 
22:	1 4 
220:	2 
228:	4 
229:	1 
23:	1 
230:	3 
231:	2 
232:	1 
236:	1 
237:	1 
240:	1 
241:	3 
242:	2 
243:	2 
244:	1 
245:	1 
246:	3 
256:	1 
257:	1 
258:	1 
259:	2 1 1 
26:	1 
260:	1 
261:	1 
263:	2 
264:	2 
265:	1 
266:	1 
267:	2 
268:	2 
269:	3 
27:	2 
270:	1 
271:	1 
272:	2 
273:	2 
274:	1 
275:	3 
28:	1 
280:	1 
283:	2 
284:	1 
285:	2 
29:	1 1 
290:	2 
293:	1 
294:	1 
295:	1 
296:	1 
297:	2 
298:	3 
299:	3 
3:	3 
30:	1 1 
300:	1 
301:	3 
302:	1 3 
303:	3 
304:	2 
305:	2 
307:	1 1 
308:	1 
309:	2 
31:	2 
310:	4 
312:	1 
313:	3 
314:	2 
315:	1 
316:	2 1 
317:	2 
318:	2 
319:	3 
32:	1 
320:	1 
321:	1 
322:	1 
323:	1 
326:	1 
327:	2 
329:	3 
33:	2 
330:	1 
331:	1 2 
332:	1 
333:	1 
334:	2 
335:	3 
336:	3 
337:	1 
338:	2 
339:	1 
34:	1 1 1 
340:	1 1 
341:	2 
342:	1 
343:	4 
344:	4 
345:	1 
346:	2 
347:	2 
348:	1 
349:	5 
35:	1 
350:	1 
351:	3 
352:	1 
353:	1 
354:	1 
356:	3 
357:	2 
358:	1 
359:	1 
36:	1 
361:	1 
362:	1 2 
363:	1 
364:	1 
365:	3 
366:	2 
368:	2 
369:	2 2 
37:	2 
