=== non-contiguous nft : chains ===
Found 47 chain interruption in 4645 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10002:	2 
10013:	1 
10015:	2 
10019:	1 
10020:	1 
10024:	1 
10025:	1 
10033:	3 
10035:	3 
10036:	3 
10037:	1 
10038:	1 
10040:	1 
10041:	1 
10043:	1 
10044:	1 
10045:	1 
10046:	2 
10049:	2 
10050:	4 
10051:	2 
10054:	1 
10055:	2 
10057:	3 
10058:	2 
10059:	1 
10060:	1 
10061:	5 
10063:	3 
10065:	1 
10067:	1 
10068:	2 
10069:	1 
10071:	3 
10072:	1 
10073:	1 
10075:	2 
10076:	1 
10078:	1 
10079:	1 
10080:	1 
10081:	1 
10083:	1 
10085:	1 
10086:	1 
10087:	2 
10088:	1 
10089:	2 
10091:	2 
10092:	1 
10093:	1 
10095:	2 
10096:	3 
10098:	1 
10101:	2 
10103:	1 
10105:	2 
10107:	3 
10109:	1 
10111:	1 
10112:	1 
10115:	1 
10119:	2 
10122:	1 
10123:	1 
10124:	1 
10134:	2 
10135:	1 
10138:	1 
10139:	3 
10146:	1 
10162:	2 
10163:	1 
10164:	2 
10167:	1 
10168:	1 
10169:	2 
10170:	1 
10171:	1 
10174:	2 
10175:	1 
10176:	3 
10188:	1 
10189:	1 
10190:	1 
10191:	3 
10192:	3 
10194:	1 
10195:	1 
10196:	2 
10197:	1 
10198:	2 
10200:	1 
10202:	1 
10206:	1 
10208:	1 
10211:	1 
10212:	3 
10213:	2 
10214:	2 
10215:	1 
10216:	1 
10217:	1 
10218:	1 
10219:	1 
10220:	1 
10221:	2 
10222:	2 
10223:	2 
10224:	1 
10225:	3 
10226:	1 
10227:	1 
10228:	1 
10229:	1 
10230:	1 
10232:	1 
10233:	2 
10235:	1 
10236:	1 
10237:	3 
10238:	2 
10239:	3 
10240:	1 
10244:	1 
10245:	2 
10246:	1 
10247:	1 
10248:	4 
10249:	2 
10250:	1 
10252:	4 
10254:	1 
10255:	2 
10257:	2 
10260:	2 
10261:	2 
10262:	1 
10263:	1 
10264:	1 
10265:	1 
10266:	2 1 
10267:	2 
10268:	3 
10269:	1 
10272:	1 
10273:	1 
10274:	3 
10275:	1 
10281:	2 
10282:	1 
10285:	1 
10291:	1 
10292:	1 
10295:	1 
10298:	2 
10299:	1 
10300:	1 
10302:	1 
10303:	2 
10304:	2 
10305:	2 
10306:	1 
10307:	1 
10308:	1 
10309:	2 
10310:	2 
10313:	1 
10314:	1 
10315:	1 
10316:	1 
10318:	2 
10319:	1 
10320:	1 
10321:	1 
10322:	1 
10323:	2 
10324:	2 
10325:	2 
10328:	2 
10330:	2 
10332:	1 1 
10333:	1 
10334:	1 
10335:	1 
10336:	1 
10337:	2 
10338:	3 
10340:	5 
10341:	2 
10343:	1 
10344:	1 
10345:	1 
10346:	1 
10347:	1 
10348:	1 
10349:	1 
10351:	1 
10352:	2 
10353:	1 
10357:	1 
10358:	2 
10361:	1 
10367:	4 
10369:	1 
10370:	3 
10373:	2 
10374:	1 
10375:	1 
10376:	1 
10377:	1 
10379:	1 
10380:	2 
10381:	1 
10383:	1 
10384:	1 
10386:	1 
10388:	1 
10392:	1 
10393:	1 
10394:	1 
10395:	3 
10396:	1 
10397:	1 
10398:	1 
10399:	1 
10402:	2 
10403:	1 3 
10404:	2 
10405:	2 
10406:	2 
10407:	2 
10408:	1 
10409:	2 
10410:	2 
10411:	1 
10412:	1 
10413:	1 
10414:	2 
10416:	1 
10418:	1 
10419:	1 
10420:	3 
10421:	1 
10424:	1 
10425:	1 
10427:	1 
10428:	1 
10429:	2 
10432:	1 
10433:	2 
10434:	3 
10438:	1 
10439:	2 
10441:	1 
10442:	1 
10443:	2 
10444:	1 
10445:	1 
10446:	2 
10447:	1 
10448:	4 
10449:	1 
10450:	2 
10451:	1 
10452:	2 
10453:	2 
10454:	1 
10455:	2 
10456:	1 
10457:	3 
10458:	1 
10459:	2 
10460:	2 
10461:	1 
10462:	3 
10463:	3 
10464:	2 
10465:	1 1 
10466:	1 
10467:	1 
10471:	2 
10472:	1 
10476:	1 
10480:	1 
10481:	1 
10482:	1 
10483:	1 
10484:	2 
10485:	1 
10486:	1 
10487:	2 
10488:	2 
10489:	2 
10491:	2 
10492:	1 
10493:	1 
10494:	1 
10495:	1 
10496:	1 1 
10497:	1 
10498:	1 
10499:	2 
10500:	1 
10502:	1 
10506:	2 
10509:	2 
10510:	3 
10511:	3 
10512:	1 
10513:	3 
10514:	2 
10515:	1 
10517:	2 
10518:	2 
10519:	1 
10520:	2 
10521:	2 
10522:	1 
10523:	1 
10532:	1 
10543:	2 
10545:	3 
10546:	1 
10547:	4 
10549:	1 
10552:	1 
10554:	2 
10555:	8 
10556:	1 
10557:	2 
10561:	1 
10563:	2 1 
10564:	1 
10565:	1 
10566:	2 
10567:	1 
10568:	2 
10569:	1 
10570:	1 
10571:	4 
10576:	3 
10578:	1 
10580:	2 
10582:	1 
10586:	1 
10587:	1 
10588:	1 
10589:	1 
10590:	1 
10596:	1 
10598:	1 
10604:	1 
10610:	2 
10614:	1 
10617:	2 
10621:	1 
10622:	3 1 
10623:	1 
10624:	2 
10625:	4 
10626:	2 
10627:	1 
10628:	2 
10629:	1 
10630:	4 
10631:	1 
10632:	2 
10633:	1 
10634:	1 
10635:	4 
10636:	1 
10637:	1 
10638:	3 
10639:	1 
10640:	1 
10641:	1 
10649:	2 
10651:	1 
10652:	1 
10653:	1 
10654:	1 
10655:	1 
10656:	1 
10657:	1 
10658:	2 
10659:	2 
10660:	1 
10661:	2 
10662:	2 
10663:	2 
10665:	2 
10666:	1 
10667:	1 
10668:	1 
10669:	1 
10671:	1 
10672:	2 
10674:	5 
10680:	4 
10681:	1 
10682:	1 
10683:	1 
10687:	1 
10689:	2 
10693:	1 
10694:	1 
10695:	1 
10696:	1 
10697:	1 
10698:	2 
10699:	1 
10700:	1 
10701:	1 
10702:	1 
10703:	2 
10704:	2 
10705:	1 
10706:	1 
10708:	2 
10709:	1 
10717:	1 
10721:	1 
10722:	1 
10723:	1 
10724:	2 
10725:	2 
10726:	4 
10727:	1 
10728:	1 
10729:	2 
10730:	1 
10731:	1 
10732:	2 
10735:	1 
10736:	2 
10737:	1 
10738:	2 
10740:	2 
10742:	1 
10743:	1 
10744:	1 
10745:	1 
10746:	1 
10747:	1 
10748:	1 
10749:	1 
10750:	1 
10751:	1 
10752:	4 
10753:	2 
10754:	1 
10755:	3 
10756:	1 
10757:	3 
10758:	2 
10759:	3 
10760:	1 
10761:	1 
10763:	1 
10764:	1 
10766:	1 
10770:	1 
10771:	1 
10772:	2 
10773:	1 
10775:	2 
10777:	2 
10778:	2 
10779:	1 
10781:	2 
10783:	1 
10786:	1 
10787:	4 
10788:	3 
10790:	1 
10791:	1 
10794:	2 
10795:	3 
10796:	4 
10798:	3 
10799:	2 
10801:	1 
10802:	1 
10803:	1 
10804:	3 
10805:	1 
10806:	3 
10809:	1 
