=== non-contiguous nft : chains ===
Found 431 chain interruption in 7198 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	2 
100:	2 
1000:	1 
1001:	1 
1002:	3 
1003:	1 
1004:	2 
1005:	3 
1006:	3 
1007:	1 
1008:	1 
101:	2 
1011:	1 
1012:	1 1 
1013:	1 
1014:	1 
1015:	1 
1016:	1 
1017:	1 
1018:	1 
1019:	1 
102:	3 
1021:	1 
1022:	1 
1023:	1 
1025:	2 1 
1026:	1 
1028:	2 
1029:	2 1 
103:	1 
1030:	1 
1031:	2 
1032:	1 
1033:	2 
1034:	2 
1035:	2 
1036:	4 
1037:	2 
1038:	1 
104:	2 
1041:	2 
1042:	1 
1043:	1 
1044:	2 
1047:	4 
1048:	2 
1049:	3 
105:	2 
1051:	1 
1052:	2 2 
1058:	2 
1059:	1 
106:	5 
1060:	2 
1061:	2 
1062:	1 
1063:	2 
1064:	1 
1065:	1 
1066:	2 
1067:	2 
1068:	2 
1069:	4 
107:	1 
1072:	2 
1074:	2 
1076:	1 
1077:	1 
108:	1 
1080:	4 
1081:	4 
1082:	1 
1083:	2 
1084:	5 
1085:	2 
1086:	1 
1087:	2 
1088:	1 
1089:	1 
109:	1 
1090:	2 
1091:	2 
1094:	1 
1095:	1 
1096:	2 
1097:	2 
1098:	4 
1099:	2 
11:	1 
110:	1 
1100:	1 
1101:	2 
1102:	1 
1103:	1 
1104:	2 
1105:	1 
1106:	2 
1107:	1 
1108:	2 
1109:	2 
111:	2 
1110:	2 
1111:	2 
1112:	1 
1114:	5 
1115:	1 
1116:	1 
1117:	1 
1118:	1 
1119:	2 
112:	3 
1120:	4 
1123:	2 
1124:	1 
1125:	1 
1126:	1 
1127:	2 
1128:	2 
1129:	3 
113:	1 
1130:	2 
1131:	1 
1132:	1 
1133:	1 
1134:	1 
1138:	1 
1139:	1 
114:	1 
1140:	3 
1141:	1 
1142:	2 
1143:	1 
1144:	1 
1145:	3 
1146:	3 
1147:	3 
1148:	2 
1149:	1 
115:	1 
1150:	1 
1151:	1 
1152:	1 
1153:	2 
1154:	2 
1155:	1 
1158:	3 
1159:	3 
116:	1 
1160:	2 
1161:	2 
1162:	1 
1166:	4 
1167:	2 
1168:	1 
1169:	1 1 
117:	2 
1170:	1 
1171:	4 
1172:	3 
1173:	6 
1174:	1 
1175:	1 
1176:	1 
1177:	5 
1178:	3 
1179:	3 
118:	3 
1180:	1 
1181:	1 
1182:	2 
1183:	1 
1184:	1 
1185:	1 
1186:	2 
1189:	2 
119:	6 
1190:	2 
1191:	1 
1192:	1 
1193:	4 
1194:	2 
1195:	2 
1196:	1 
1197:	2 
12:	1 
120:	1 
1200:	1 
1201:	2 
1202:	2 
1205:	2 1 
1206:	1 
1207:	2 
1208:	2 
1209:	2 
121:	2 
1210:	1 
1211:	3 
1213:	3 
1214:	2 
1215:	1 
1216:	1 
1217:	1 
1218:	1 
1219:	4 
122:	1 
1220:	3 
1221:	3 
1222:	1 
1224:	1 
1225:	2 
1226:	2 
1227:	2 
1228:	3 
1229:	3 1 
1230:	2 
1231:	2 
1232:	3 
1233:	1 
1236:	1 
1237:	1 
1238:	2 
1239:	3 
124:	1 
1240:	2 
1241:	1 
1242:	2 
1243:	3 
1244:	3 
1245:	3 
1246:	1 
1247:	1 
1248:	1 
1249:	2 
