=== non-contiguous nft : chains ===
Found 7553 chain interruption in 7290 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	1 
1001:	4 
1002:	2 3 1 1 3 
1003:	1 4 2 
1004:	2 
1005:	1 1 
1006:	1 
1007:	5 3 4 3 4 
1009:	4 2 
101:	2 1 
1010:	6 
1011:	1 3 
1012:	3 
1014:	1 5 
1015:	1 
1016:	2 
1017:	3 5 
1018:	12 5 1 1 
1019:	11 1 4 
102:	4 1 4 
1021:	3 
1022:	2 
1023:	2 1 3 
1024:	10 1 
1025:	1 2 3 
1026:	1 1 1 1 1 4 
1027:	3 
1029:	6 1 13 1 6 
103:	3 
1031:	3 
1033:	4 
1034:	4 
1035:	3 
1036:	2 2 8 1 
1037:	2 
1038:	1 5 
1039:	4 2 2 3 
104:	6 2 6 
1040:	3 
1041:	2 
1042:	1 1 
1043:	2 7 6 
1044:	4 
1045:	1 4 
1046:	1 1 
1047:	6 
1048:	5 
1049:	1 
105:	3 
1050:	2 
1051:	8 5 
1052:	1 
1053:	2 
1054:	1 
1055:	2 
1056:	2 
1057:	2 13 
1059:	1 7 
106:	2 
1060:	9 
1061:	4 
1063:	19 1 
1064:	6 2 2 
1065:	4 
1066:	3 
1067:	3 15 7 
1068:	7 
1069:	7 2 
107:	3 5 
1070:	2 2 2 1 
1071:	2 
1074:	1 
1075:	2 
1078:	2 
1079:	1 12 
108:	2 1 1 
1080:	4 12 
1081:	5 
1082:	1 
1083:	1 2 
1084:	3 2 1 
1085:	2 1 
1087:	3 
1088:	12 
1089:	1 
109:	6 
1091:	6 4 
1092:	1 
1093:	4 
1094:	12 
1095:	5 4 
1096:	2 
1097:	3 2 
1099:	1 3 6 5 1 
110:	2 2 5 
1100:	1 3 1 
1101:	3 7 2 1 7 1 
1102:	5 1 2 1 4 1 1 
1103:	1 
1104:	2 5 
1105:	2 1 
1107:	2 
1108:	1 1 
1109:	2 1 1 
111:	3 
