=== non-contiguous nft : chains ===
Found 4438 chain interruption in 8715 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	2 
10000:	1 
1001:	2 1 
1002:	2 4 
1003:	5 
1004:	6 2 
1005:	6 1 1 
1006:	1 
1007:	2 
1008:	4 1 
1009:	2 1 1 
1010:	3 
1011:	3 
1012:	6 
1013:	2 2 
1014:	1 2 1 
1015:	3 3 
1016:	2 
1017:	1 1 1 
1018:	1 
1019:	3 4 
1020:	2 
1021:	6 4 
1022:	5 1 
1023:	2 
1024:	1 1 1 1 
1025:	3 2 
1026:	1 7 
1027:	2 1 
1028:	2 5 
1029:	3 1 
1030:	1 2 
1031:	1 3 2 
1032:	3 1 1 1 
1033:	4 
1034:	2 
1035:	2 1 
1036:	3 
1037:	1 
1038:	13 
1039:	4 
1040:	2 1 
1041:	4 
1042:	2 
1043:	2 
1045:	1 1 3 
1046:	2 
1047:	3 
1048:	2 2 
1049:	1 
1050:	1 
1051:	1 4 1 
1053:	1 
1054:	1 
1055:	2 4 1 
1056:	3 
1057:	4 1 1 
1058:	3 3 
1059:	2 
106:	3 1 2 
1060:	4 1 1 
1061:	5 
1062:	2 
1063:	1 
1064:	1 
1066:	5 1 
1067:	3 
1071:	3 1 
1072:	2 3 
1073:	3 
1074:	5 7 
1075:	4 
1076:	3 
1077:	1 
1083:	1 2 
1084:	5 
1085:	3 
1086:	1 
1087:	1 
1088:	7 
109:	1 2 
1090:	3 
1091:	3 
1092:	3 
1093:	1 
1094:	2 2 
1095:	3 2 
1097:	7 
1098:	5 1 1 2 
1099:	2 2 
110:	2 
1100:	2 1 
1101:	2 
1102:	2 
1103:	4 
1104:	1 
1105:	7 
1106:	1 
1107:	1 5 
1108:	3 
1109:	4 1 
111:	3 
1112:	3 
1113:	2 1 
1114:	1 
1115:	2 
1116:	2 1 
1119:	6 
112:	2 
1120:	3 1 1 
1121:	1 
1122:	3 
1123:	1 
1124:	4 
1126:	4 
1127:	3 
1128:	3 
1129:	2 4 1 
113:	2 2 
1130:	4 
1131:	5 
1132:	4 
1133:	4 3 
1134:	2 3 
1135:	2 2 4 1 
1136:	2 
1137:	6 
1138:	3 
1139:	1 
114:	3 
1140:	2 
1141:	4 2 1 
1142:	1 1 
1143:	6 5 
1144:	5 
1145:	2 
1146:	3 
1147:	8 
1148:	2 
1149:	1 
115:	3 
1150:	3 
1151:	3 1 
1152:	6 
1153:	5 
1154:	3 
1155:	1 
1156:	1 3 
1159:	9 1 
116:	1 2 4 
1161:	2 
1162:	1 
1163:	9 
1164:	2 2 5 
1165:	4 1 3 
1166:	1 
1167:	3 
1168:	1 1 
1169:	1 1 
1170:	4 
1171:	4 
1172:	3 
1173:	2 1 
1175:	2 1 
1177:	1 2 3 
1178:	3 
1179:	3 
118:	2 
1180:	2 2 
1181:	1 
1182:	1 2 2 1 
1183:	2 
1185:	3 2 
1186:	5 
1187:	3 
1188:	4 
1189:	3 
119:	4 2 2 
1190:	2 3 
