=== non-contiguous nft : chains ===
Found 2677 chain interruption in 10320 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10002:	4 2 
10004:	2 
10005:	2 1 
10007:	2 
10008:	1 
10009:	1 
10011:	1 
10016:	1 2 
10018:	1 5 
10019:	3 
10021:	2 
10023:	1 
10026:	1 
10027:	2 
10028:	1 
10032:	1 
10033:	2 
10034:	2 7 
10035:	2 2 
10037:	2 
10038:	4 
10041:	1 
10043:	1 
10047:	2 
10050:	1 
10051:	1 
10052:	1 
10053:	2 
10054:	2 
10056:	1 
10058:	2 
10059:	2 
10065:	1 1 
10067:	3 
10069:	1 1 1 3 
1007:	1 
10071:	2 
10072:	2 
10073:	2 
10075:	14 
10076:	1 
10077:	1 
10080:	1 
10087:	1 
10088:	1 
10089:	6 
10091:	1 
10093:	1 
10095:	2 
10096:	2 
10097:	3 
10100:	2 
10101:	2 
10103:	1 
10104:	2 
10106:	2 
10111:	2 
10114:	2 4 
10115:	1 
10116:	3 
10117:	3 
10118:	2 
10122:	4 
10124:	4 
10126:	1 
10127:	1 2 1 
10128:	1 
10130:	1 
10131:	1 
10132:	1 
10135:	1 
10138:	1 
10139:	1 
10140:	1 
10144:	1 
10146:	1 
10148:	1 
10149:	3 
10151:	2 
10153:	3 
10154:	1 
10156:	3 
10158:	2 
1016:	1 
10161:	2 
1017:	1 
10172:	1 
10173:	1 
10174:	3 
10175:	3 
10177:	1 
10180:	1 1 
10181:	1 3 
10182:	1 
10188:	1 
10189:	1 2 
10191:	1 
10192:	2 
10193:	5 
10194:	4 
10196:	2 
10197:	2 
10198:	2 
10212:	2 
10213:	2 
10217:	3 
10221:	5 
10222:	1 
10224:	1 
10225:	2 
10227:	2 
10229:	1 
1023:	2 
10230:	1 
10231:	2 
10233:	2 
10234:	2 
10235:	1 2 
10237:	1 1 
10238:	3 
10239:	2 
1024:	1 
10240:	5 
10241:	1 
10245:	4 
10249:	4 2 
1025:	2 
10250:	1 
10259:	3 1 1 
10261:	1 
10262:	2 2 
10264:	1 
10266:	3 
10269:	1 
10271:	3 
10273:	5 
10274:	7 
10277:	2 
10279:	3 
10280:	2 1 
10281:	1 
10282:	5 
10283:	1 
10286:	1 
1029:	1 4 
10290:	2 
10291:	1 
10292:	1 1 
10296:	1 
1030:	3 
10301:	1 
10302:	1 
10304:	1 
10305:	2 
10307:	3 
10308:	2 
10310:	1 
10312:	2 
10316:	3 2 
10318:	1 
1032:	2 
10324:	1 2 
10325:	2 
10329:	4 
1033:	1 
10331:	1 
10332:	2 
10334:	4 
10336:	2 
10338:	1 1 
10344:	4 
10348:	1 1 1 2 
10349:	1 
10350:	1 
10351:	4 1 
10352:	2 
10353:	1 
1036:	2 
10360:	3 
10369:	1 
10374:	4 
10377:	1 
10379:	2 1 
10381:	1 
10382:	3 
10383:	6 2 
10384:	4 
10385:	2 2 
10386:	2 
10387:	4 
10390:	2 2 
10391:	2 
10392:	1 
10398:	2 
1040:	1 
10403:	2 1 
10404:	1 
