=== non-contiguous nft : chains ===
Found 4688 chain interruption in 7708 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	1 1 
10000:	1 
101:	4 
102:	1 
1032:	1 
104:	1 1 
1041:	1 
1043:	1 
1045:	1 3 
1046:	1 2 
1047:	1 
1048:	1 
1049:	1 2 
1051:	1 
1052:	1 2 
1053:	1 
1054:	2 1 1 
1055:	1 3 1 
1057:	1 
1058:	2 
106:	1 1 1 
1060:	2 
1061:	1 
1062:	2 
1063:	5 1 1 
1066:	3 
1067:	1 1 
1068:	2 1 1 
1069:	6 
107:	2 
1070:	2 1 1 
1071:	4 
1072:	1 
1073:	1 
1074:	5 1 
1075:	1 1 1 3 
1076:	3 
1077:	2 
1078:	2 
1079:	1 1 
108:	1 
1080:	1 
1081:	2 1 
1083:	1 1 
1084:	6 
1085:	2 
1086:	2 1 
1088:	2 1 1 
1089:	1 1 2 
109:	2 2 
1090:	1 
1091:	1 
1092:	1 2 
1093:	4 
1094:	1 
1095:	2 2 
1096:	6 
1097:	1 1 
1098:	1 
1099:	1 
110:	1 1 1 
1100:	1 
1101:	5 
1102:	5 
1103:	2 2 
1104:	2 2 
1105:	3 
1106:	2 
1107:	4 
1108:	4 
111:	2 6 
1110:	3 1 
1111:	6 
1112:	2 1 
1113:	6 3 
1117:	4 2 
1118:	1 1 
1119:	1 4 
112:	1 
1120:	2 1 
1121:	3 
1122:	2 
1123:	1 
1124:	1 
1125:	4 4 1 
1126:	2 3 1 
1127:	4 
1128:	1 1 
1129:	2 
113:	3 
1130:	1 3 
1131:	1 3 
1133:	1 
1136:	4 1 3 
1139:	1 
114:	3 
1140:	2 
1141:	6 1 
1142:	2 1 
1143:	3 1 
1144:	2 
1145:	2 1 
1146:	2 1 2 
1148:	3 2 1 
1149:	1 1 
115:	2 
1153:	3 
1155:	2 
1156:	1 
1157:	2 
1158:	2 
1159:	5 
116:	1 1 
1160:	1 
1161:	3 2 1 1 
1162:	1 1 
1163:	2 
1164:	3 
1165:	1 
1166:	1 
1167:	2 
1168:	1 1 1 1 
1169:	2 
117:	1 
1170:	3 
1171:	2 
1172:	3 
1173:	1 2 1 
1175:	2 
1176:	2 
1177:	1 
1178:	1 
1179:	1 2 
118:	1 7 
1180:	2 
1182:	1 
1183:	2 1 
1184:	3 1 
1185:	1 4 
1187:	4 
1188:	1 
1189:	1 
119:	1 
1190:	3 
1191:	1 
1192:	2 
1194:	1 1 
1195:	1 
1197:	2 
1198:	3 
1199:	2 
120:	3 
1200:	3 2 
1201:	3 
1202:	3 
1203:	3 
1205:	3 
1207:	2 
1208:	7 
1209:	1 5 
121:	3 
1210:	2 
1211:	5 
1213:	2 1 1 1 1 
1214:	1 2 1 
1215:	1 
1216:	1 1 
1217:	4 1 
1218:	1 1 
1219:	3 
122:	5 1 
1220:	1 
1221:	2 
1222:	2 
1224:	1 
1225:	2 
1226:	3 
1227:	1 
1228:	2 
1229:	5 
123:	1 
1230:	1 2 
1231:	4 
