=== non-contiguous nft : chains ===
Found 5307 chain interruption in 9483 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 3 
100:	2 
1000:	1 
1001:	1 1 
1002:	1 3 
1003:	4 
1004:	1 3 3 
1005:	1 1 
1006:	4 7 
1007:	7 2 2 1 1 
1008:	2 
1009:	2 
101:	5 
1010:	3 2 
1011:	4 
1012:	1 
1013:	3 1 1 
1014:	3 2 
1015:	6 1 
1016:	5 
1017:	8 1 
1018:	3 
1019:	1 
102:	1 
1020:	3 
1021:	4 
1022:	1 
1023:	2 5 4 
1024:	1 1 
1026:	4 
1027:	2 
1028:	3 
1029:	5 
103:	3 1 4 4 
1030:	3 
1031:	1 
1032:	5 
1033:	4 
1034:	7 
1035:	5 
1036:	3 5 
1037:	5 
1038:	2 
1039:	1 2 
104:	1 
1040:	1 1 
1041:	3 
1042:	1 1 
1043:	6 
1044:	1 5 2 2 4 
1045:	5 
1046:	1 4 
1047:	6 
1048:	3 
1049:	2 
105:	4 2 3 
1050:	1 1 
1051:	1 1 2 1 
1052:	1 6 
1053:	4 
1054:	2 1 
1055:	1 
1056:	6 
1057:	1 
1058:	4 2 1 3 4 
1059:	5 2 2 1 7 
106:	1 3 1 
1060:	2 
1061:	3 1 4 
1062:	3 1 
1063:	1 
1064:	2 
1065:	3 2 1 1 
1066:	2 4 
1067:	14 
1068:	1 
1069:	6 1 
107:	2 7 
1070:	2 
1071:	4 2 1 2 1 
1072:	1 
1073:	2 
1074:	1 
1075:	1 1 
1076:	2 1 2 
1077:	2 
1079:	2 
108:	2 
1080:	3 
1081:	3 
1082:	5 
1083:	1 
1084:	4 
1085:	4 2 
1086:	3 4 
1087:	1 3 
1088:	3 
1089:	4 
109:	3 1 
1090:	4 1 
1091:	3 
1092:	1 1 2 1 
1093:	1 1 2 1 
1094:	2 2 1 1 1 
1095:	5 
1096:	3 
1097:	2 3 
1098:	2 5 1 
1099:	1 1 
11:	1 
110:	2 
1100:	3 1 3 5 
1101:	2 
1102:	5 
1103:	5 
1104:	5 1 
1105:	3 
1106:	2 
1107:	1 
1108:	6 
1109:	3 2 
111:	2 
1110:	5 
1115:	3 4 3 2 3 
1116:	5 
1117:	4 
1118:	2 
1119:	3 
112:	1 1 2 
1120:	3 
1121:	5 
1122:	2 
1123:	6 
1124:	3 
1125:	4 
1126:	9 4 
1127:	1 4 
1128:	2 1 
1129:	7 
113:	4 
1130:	1 
1131:	3 2 1 1 2 
1132:	3 
1133:	1 
1134:	5 
1135:	5 
1136:	6 
1137:	1 1 
1139:	1 
114:	1 5 
1140:	2 7 
1141:	3 
1142:	4 1 1 
1143:	1 1 2 
1144:	2 1 
1145:	5 1 
1146:	2 3 
1147:	5 
1148:	7 
1149:	2 
115:	1 
1150:	5 
1151:	1 
1152:	1 
1153:	2 
1154:	3 1 
1155:	1 1 
1156:	3 
1157:	3 
1158:	6 
1159:	3 2 
116:	1 
1160:	1 
1161:	9 1 1 1 
1162:	2 
1163:	5 
1164:	4 
1165:	5 1 
1166:	2 1 1 
1169:	2 1 
117:	2 
1170:	3 
