=== non-contiguous nft : chains ===
Found 1140 chain interruption in 3424 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 
1002:	2 1 
1003:	1 
1004:	1 
1005:	2 1 1 
1006:	1 1 
1008:	3 
1009:	1 
101:	4 
1010:	3 2 1 
1011:	1 
1012:	3 
1013:	1 
1014:	1 
1017:	3 1 2 
1018:	1 
1019:	5 
1020:	1 
1021:	1 
1023:	2 
1026:	1 
1027:	2 
1028:	1 
103:	2 
1031:	2 
1032:	3 
1033:	1 
1034:	4 
1035:	4 
1037:	1 1 1 
1038:	1 
104:	3 4 
1042:	2 
1043:	3 
1046:	3 
1047:	1 
1048:	4 
1049:	2 3 
105:	3 
1050:	1 
1052:	3 
1055:	2 
1056:	2 1 1 6 1 
1057:	3 
1058:	4 
1060:	1 
1061:	5 
1062:	1 
1063:	2 
1065:	2 
1066:	1 
1067:	2 
1069:	2 1 
1070:	3 3 1 
1071:	6 1 
1072:	1 
1074:	1 
1075:	2 1 
1077:	1 
1078:	1 
1079:	1 
1080:	1 2 1 
1081:	3 
1084:	1 10 
1085:	5 
1086:	3 1 
1088:	3 
1090:	2 
1092:	3 
1093:	1 
1096:	1 
1097:	2 
1098:	2 
11:	2 
1100:	1 
1101:	1 
1102:	2 
1103:	1 
1104:	1 
1106:	2 2 
1107:	2 
1109:	2 2 2 
111:	2 3 
1110:	6 
1111:	1 
1112:	1 
1113:	7 
1115:	2 4 
1116:	2 
1117:	7 1 
1118:	2 
1119:	1 
1120:	1 1 
1121:	1 1 
1122:	3 1 
1124:	1 
1125:	1 
1126:	2 
1127:	1 
1128:	1 1 
1129:	1 3 1 
1132:	1 
1133:	1 
1134:	1 
1135:	1 
1136:	1 4 
1137:	4 
1138:	2 
114:	3 1 3 
1140:	1 
1141:	3 
1142:	1 
1143:	2 
1144:	5 
1145:	2 
1146:	5 
1148:	2 
115:	2 
1150:	3 1 
1151:	2 1 
1152:	2 4 
1153:	1 1 
1154:	2 
1155:	2 3 2 1 1 
1156:	1 1 3 
116:	2 1 1 
1160:	1 
1161:	1 
1163:	1 
1165:	1 
1167:	2 1 2 
1169:	3 1 
117:	3 
1170:	2 
1171:	2 
1172:	1 
1173:	1 
1174:	3 
1175:	1 
1176:	1 1 
1177:	1 
118:	4 
1180:	1 
1181:	1 
1182:	1 1 1 
1183:	1 
1184:	3 
1186:	4 2 4 
1187:	1 
1188:	2 
1189:	1 
119:	1 1 1 
1190:	2 
1191:	7 
1192:	1 
1193:	1 
1195:	2 
1196:	1 
1198:	3 
1199:	1 2 
12:	1 
120:	1 3 
1200:	4 
1201:	3 
1202:	3 
1203:	1 1 
1204:	4 
1205:	2 
1206:	2 
1207:	1 
1208:	1 
1209:	1 
121:	2 
1212:	1 
1214:	1 
1216:	3 
1217:	1 
122:	3 
1221:	1 3 
1222:	1 
1223:	3 2 
1224:	2 
1226:	1 
1227:	1 
1228:	2 
1229:	2 
123:	4 1 
1230:	5 
1231:	4 1 
1232:	4 
1234:	2 
1236:	1 
1238:	1 
124:	3 
1241:	4 
1243:	1 
1245:	8 1 1 1 
1247:	5 
1248:	1 
1249:	1 
125:	1 
1250:	1 
1251:	1 
1252:	1 
1253:	1 
1254:	3 
1255:	1 
1257:	5 
1258:	3 
1260:	1 
1261:	1 1 
1262:	1 
1263:	4 
1264:	2 
1265:	2 
1267:	1 2 
1268:	1 1 
127:	1 1 1 
1270:	2 
1273:	1 
1274:	1 
1276:	5 
1277:	5 
1278:	1 
1281:	2 
1284:	2 6 
1285:	3 
1286:	2 1 
1287:	2 
1288:	1 
129:	1 
1290:	3 
1291:	2 
1292:	3 2 
1294:	1 
1295:	2 5 
1299:	1 
130:	1 
1302:	3 
1303:	2 
1305:	3 2 2 4 
1306:	1 
1307:	4 
1308:	1 
1311:	2 2 
1312:	2 4 
1313:	1 1 
1314:	4 
1316:	3 2 
1317:	2 
1318:	1 1 
132:	1 3 
1320:	3 
1321:	1 
1322:	4 
1323:	4 
1324:	1 
1325:	10 
1326:	1 1 
1327:	3 
1329:	4 
133:	4 
1333:	1 1 1 
1334:	3 1 3 1 1 
1335:	2 
1336:	3 1 1 5 
1337:	1 1 
134:	2 
1340:	4 
1341:	1 
1342:	2 
1344:	3 
1345:	4 
1346:	3 
1347:	2 
1348:	1 1 
1349:	4 
135:	1 
1350:	3 
1351:	1 
1353:	11 
1358:	3 
1359:	1 
136:	4 
1360:	3 
1361:	2 
1366:	2 2 
1367:	1 4 
1368:	2 
1369:	2 
137:	1 
1371:	3 2 
1372:	1 
1373:	2 
1375:	1 
1376:	1 
1378:	3 1 
1379:	1 
138:	1 
1380:	1 
1381:	2 
1382:	3 3 
1383:	2 
1384:	2 
1385:	1 
1388:	4 
1390:	3 
1391:	4 
1392:	1 
1393:	2 
1394:	1 2 
1395:	1 1 
1396:	1 
1397:	1 2 
1398:	2 
1402:	7 
1403:	1 1 
1404:	2 
1405:	5 
1406:	1 
1407:	1 3 
1410:	2 
1411:	1 
1413:	1 
1414:	4 
1415:	1 1 
1416:	3 
1417:	2 
1418:	2 
1419:	3 
142:	2 1 1 
1420:	4 
1422:	2 
1423:	2 
1427:	2 
1428:	3 
1430:	5 3 
1431:	6 
1432:	3 
1433:	1 
1434:	4 2 
1436:	1 
1437:	2 
1439:	2 
1440:	1 
1441:	2 
1442:	4 
1443:	1 
1444:	1 
1445:	1 
1446:	1 
1447:	2 
1448:	2 1 
1449:	1 
1450:	2 
1451:	2 
1452:	1 
1453:	5 
1454:	2 
1455:	1 
1456:	1 
1457:	1 
1469:	1 
1470:	1 
1472:	2 
1473:	2 
1474:	1 
1475:	3 1 1 
1477:	3 
1478:	1 1 
1481:	2 1 
1482:	1 1 
1484:	2 
1485:	2 
1486:	1 
1487:	1 
1488:	1 
1489:	1 2 1 1 
1490:	1 
1491:	2 
1493:	3 
1494:	1 
1497:	1 
1499:	1 2 
1500:	1 
1502:	1 
1503:	1 
1504:	1 
1506:	1 
1507:	1 
1508:	2 
151:	3 
1510:	3 
1512:	2 
1513:	1 1 
1515:	2 
1516:	1 
1517:	3 
152:	1 
1520:	3 1 1 
1525:	3 
1526:	2 1 7 
1527:	7 
1528:	6 
1529:	1 
153:	1 
1530:	2 
1533:	4 1 3 
1534:	1 1 
1535:	1 
1536:	1 
1540:	1 
1545:	1 
1546:	3 
1548:	2 
155:	2 
1551:	2 
1552:	4 
1555:	1 
1556:	4 1 
1558:	2 
1560:	1 
1561:	2 
1562:	1 1 2 
1563:	1 
1564:	3 
1565:	2 
1566:	3 
1568:	3 
1571:	2 
1572:	2 
1573:	1 
1576:	1 
1578:	1 
1579:	2 2 1 
1580:	2 
1581:	2 
1583:	2 
1584:	1 1 
1585:	1 2 1 
1586:	1 
1587:	2 
1588:	4 1 2 
1590:	1 
1594:	2 
1595:	2 
1596:	3 
1598:	1 
1600:	2 
1601:	1 
1602:	3 
1603:	7 
1604:	3 1 
1605:	2 
1606:	1 
1607:	2 
1608:	1 
1609:	3 
161:	1 
1610:	3 
1611:	3 1 
1614:	2 1 
1615:	1 
1616:	3 
1617:	1 
