
=== GRAPH INFO ===
Nodi: 22536
Archi: 74546
Duration (sec): 64117304 = 2y in interval [1642010655, 1706127959]
Delta (sec): 64117304 = 2y


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 9569

size 2 → 5108 pattern
size 3 → 1774 pattern
size 4 → 823 pattern
size 5 → 452 pattern
size 6 → 263 pattern
size 7 → 201 pattern
size 8 → 136 pattern
size 9 → 115 pattern
size 10 → 84 pattern
size 11 → 59 pattern
size 12 → 54 pattern
size 13 → 42 pattern
size 14 → 40 pattern
size 15 → 41 pattern
size 16 → 34 pattern
size 17 → 18 pattern
size 18 → 17 pattern
size 19 → 12 pattern
size 20 → 23 pattern
size 21 → 21 pattern
size 22 → 10 pattern
size 23 → 9 pattern
size 24 → 7 pattern
size 25 → 15 pattern
size 26 → 10 pattern
size 27 → 6 pattern
size 28 → 8 pattern
size 29 → 2 pattern
size 30 → 5 pattern
size 31 → 5 pattern
size 32 → 3 pattern
size 33 → 7 pattern
size 34 → 6 pattern
size 35 → 3 pattern
size 36 → 6 pattern
size 37 → 5 pattern
size 38 → 2 pattern
size 39 → 9 pattern
size 40 → 5 pattern
size 41 → 2 pattern
size 42 → 3 pattern
size 43 → 2 pattern
size 44 → 7 pattern
size 45 → 3 pattern
size 46 → 2 pattern
size 47 → 2 pattern
size 48 → 4 pattern
size 49 → 2 pattern
size 50 → 1 pattern
size 51 → 1 pattern
size 52 → 6 pattern
size 53 → 3 pattern
size 54 → 2 pattern
size 55 → 3 pattern
size 56 → 1 pattern
size 57 → 1 pattern
size 58 → 1 pattern
size 60 → 4 pattern
size 61 → 2 pattern
size 62 → 2 pattern
size 65 → 1 pattern
size 67 → 1 pattern
size 69 → 2 pattern
size 71 → 1 pattern
size 72 → 1 pattern
size 73 → 2 pattern
size 74 → 1 pattern
size 76 → 1 pattern
size 77 → 1 pattern
size 81 → 1 pattern
size 84 → 1 pattern
size 86 → 3 pattern
size 87 → 1 pattern
size 88 → 1 pattern
size 91 → 1 pattern
size 92 → 1 pattern
size 94 → 1 pattern
size 95 → 2 pattern
size 96 → 3 pattern
size 99 → 1 pattern
size 101 → 1 pattern
size 106 → 1 pattern
size 108 → 1 pattern
size 111 → 1 pattern
size 112 → 1 pattern
size 116 → 1 pattern
size 117 → 1 pattern
size 118 → 1 pattern
size 120 → 1 pattern
size 123 → 1 pattern
size 130 → 2 pattern
size 131 → 1 pattern
size 134 → 1 pattern
size 136 → 1 pattern
size 138 → 1 pattern
size 142 → 1 pattern
size 149 → 1 pattern
size 153 → 1 pattern
size 156 → 1 pattern
size 163 → 1 pattern
size 175 → 1 pattern
size 179 → 1 pattern
size 187 → 1 pattern
size 191 → 2 pattern
size 199 → 1 pattern
size 208 → 1 pattern
size 225 → 1 pattern
size 226 → 1 pattern
size 231 → 1 pattern
size 235 → 1 pattern
size 239 → 1 pattern
size 259 → 1 pattern
size 268 → 1 pattern
size 279 → 1 pattern
size 298 → 1 pattern
size 299 → 1 pattern
size 310 → 1 pattern
size 320 → 1 pattern
size 362 → 1 pattern
size 364 → 1 pattern
size 485 → 1 pattern
size 490 → 1 pattern
size 496 → 1 pattern
size 739 → 1 pattern
