=== non-contiguous nft : chains ===
Found 28161 chain interruption in 9336 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 
1000:	1 1 2 
1001:	2 1 1 2 1 2 
1002:	1 
1003:	2 
1004:	1 
1005:	2 2 
1006:	3 
1007:	4 
1008:	2 
1009:	3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 
1010:	1 1 
1011:	1 1 3 
1012:	4 
1013:	1 1 1 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1014:	1 
1015:	1 3 
1016:	4 2 3 1 
1017:	2 
1018:	2 1 3 1 2 
1019:	3 
1020:	1 
1021:	3 1 15 6 1 2 
1022:	1 
1023:	4 1 3 
1024:	2 1 1 1 1 1 
1025:	5 
1026:	2 6 
1027:	2 1 
1028:	2 1 6 1 
1029:	1 1 3 1 
1030:	1 2 1 1 1 
1031:	2 
1032:	3 
1033:	6 2 3 7 10 4 13 14 1 1 2 1 1 1 1 3 1 1 1 1 1 1 1 
1034:	2 
1035:	3 3 
1036:	1 
1043:	1 3 1 2 1 1 1 
1044:	4 1 2 1 1 1 1 1 1 1 1 1 1 1 1 
1045:	1 2 4 1 6 
1046:	1 1 
1047:	2 
1048:	2 
1049:	4 2 
1050:	3 
1051:	3 1 1 1 1 1 1 1 2 
1052:	2 2 
1053:	2 1 
1054:	2 1 
1055:	4 1 
1056:	1 1 9 1 1 
1057:	4 1 1 1 
1058:	2 2 
1059:	3 
1060:	1 
1061:	3 
1062:	2 1 
1063:	1 1 
1064:	3 4 7 8 1 1 2 6 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1065:	1 1 
1066:	1 2 1 3 1 
1067:	1 2 2 2 5 
1068:	1 
1069:	4 1 1 1 1 1 
1070:	1 
1071:	1 1 
1072:	2 1 
1073:	3 1 
1074:	1 
1075:	3 
1076:	1 2 
1077:	1 3 2 1 1 1 1 1 1 1 2 1 2 1 1 
1078:	1 1 
1081:	2 
1083:	2 
1084:	2 
1085:	1 1 1 
1086:	1 
1087:	3 2 
1088:	2 2 1 
1089:	3 
1090:	2 2 1 
1091:	1 
1092:	2 1 1 1 1 1 1 1 1 1 1 1 
1093:	1 
1094:	12 2 6 3 2 1 7 1 1 1 2 1 1 1 1 1 
1095:	8 1 1 1 
1096:	1 3 
1097:	4 4 1 3 1 1 2 1 1 1 1 1 3 1 1 1 1 2 1 
1098:	1 3 1 
1099:	2 
1100:	2 5 1 1 1 2 2 1 1 1 
1101:	4 
1102:	1 
1103:	2 
1104:	4 2 2 2 2 2 
1105:	1 
1106:	2 
1107:	4 
1109:	3 
1110:	2 3 2 1 
1111:	2 
1112:	3 3 1 
1113:	3 1 1 1 1 1 1 1 1 1 2 1 1 1 1 
1115:	5 2 
1116:	3 1 1 
1117:	4 1 2 1 1 1 1 2 
1118:	1 1 2 3 1 1 1 1 1 1 1 1 1 1 2 1 1 
