
=== GRAPH INFO ===
Nodi: 30001
Archi: 114816
Duration (sec): 57471996 = 1y in interval [1648707035, 1706179031]
Delta (sec): 57471996 = 1y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 16861

size 2 → 8305 pattern
size 3 → 3042 pattern
size 4 → 1591 pattern
size 5 → 988 pattern
size 6 → 611 pattern
size 7 → 423 pattern
size 8 → 294 pattern
size 9 → 244 pattern
size 10 → 233 pattern
size 11 → 139 pattern
size 12 → 108 pattern
size 13 → 103 pattern
size 14 → 85 pattern
size 15 → 66 pattern
size 16 → 53 pattern
size 17 → 57 pattern
size 18 → 45 pattern
size 19 → 38 pattern
size 20 → 41 pattern
size 21 → 24 pattern
size 22 → 23 pattern
size 23 → 27 pattern
size 24 → 23 pattern
size 25 → 17 pattern
size 26 → 21 pattern
size 27 → 13 pattern
size 28 → 10 pattern
size 29 → 13 pattern
size 30 → 11 pattern
size 31 → 9 pattern
size 32 → 11 pattern
size 33 → 8 pattern
size 34 → 6 pattern
size 35 → 12 pattern
size 36 → 8 pattern
size 37 → 5 pattern
size 38 → 7 pattern
size 39 → 6 pattern
size 40 → 7 pattern
size 41 → 4 pattern
size 42 → 7 pattern
size 43 → 2 pattern
size 44 → 1 pattern
size 45 → 3 pattern
size 46 → 2 pattern
size 47 → 4 pattern
size 48 → 3 pattern
size 49 → 5 pattern
size 50 → 3 pattern
size 51 → 3 pattern
size 52 → 2 pattern
size 53 → 3 pattern
size 54 → 2 pattern
size 55 → 3 pattern
size 56 → 1 pattern
size 57 → 1 pattern
size 58 → 3 pattern
size 60 → 2 pattern
size 61 → 1 pattern
size 62 → 2 pattern
size 64 → 3 pattern
size 65 → 1 pattern
size 67 → 3 pattern
size 68 → 1 pattern
size 69 → 4 pattern
size 70 → 1 pattern
size 71 → 2 pattern
size 72 → 1 pattern
size 73 → 2 pattern
size 74 → 1 pattern
size 77 → 1 pattern
size 78 → 2 pattern
size 80 → 1 pattern
size 81 → 4 pattern
size 82 → 1 pattern
size 86 → 1 pattern
size 87 → 4 pattern
size 89 → 1 pattern
size 90 → 2 pattern
size 94 → 2 pattern
size 98 → 1 pattern
size 100 → 1 pattern
size 105 → 1 pattern
size 113 → 1 pattern
size 115 → 1 pattern
size 122 → 1 pattern
size 126 → 1 pattern
size 132 → 1 pattern
size 133 → 1 pattern
size 134 → 1 pattern
size 137 → 1 pattern
size 141 → 1 pattern
size 142 → 2 pattern
size 145 → 1 pattern
size 151 → 2 pattern
size 159 → 1 pattern
size 163 → 1 pattern
size 164 → 1 pattern
size 169 → 1 pattern
size 176 → 1 pattern
size 180 → 1 pattern
size 184 → 2 pattern
size 185 → 1 pattern
size 190 → 1 pattern
size 198 → 1 pattern
size 199 → 1 pattern
size 222 → 1 pattern
size 224 → 1 pattern
size 230 → 1 pattern
size 234 → 2 pattern
size 260 → 1 pattern
size 269 → 1 pattern
size 290 → 1 pattern
size 527 → 1 pattern
size 2106 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 12785

size 2 → 9204 pattern
size 4 → 2058 pattern
size 6 → 747 pattern
size 8 → 318 pattern
size 10 → 162 pattern
