=== non-contiguous nft : chains ===
Found 25334 chain interruption in 14349 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10000:	2 
10001:	3 1 2 3 2 2 
10002:	1 
10003:	3 3 2 3 
10004:	6 1 7 2 
10005:	4 1 
10006:	1 1 1 
10007:	1 1 
10008:	3 1 4 
10009:	1 1 1 4 2 2 
10010:	2 1 
10011:	1 1 2 2 5 1 2 
10012:	3 1 1 4 1 1 1 1 1 2 
10013:	1 1 
10014:	1 3 
10015:	1 
10016:	1 
10017:	16 
10018:	4 
10019:	2 
1002:	1 
10020:	2 
10021:	1 1 1 4 
10022:	1 5 1 
10023:	1 1 1 
10024:	3 1 2 
10026:	2 
10029:	2 4 
1003:	1 1 1 1 1 1 1 6 2 
10030:	1 
10031:	3 1 
10034:	3 7 2 2 4 
10035:	2 
10036:	3 1 1 2 
10039:	1 13 1 5 4 
1004:	6 5 14 2 
10042:	2 1 1 4 
10043:	3 1 4 2 
10044:	4 
10045:	1 
10047:	3 1 2 
10048:	3 5 1 4 
10049:	5 4 1 1 1 2 2 
10050:	1 2 5 1 1 
10051:	1 1 2 
10052:	3 
10053:	1 
10054:	2 5 5 
10055:	1 1 3 
10056:	1 
10057:	1 5 1 1 
10058:	1 1 
10059:	1 4 9 1 7 2 9 2 
10060:	2 1 
10061:	1 
10062:	6 
10064:	2 
10065:	2 2 
10066:	3 2 13 5 4 11 2 3 7 1 
10067:	5 
1007:	1 
10072:	2 1 
10073:	1 3 
10078:	2 2 
10079:	4 1 4 
1008:	1 
10080:	1 1 
10081:	3 2 
10082:	4 3 2 3 1 6 
10083:	3 
10084:	2 1 
10085:	2 1 10 13 
10086:	2 1 7 2 4 1 3 1 
10087:	2 1 2 1 1 2 4 1 
10088:	5 1 3 3 1 7 1 1 2 3 1 4 1 1 
10089:	2 1 1 1 10 4 
1009:	13 1 10 7 1 1 3 1 
10092:	1 
10093:	1 1 1 5 8 7 10 13 1 2 
10094:	1 
10095:	1 3 
10096:	5 6 2 
10097:	1 
10098:	2 1 2 4 2 1 1 1 2 
10099:	1 1 
1010:	1 4 1 
10100:	1 3 2 3 1 
10101:	2 3 
10107:	6 3 2 1 
10108:	1 8 12 2 2 1 7 6 1 2 1 
10109:	1 4 
1011:	1 3 4 4 1 3 1 3 1 
10110:	2 
10111:	1 
10112:	1 
10113:	2 
10114:	1 10 4 
10115:	1 
10116:	14 5 5 5 1 1 2 1 6 
10117:	4 
10118:	5 13 
10119:	2 
1012:	1 1 
10120:	7 
10121:	1 1 1 1 3 6 1 
10122:	2 3 
10123:	1 1 1 1 
10124:	1 2 
10125:	3 
10126:	1 1 14 7 3 
10127:	1 1 1 5 1 4 
10129:	2 2 
1013:	1 3 
10130:	1 
10132:	1 
10133:	1 3 3 
10134:	2 1 1 
10135:	3 1 19 
10136:	1 1 
10137:	1 3 
10139:	1 
1014:	1 
10140:	2 3 4 
10141:	1 
10142:	10 5 1 1 3 2 
10143:	6 
10144:	3 1 
10145:	1 1 6 
10146:	1 1 
10147:	1 1 
1015:	2 6 1 3 2 1 1 
10150:	1 14 
10151:	3 
10154:	1 1 1 3 
10155:	7 
10156:	3 
10157:	1 
10158:	7 1 4 9 
10159:	4 1 1 
1016:	1 3 2 18 6 3 2 1 1 1 5 
10160:	2 2 
10161:	1 3 15 1 1 
10162:	1 2 13 
10163:	2 2 
10164:	2 1 4 1 3 2 
10165:	1 1 2 
10166:	1 2 2 1 3 2 1 
10167:	2 6 4 3 3 1 3 
10168:	2 
10169:	4 
1017:	5 9 
10170:	5 3 1 
10171:	2 
10172:	1 1 
10173:	4 
10175:	2 
10176:	2 
10178:	17 2 
10179:	2 1 
1018:	4 1 
10180:	1 
10181:	2 
10182:	2 
10183:	1 
1019:	1 3 5 1 
10192:	1 
10193:	1 
10195:	1 1 
10196:	3 
10197:	4 
10198:	2 1 1 
10199:	3 8 2 3 
1020:	1 
10201:	2 
10204:	4 
