=== non-contiguous nft : chains ===
Found 1478 chain interruption in 9476 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	1 
1000:	1 
101:	3 
1012:	1 
1017:	2 1 
1019:	1 
102:	1 
1020:	1 1 
1021:	1 
1025:	2 
1028:	1 
1030:	3 
1034:	1 
1037:	1 
1042:	1 
1043:	2 
1044:	2 
1050:	1 1 
1057:	1 
1062:	1 
1065:	1 
1067:	2 
1069:	1 2 1 
1071:	2 
1073:	2 1 
1077:	1 
1078:	1 
1080:	1 
1081:	1 1 
1082:	3 
1084:	2 
1086:	1 
1091:	1 
1094:	1 
1095:	1 
1097:	2 
1098:	1 
1102:	1 
1105:	1 
1108:	4 
1110:	1 
1112:	2 
1113:	2 
1114:	4 
1118:	5 
1121:	5 
1124:	1 2 
1125:	2 
1127:	1 
1129:	1 
113:	1 
1134:	1 
1138:	1 
1142:	1 1 1 
1144:	1 
1145:	2 
1149:	1 
1150:	1 
1154:	1 
1155:	2 
1159:	1 2 1 
116:	2 
1163:	2 
1164:	2 
1165:	1 
1167:	1 
1168:	2 
1171:	2 3 
1172:	3 
1176:	1 
1178:	3 
118:	2 
1180:	1 1 1 
1183:	2 1 
1184:	1 3 
1185:	1 
1187:	1 
1189:	1 
1190:	1 6 
1191:	1 2 1 
1192:	1 
1195:	1 
1201:	7 
1202:	4 
1204:	2 
1205:	1 1 
1208:	2 
121:	1 
1213:	1 
1215:	1 
1217:	1 
1219:	2 2 
122:	1 
1220:	2 
1221:	1 
1222:	1 
1223:	1 
1224:	1 
1226:	1 
1230:	4 
1231:	1 2 
1234:	1 
1235:	1 
1240:	2 
1241:	1 
1243:	5 
1247:	1 
1251:	1 
1252:	1 
1253:	1 
1256:	1 3 
1261:	9 
1262:	3 
1263:	2 
1264:	1 
1265:	1 2 1 
1266:	1 
1267:	1 
1268:	2 
1271:	2 
1275:	1 
1276:	2 
1277:	2 
1284:	1 
1285:	1 1 
1286:	2 
1290:	1 
1292:	1 
1296:	4 
1301:	2 
1303:	2 
1305:	2 
1306:	1 
131:	2 
1312:	2 
1314:	2 
1320:	3 
1327:	1 
1328:	2 
1329:	1 1 
133:	2 
1331:	2 
1332:	1 
1333:	2 
1337:	3 
1338:	1 
1345:	1 
1347:	2 
1349:	1 
135:	1 
1352:	3 
1354:	2 
1355:	2 
1358:	5 
136:	1 
1360:	1 4 
1361:	1 
1362:	1 
1364:	1 
1366:	2 
1367:	1 
1369:	1 
137:	2 1 
1371:	2 
1373:	2 
1375:	2 
1376:	2 1 2 
1377:	1 
1382:	1 
1384:	1 
1387:	1 
1391:	1 4 2 
1392:	1 
1394:	2 
1397:	2 
1398:	2 
1399:	2 
14:	1 
140:	1 
1402:	2 
1404:	3 1 
1406:	3 
1407:	2 1 
1410:	1 
1411:	2 1 
1413:	1 
1416:	3 
1418:	4 1 
1419:	1 
1422:	1 
1423:	1 
1426:	2 
1428:	3 1 1 
1430:	1 
1431:	1 
1437:	1 
144:	1 
1440:	1 
1441:	1 
1444:	2 
1453:	2 
1454:	3 
1460:	2 
1464:	1 
1465:	1 
1466:	2 
1467:	1 1 
1471:	1 2 
1472:	2 
1474:	1 
1477:	1 1 
1482:	2 
1486:	1 1 
1487:	1 
1489:	3 2 
149:	3 1 
1493:	1 
1500:	2 2 
1501:	3 
1502:	4 
1504:	1 1 
1505:	1 
1506:	3 1 
1508:	1 1 
1509:	3 
1518:	2 2 
1519:	4 
152:	1 
1520:	4 2 
1524:	1 
1529:	1 
153:	2 
1531:	3 
1534:	6 
1539:	2 
1540:	1 
1542:	1 
1543:	2 1 
1544:	2 
1547:	1 
