
=== GRAPH INFO ===
Nodi: 19701
Archi: 56539
Duration (sec): 82059656 = 2y in interval [1624055595, 1706115251]
Delta (sec): 82059656 = 2y7m1w2d18h20min56s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 9070

size 2 → 4844 pattern
size 3 → 1770 pattern
size 4 → 843 pattern
size 5 → 420 pattern
size 6 → 300 pattern
size 7 → 186 pattern
size 8 → 111 pattern
size 9 → 91 pattern
size 10 → 76 pattern
size 11 → 56 pattern
size 12 → 34 pattern
size 13 → 30 pattern
size 14 → 26 pattern
size 15 → 23 pattern
size 16 → 18 pattern
size 17 → 16 pattern
size 18 → 15 pattern
size 19 → 19 pattern
size 20 → 14 pattern
size 21 → 13 pattern
size 22 → 9 pattern
size 23 → 10 pattern
size 24 → 11 pattern
size 25 → 3 pattern
size 26 → 10 pattern
size 27 → 4 pattern
size 28 → 4 pattern
size 29 → 7 pattern
size 30 → 3 pattern
size 31 → 2 pattern
size 32 → 10 pattern
size 33 → 4 pattern
size 34 → 4 pattern
size 35 → 4 pattern
size 36 → 4 pattern
size 37 → 7 pattern
size 38 → 3 pattern
size 39 → 1 pattern
size 41 → 3 pattern
size 42 → 3 pattern
size 43 → 1 pattern
size 44 → 3 pattern
size 45 → 1 pattern
size 46 → 4 pattern
size 47 → 1 pattern
size 48 → 3 pattern
size 49 → 2 pattern
size 50 → 2 pattern
size 51 → 2 pattern
size 52 → 3 pattern
size 53 → 1 pattern
size 54 → 2 pattern
size 55 → 4 pattern
size 56 → 1 pattern
size 57 → 1 pattern
size 58 → 1 pattern
size 60 → 1 pattern
size 61 → 1 pattern
size 62 → 1 pattern
size 63 → 2 pattern
size 64 → 1 pattern
size 66 → 3 pattern
size 67 → 1 pattern
size 68 → 1 pattern
size 73 → 1 pattern
size 76 → 1 pattern
size 77 → 1 pattern
size 79 → 1 pattern
size 81 → 1 pattern
size 86 → 1 pattern
size 90 → 1 pattern
size 97 → 1 pattern
size 99 → 1 pattern
size 103 → 1 pattern
size 125 → 2 pattern
size 147 → 1 pattern
size 148 → 1 pattern
size 155 → 1 pattern
size 213 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 7339

size 2 → 5288 pattern
size 4 → 1192 pattern
size 6 → 433 pattern
size 8 → 191 pattern
size 10 → 76 pattern
size 12 → 61 pattern
size 14 → 29 pattern
size 16 → 25 pattern
size 18 → 9 pattern
size 20 → 6 pattern
size 22 → 6 pattern
size 24 → 8 pattern
size 26 → 3 pattern
size 28 → 3 pattern
size 30 → 2 pattern
size 32 → 1 pattern
size 40 → 2 pattern
size 52 → 2 pattern
size 56 → 1 pattern
size 62 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 12292

size 2 → 9736 pattern
size 4 → 1588 pattern
size 6 → 483 pattern
size 8 → 215 pattern
size 10 → 101 pattern
size 12 → 68 pattern
size 14 → 29 pattern
size 16 → 22 pattern
size 18 → 12 pattern
size 20 → 9 pattern
size 22 → 6 pattern
size 24 → 4 pattern
size 26 → 5 pattern
size 28 → 4 pattern
size 30 → 3 pattern
size 34 → 1 pattern
size 40 → 1 pattern
