=== non-contiguous nft : chains ===
Found 13319 chain interruption in 7174 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
100:	1 2 
1002:	3 1 
1003:	6 
1004:	2 
1005:	1 
1006:	2 1 1 1 
1007:	1 2 
1009:	1 3 1 1 1 3 
101:	2 2 4 1 1 1 1 1 
1013:	1 3 
1015:	2 4 1 
1019:	4 1 
102:	2 2 
1020:	3 1 
1021:	2 
1022:	1 
1024:	1 1 1 
1025:	3 3 1 1 1 
1026:	2 2 4 1 1 3 1 1 3 1 3 
1027:	4 1 1 1 
103:	2 2 
1033:	2 3 3 
1039:	1 1 6 1 
1040:	3 3 1 
1041:	1 1 1 1 3 1 5 3 2 
1042:	1 1 2 
1043:	1 1 
1044:	11 1 4 3 
1046:	5 6 
1047:	1 2 
1048:	5 11 1 3 
1049:	1 
1050:	6 
1051:	4 
1052:	5 3 
1054:	4 
1055:	4 1 2 1 
1056:	4 
1057:	1 1 
1058:	4 2 
1059:	2 6 1 1 1 1 1 1 2 1 2 
106:	2 
1060:	1 
1061:	4 2 12 2 4 1 4 4 2 1 2 1 1 1 1 2 1 2 3 1 2 
1062:	1 1 
1063:	1 
1064:	5 
1065:	2 
1066:	4 1 
1067:	1 9 
1069:	2 7 
107:	1 1 
1070:	1 6 
1071:	8 1 2 5 
1072:	1 
1073:	2 2 2 2 
1074:	3 5 1 
1075:	3 
1076:	1 3 2 4 1 
1077:	11 
1079:	1 
108:	1 1 
1083:	2 3 1 
1084:	5 15 
1086:	1 
1087:	7 
1088:	1 
1090:	3 
1091:	6 
1092:	5 1 
1094:	1 1 
1095:	7 
1096:	2 2 
1099:	1 3 2 9 5 2 5 1 3 
11:	1 1 1 
1100:	2 
1104:	3 6 
1105:	6 6 
1107:	1 
1108:	5 1 3 
1109:	2 
1111:	1 
1112:	1 4 
1113:	1 1 1 2 1 1 1 1 1 
1115:	1 1 
1119:	9 1 
112:	2 
1121:	3 
1123:	1 
1124:	2 
1125:	4 
1130:	1 
1131:	3 
1133:	3 
1134:	2 12 
1135:	1 
1136:	2 
1137:	1 
1138:	1 
1139:	3 6 1 1 4 
114:	1 3 
1140:	3 
1141:	3 1 1 3 7 
1142:	1 
1144:	5 
1145:	4 3 
1147:	1 
1148:	1 
115:	2 
1150:	2 8 2 
1152:	6 1 3 
1153:	2 
1154:	4 
1155:	4 3 
1156:	2 1 1 1 4 1 2 2 
1157:	1 1 6 1 5 6 2 1 1 1 1 
1158:	1 4 15 
1159:	2 3 
116:	2 2 4 
1160:	1 
1161:	1 
1162:	2 1 3 1 1 
1163:	5 21 1 2 2 4 4 
1164:	3 
1165:	1 
1167:	2 
1169:	1 4 
117:	10 
1170:	4 1 5 1 2 1 
1172:	1 
1173:	3 3 3 2 4 8 2 1 3 2 1 1 1 1 1 1 1 1 
1174:	3 
1176:	1 
1177:	1 
1178:	3 
1179:	3 
1180:	2 
1181:	2 
1182:	3 5 
1183:	2 1 
1184:	3 3 
1185:	1 1 2 
1187:	3 
1188:	3 1 3 1 1 1 1 
1189:	5 2 
119:	2 
1190:	5 
1191:	2 1 1 
1193:	3 1 
1194:	2 3 
1195:	1 
1197:	3 4 
1198:	2 2 
1199:	6 
120:	3 7 
1200:	4 
1201:	3 1 
1202:	2 2 
1203:	1 5 1 3 
1204:	5 
1205:	1 3 2 
1207:	6 
1208:	6 1 
1209:	2 
1212:	2 4 1 
1215:	3 11 3 1 4 7 1 
1216:	1 
1217:	8 
1218:	5 1 
1219:	1 2 
1220:	1 2 1 5 10 
1221:	2 1 
1222:	3 3 1 5 1 
1223:	1 1 
1224:	4 
1225:	11 1 2 
