=== non-contiguous nft : chains ===
Found 2338 chain interruption in 8730 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	2 
1001:	1 
1002:	2 
1003:	2 
1004:	4 
1005:	2 
1006:	3 
1007:	2 1 1 
1008:	2 
1009:	1 
1010:	1 2 
1011:	1 
1012:	1 
1013:	4 
1014:	1 
1015:	4 
1016:	4 
1017:	1 
1018:	1 
1019:	2 
102:	1 
1020:	1 
1021:	1 
1022:	1 
1023:	2 1 
1024:	2 1 
1025:	1 
1026:	1 
1027:	1 
1028:	1 
1029:	1 
103:	1 
1030:	3 
1031:	3 
1032:	1 1 
1033:	2 
1034:	1 
1035:	1 
1036:	3 
1037:	2 
1038:	3 
1039:	3 
104:	2 
1040:	2 2 2 1 
1043:	1 
1044:	2 
1047:	2 
1049:	4 
105:	1 
1050:	1 
1051:	2 
1052:	1 
1053:	3 
1055:	1 
1056:	2 
1057:	1 
1058:	2 1 
1059:	3 
106:	3 
1061:	2 
1062:	1 4 
1063:	1 
1064:	1 
1065:	3 
1066:	1 
1068:	3 
1069:	2 
1070:	3 1 
1071:	3 
1072:	2 2 
1073:	1 
1074:	1 
1075:	6 
1076:	2 
1077:	3 
1078:	2 2 
1079:	2 
1080:	2 1 
1081:	2 
1082:	5 
1083:	7 
1084:	1 
1085:	1 
1086:	5 
1087:	1 1 
1088:	3 1 
1089:	3 
109:	4 
1090:	2 1 
1091:	2 
1092:	2 1 1 
1094:	2 
1095:	1 
1096:	2 1 
1097:	1 1 
1098:	2 
1099:	3 
11:	1 2 
110:	3 5 
1100:	3 
1101:	4 1 
1102:	3 
1103:	1 
1104:	1 1 
1105:	4 1 
1106:	3 
1107:	4 
1108:	2 
1109:	2 
111:	3 
1110:	1 
1111:	2 
1112:	3 
1113:	5 
1114:	4 
1115:	2 
1116:	1 
1117:	1 
1118:	4 
1119:	6 
112:	3 
1120:	3 1 
1121:	3 
1122:	1 
1123:	2 
