=== non-contiguous nft : chains ===
Found 788 chain interruption in 7981 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	2 
10:	1 
100:	1 
1000:	1 
1001:	1 
1003:	3 
1004:	1 
1005:	4 
1006:	2 
1007:	2 
1008:	1 1 
1009:	1 
101:	2 
1010:	2 
1011:	1 
1012:	1 
1013:	1 
1014:	1 
1015:	3 
1016:	2 
102:	4 
1021:	1 
1022:	2 
1023:	1 
1024:	1 
1025:	2 
1026:	4 
1027:	1 
1028:	2 2 
1029:	2 
103:	2 1 
1030:	2 
1031:	1 
1032:	1 3 
1033:	3 
1034:	1 
1035:	3 
1036:	1 
1037:	4 1 
1038:	1 
1039:	1 
104:	2 
1040:	1 
1042:	1 
1043:	3 
1044:	1 1 
1045:	2 
1046:	1 
1047:	1 
1048:	1 
1049:	4 1 1 
105:	3 
1050:	1 
1051:	3 
1052:	3 
1053:	3 
1054:	3 1 
1055:	3 
1056:	1 
1057:	1 
1058:	1 
1059:	2 
1061:	1 
1062:	3 1 
1063:	1 1 
1064:	1 
1065:	1 
1066:	3 
1067:	2 
1068:	4 
1069:	1 
107:	1 
1070:	3 
1071:	1 1 
1074:	1 
1075:	2 
1077:	2 
1078:	1 
1079:	3 
108:	1 
1080:	1 
1081:	1 
1082:	2 
1083:	1 1 
1084:	2 
1085:	4 
1086:	3 
1087:	4 
1088:	1 
1089:	1 
109:	1 
1090:	5 
1092:	1 
1093:	2 
1094:	4 
1095:	1 
1096:	4 
1099:	1 
11:	1 
110:	3 
1100:	3 1 1 
1101:	1 
1102:	1 
1103:	3 
1104:	3 
1105:	1 
1107:	1 
1108:	1 
111:	2 
1110:	1 
1111:	2 
1112:	1 
1113:	2 
1114:	3 
1115:	1 2 
1116:	1 
1117:	1 2 
1118:	2 
1119:	1 
112:	2 
1120:	3 
1121:	3 2 1 
1122:	1 
1125:	3 
1126:	1 
1127:	1 
1128:	3 
1129:	2 
113:	1 
1130:	1 
1133:	1 
1134:	3 
1135:	1 
1136:	4 
1137:	1 
1138:	1 
1139:	1 1 
114:	3 
1140:	2 
1141:	1 
1142:	3 
1144:	1 
1145:	2 
1146:	4 
1147:	1 
1148:	1 
1149:	2 
115:	1 
1150:	2 
1151:	1 
1152:	1 
1153:	1 
1154:	3 
1155:	1 1 
1156:	1 
1157:	1 2 
1158:	1 
116:	3 
1161:	2 
1162:	1 
1163:	2 
1164:	2 
1165:	1 
1166:	1 
1168:	2 
1169:	2 1 
117:	1 
1170:	1 1 
1171:	2 
1172:	2 2 
1173:	1 
1174:	1 1 
1175:	2 
1176:	1 
1177:	1 
1178:	1 
1179:	3 
118:	2 
1180:	4 
1181:	1 
1182:	2 
1183:	1 
1184:	1 
1185:	2 1 1 
1186:	2 
1187:	1 
1188:	1 
1189:	2 
119:	1 
1190:	1 
