=== non-contiguous nft : chains ===
Found 2867 chain interruption in 9162 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 4 
10000:	1 
1004:	5 
1005:	1 3 
1006:	5 
1007:	2 
1008:	2 
1009:	1 
101:	5 
1010:	2 1 
1011:	7 8 
1012:	2 
1013:	3 
1014:	1 
1015:	1 
1017:	2 1 
1018:	1 4 
1019:	3 
102:	2 
1020:	2 
1021:	2 1 2 
1023:	2 
1024:	3 1 1 
1025:	1 
1026:	9 
1027:	1 
1029:	1 
1030:	3 
1031:	1 1 1 1 
1032:	1 
1034:	1 5 1 
1035:	6 
1036:	3 3 
1037:	3 1 
1038:	2 
1039:	1 
104:	1 
1040:	1 
1041:	8 
1042:	2 
1043:	1 
1044:	1 
1045:	3 
1046:	3 
1047:	1 
1048:	1 1 
105:	2 
1050:	7 
1051:	1 
1053:	5 
1054:	1 1 
1055:	2 
1056:	1 
1057:	1 
1058:	3 1 
1059:	1 2 
106:	2 
1060:	3 
1061:	1 1 1 2 
1062:	2 2 2 
1063:	2 
1064:	7 
1065:	3 
1066:	1 1 1 
1067:	1 1 
1068:	2 
1069:	2 2 
107:	3 
1070:	3 
1071:	1 
1072:	2 
1073:	3 1 1 
1074:	1 
1075:	2 
1076:	1 
1077:	1 1 
1078:	1 
1079:	1 1 1 
108:	3 
1080:	6 
1081:	3 5 
1082:	2 
1084:	4 
1085:	1 1 
1086:	1 
1087:	1 
1088:	2 
1089:	8 
1090:	4 
1092:	2 
1093:	1 
1094:	4 1 2 3 2 2 
1095:	3 
1096:	2 1 2 
1097:	4 
1098:	1 
1099:	2 
1100:	3 1 
1101:	1 2 
1102:	1 
1103:	1 1 
1104:	1 
1105:	5 2 
1106:	1 
1107:	3 2 
1108:	3 
1109:	3 
111:	3 2 1 
1110:	1 
1111:	1 
1112:	1 
1113:	1 
1114:	3 
1115:	2 
1116:	4 
1117:	3 
1118:	1 
1119:	1 4 
112:	2 
1120:	2 
1121:	3 
1122:	2 
1123:	2 3 
1124:	2 
1125:	1 1 
1126:	6 
1127:	1 
1128:	1 5 
1129:	2 
113:	6 1 
1130:	1 
1131:	2 
1132:	2 
1136:	1 1 
1137:	1 
1138:	2 
1139:	1 4 
1140:	8 
1141:	3 2 3 
1142:	2 5 
1143:	2 
1144:	1 1 
1145:	2 
1146:	3 
1147:	3 
1148:	1 
1149:	4 
115:	2 
1151:	1 4 1 1 
1153:	6 
1154:	1 
1156:	5 
1157:	6 
1158:	1 
1159:	1 
116:	2 
1160:	2 
1161:	2 
1162:	1 1 
1163:	2 
1164:	2 
1165:	1 
1167:	1 
1168:	1 
117:	3 
1170:	4 4 
1172:	1 
1173:	1 
1174:	1 1 1 
1175:	1 
1176:	1 1 1 1 
1177:	1 2 3 
118:	3 1 
1180:	6 
1181:	1 
1183:	2 
1185:	5 
1188:	1 
119:	2 2 
1190:	1 
1191:	1 
1192:	2 
1193:	5 2 
1194:	1 
1195:	2 
1196:	1 2 
1197:	1 
1198:	2 
1199:	1 
120:	4 
1200:	1 
1201:	5 
1202:	2 2 
1203:	5 
1205:	2 
1207:	8 
1208:	1 
1209:	7 
121:	1 
1210:	1 1 2 
1211:	1 1 
1212:	3 
1213:	3 
1214:	3 
1215:	1 
1216:	5 1 
1217:	2 
1218:	3 
1219:	2 
122:	1 1 4 
1220:	2 
1222:	3 1 
1223:	3 
1224:	4 
1225:	1 
1226:	2 
1227:	2 
1228:	1 
1229:	3 
123:	1 
1230:	3 
1231:	1 
1233:	1 
1234:	6 
1235:	7 
1236:	1 
1237:	1 5 
1238:	3 
1239:	1 
124:	4 
1240:	1 
1244:	1 
1245:	4 1 
1247:	3 
1249:	1 
125:	1 
1250:	7 1 
1251:	1 
1252:	3 
1253:	1 
1254:	1 
1255:	2 
1257:	3 
1258:	3 
1259:	1 
126:	2 
1261:	4 
1262:	4 
1263:	1 
1265:	2 
1266:	1 
1267:	1 
1268:	3 
1269:	4 
127:	6 
1270:	1 3 
1271:	2 2 1 
1272:	4 3 
1274:	1 
1275:	1 
1276:	2 
1277:	1 
1278:	1 
1279:	3 
1280:	2 
1281:	1 
1282:	2 1 
1283:	5 
1284:	2 
1285:	4 
1286:	1 1 
1287:	1 
1288:	5 
1289:	1 1 
129:	4 1 1 
1290:	1 
1291:	2 1 
1292:	1 
1293:	4 2 1 
1294:	3 2 3 4 1 
1295:	3 
1298:	5 
1299:	1 
130:	2 
1300:	1 1 
1301:	2 
1302:	3 
1303:	5 3 
1304:	3 
1305:	1 
1306:	3 
1307:	1 
1308:	2 2 
1309:	1 
131:	1 
1310:	1 
1311:	1 1 
1312:	1 
1313:	1 
1314:	1 1 
1315:	6 3 
1316:	1 
1317:	4 
1318:	1 
1319:	1 
132:	1 
1320:	9 
1321:	2 1 
1322:	1 
1323:	1 
1324:	2 
1327:	2 
1328:	2 1 
1329:	7 
133:	3 
1330:	3 
1331:	5 
1332:	1 
1333:	3 
1334:	4 
1335:	4 2 
1336:	7 
1338:	3 2 
1339:	1 
134:	3 
1340:	3 2 2 
1341:	1 
1342:	2 
1343:	1 
1344:	3 
1345:	2 
1346:	1 
1347:	2 
1348:	1 1 
135:	3 
1350:	1 
1351:	1 
1352:	2 
1355:	3 
1356:	1 2 
1357:	3 
1358:	1 
136:	2 
1360:	2 
1361:	5 
1362:	2 2 
1364:	5 
1365:	1 
1366:	5 
1367:	1 
1368:	1 
1369:	1 2 1 
137:	1 
1370:	2 2 
1372:	3 
1373:	1 
1374:	4 1 
1375:	2 1 
1377:	2 
1379:	2 
1380:	4 
1381:	7 2 
1382:	1 
1383:	4 
1384:	1 
1385:	3 
1386:	2 
1387:	3 
1388:	1 6 
1389:	5 
1390:	5 2 
1392:	1 
1393:	3 
1394:	1 
1395:	2 
1396:	2 
1397:	2 
1399:	2 3 
140:	1 2 
1401:	1 
1402:	1 
1403:	1 
1404:	1 
1405:	1 
1406:	2 
1407:	3 
1408:	1 
141:	6 
1410:	2 
1411:	3 
1412:	1 
1414:	1 
1415:	2 
1416:	1 1 
1417:	3 
1418:	1 1 
1419:	3 
1421:	1 
1422:	4 1 
1423:	6 
1425:	4 2 3 1 2 
1426:	1 3 
1427:	1 
1428:	1 
1430:	2 
1431:	1 
1433:	1 
1434:	1 
1436:	2 
1437:	1 
1438:	2 
144:	2 2 
1440:	4 
1441:	3 
1442:	3 2 
1443:	4 
1444:	1 
1445:	4 1 
1446:	2 3 
1447:	1 
1448:	1 
1449:	1 1 
145:	1 
1450:	2 
1451:	3 
1452:	1 1 3 
1453:	1 
1454:	2 
1455:	1 2 
1456:	1 3 
1457:	1 3 2 
1458:	1 
1459:	1 
146:	2 
1460:	3 3 
1462:	1 
1463:	1 1 
1464:	8 2 
1465:	6 3 
1466:	1 
1467:	1 
1469:	2 2 
147:	1 1 
1470:	4 
1471:	1 
1472:	1 
1473:	1 
1474:	1 
1475:	5 
1476:	1 1 
1477:	3 
1478:	2 
1479:	1 
148:	4 
1480:	2 
1481:	2 
1482:	1 
1483:	9 
1484:	4 
1485:	1 
1486:	4 
1487:	1 2 
1488:	1 
1489:	2 
149:	7 
1490:	3 1 
1491:	4 1 
1492:	4 
1493:	3 1 
1495:	1 
1497:	2 1 2 
1498:	1 
1499:	1 
15:	1 
1502:	3 
1504:	1 
1506:	3 
1508:	4 
151:	1 
1511:	8 
1513:	4 
1514:	1 1 
1515:	3 
1516:	3 1 
1517:	1 1 
1518:	1 
1519:	1 
152:	1 
1520:	1 
1521:	1 
1522:	3 
1527:	1 
1528:	1 
1529:	2 
153:	4 
1530:	2 
1532:	2 
1535:	2 
1536:	1 
1537:	1 3 
1538:	1 2 
1539:	5 
154:	3 
1541:	2 1 
1542:	1 1 
1543:	1 
1544:	1 1 1 1 
1546:	5 1 
1547:	1 
1548:	3 
1549:	1 
155:	3 
1550:	4 
1551:	2 
1552:	1 
1553:	2 
1554:	1 
1555:	3 
1557:	1 
1558:	2 1 1 
1559:	1 
156:	3 
1560:	2 
1561:	3 
1562:	3 
1563:	3 
1564:	5 
1565:	1 2 
1566:	1 
1567:	5 
1568:	6 
1569:	2 
157:	1 
1570:	1 
1571:	1 
1572:	1 3 
1573:	2 
1574:	1 
1575:	2 
1576:	4 
1577:	5 
1578:	3 
1579:	2 
158:	1 
1580:	3 3 
1581:	1 2 
1582:	4 
1583:	2 2 4 
1584:	4 7 
1585:	1 
1586:	2 
1587:	4 3 
1589:	1 
159:	3 
1590:	3 
1591:	3 
1592:	1 
1593:	2 3 
1594:	1 
1595:	4 1 
1596:	3 
1598:	1 
1599:	1 
16:	2 
160:	2 
1600:	1 1 
1601:	1 1 2 
1602:	5 
1604:	2 2 
1605:	1 1 
1606:	3 1 2 
1607:	4 3 
1608:	7 
161:	4 
1610:	1 
1611:	3 
1612:	4 
1615:	4 
1617:	1 2 
1618:	2 
1619:	4 
162:	3 
1620:	3 3 
1621:	1 2 
1622:	1 2 
1623:	2 
1624:	1 
1625:	1 1 
1626:	5 
1629:	4 
163:	1 
1630:	3 
1633:	5 1 
1634:	4 3 1 
1635:	2 2 
1636:	3 
1637:	2 
1638:	1 1 
1639:	5 
1640:	1 2 
1641:	2 
1642:	6 
1643:	3 1 2 
1644:	1 1 1 
1646:	3 
1647:	2 
1648:	3 
1649:	3 
165:	1 
1650:	1 
1652:	1 
1653:	4 
1654:	1 
1655:	5 
1656:	5 1 
1658:	3 
1659:	4 1 
166:	3 
1660:	4 
1661:	1 
1662:	2 
1663:	2 
1665:	2 
1667:	1 
1668:	2 1 1 1 4 
1669:	4 
167:	4 
1670:	2 
1671:	1 
1672:	1 
1674:	2 
1675:	2 
1676:	1 
1677:	1 1 
1679:	3 
1680:	1 1 
1681:	1 
1682:	1 
1683:	1 
1684:	2 2 1 
1687:	2 
1688:	3 
1689:	3 
169:	5 
1690:	2 
1691:	4 
1693:	2 3 
1694:	3 2 
1695:	1 
1697:	3 2 
1698:	3 1 1 
1699:	4 
170:	2 
1702:	2 
1703:	4 
1704:	1 
1705:	1 
1706:	4 
1707:	3 
1708:	4 
1709:	1 
1710:	1 4 
1712:	4 
1714:	4 1 
1717:	6 
1718:	3 
1719:	2 4 
1720:	3 5 1 1 
1721:	4 
1722:	3 
1723:	1 
1724:	1 1 1 
1725:	1 2 
1726:	5 
1727:	1 
1728:	2 
1729:	5 
173:	3 3 1 
1730:	5 
1731:	1 1 
1732:	4 
1733:	2 
1734:	2 
1735:	2 
1736:	3 1 
1737:	3 
1738:	1 
1739:	3 
174:	5 
1740:	2 
1741:	1 
1742:	1 
1743:	3 
1744:	5 
1745:	3 
1747:	1 
1748:	1 
1749:	1 
175:	3 2 
1750:	1 
