=== non-contiguous nft : chains ===
Found 1084 chain interruption in 7015 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 
1000:	1 
1001:	1 
1002:	6 
1003:	1 
1004:	2 
1005:	3 1 
1006:	1 2 
1007:	3 1 
1008:	2 
1009:	3 
1010:	1 
1011:	2 
1022:	1 
1026:	1 
1037:	2 
1038:	2 
1039:	1 
1040:	3 
1043:	1 
1044:	1 
1045:	3 1 
1046:	2 
1047:	3 
1048:	1 1 
1049:	2 
1050:	1 
1051:	1 
1052:	3 2 
1053:	1 2 
1054:	1 
1055:	5 
1056:	2 
1057:	1 
1058:	2 
1059:	5 
106:	2 
1060:	3 1 
1061:	1 
1062:	2 
1066:	1 1 
1067:	3 
107:	3 
1071:	6 
1073:	1 
1074:	4 1 
1075:	1 
1076:	2 
1077:	1 
1078:	2 
1079:	1 
108:	1 
1080:	1 
1081:	1 
1082:	2 
1084:	2 
1085:	1 
1086:	1 
1087:	1 2 
1088:	1 
109:	4 
1090:	2 
1094:	2 
1095:	2 
1099:	3 
11:	3 
110:	2 
1100:	4 
1101:	2 
1102:	5 
1103:	2 1 
1104:	1 4 
1105:	1 
1106:	1 
1108:	1 
1109:	3 
111:	1 
1110:	2 
1111:	3 1 1 
1112:	1 
1113:	1 1 1 
1114:	2 
1115:	1 1 
1116:	6 
1117:	1 
112:	1 
1120:	1 
1121:	2 
1122:	4 
1123:	1 
1124:	1 1 1 
1125:	1 
1126:	1 
1127:	1 
1128:	3 
1129:	1 
113:	1 
1130:	1 1 
1131:	1 
1132:	1 
1133:	1 
1134:	2 
1135:	2 
1136:	2 
1137:	1 
1138:	1 
1139:	4 
114:	1 1 1 
1140:	2 
1141:	1 2 
1142:	3 
1143:	1 
1144:	3 1 3 
1145:	1 
1148:	1 
1149:	2 
115:	1 
1150:	6 1 
1151:	3 
1152:	2 
1153:	1 
1154:	2 
1155:	4 
1156:	1 
1157:	1 
1158:	2 
1159:	1 
116:	2 1 
1160:	1 
1162:	1 
1165:	2 
1167:	2 
1175:	4 
1177:	2 
1178:	1 
1179:	2 
118:	1 
1180:	2 
1181:	1 
1182:	1 
1183:	2 
1184:	4 
1185:	2 
1186:	3 
1187:	2 
1188:	1 
1189:	1 
119:	5 
1190:	6 
1191:	4 
1192:	1 
1194:	1 
1195:	5 
1196:	4 
1197:	1 
1198:	3 
1199:	3 
12:	1 
120:	1 
1200:	1 
1201:	2 
1202:	1 
1203:	1 
1204:	1 1 
1205:	1 2 
1206:	1 
1207:	1 
1209:	1 
1210:	2 
1211:	1 
1212:	2 2 
1213:	1 
1214:	1 
1215:	1 
1216:	2 
1217:	2 
1218:	2 
1219:	1 1 
1220:	1 
1221:	2 
1222:	1 
1223:	1 
1224:	1 3 
1225:	1 
1226:	1 
1227:	1 
1228:	2 
1229:	1 
1230:	1 
1231:	3 
1232:	4 
1233:	3 
1235:	1 
1237:	1 
1238:	5 
1239:	1 
124:	1 
1240:	1 
1241:	1 
1242:	4 
1244:	2 
