=== non-contiguous nft : chains ===
Found 2600 chain interruption in 3584 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	4 
100:	2 2 
1000:	2 
1001:	3 
1004:	3 
1005:	1 1 9 3 
1006:	1 
1009:	1 
101:	1 10 
1012:	1 
1014:	1 2 
1015:	1 
1016:	1 
1017:	2 
1020:	2 1 
1021:	3 
1022:	2 1 1 6 
1024:	2 2 
1026:	1 1 
1027:	3 1 
1028:	1 
1030:	2 4 
1031:	5 
1033:	3 1 
1034:	1 
1035:	4 2 
1036:	2 1 1 
1037:	1 
1038:	1 4 
1039:	1 
1040:	11 14 
1041:	3 2 
1042:	1 1 1 
1043:	2 2 
1044:	2 1 
1045:	2 
1046:	4 
1047:	5 2 
1048:	3 1 
1049:	2 
1050:	2 1 
1051:	5 5 5 
1052:	2 
1053:	4 5 
1058:	4 
1059:	1 
1060:	1 
1061:	1 
1063:	2 1 1 
1064:	2 
1065:	1 
1066:	1 
1067:	2 
1068:	2 
1071:	1 
1072:	4 
1073:	3 1 
1074:	2 
1075:	11 
1076:	1 1 1 8 
1077:	2 1 
1080:	2 2 
1081:	2 
1082:	2 
1083:	2 1 
1084:	10 
1085:	6 
1086:	11 1 5 
1089:	7 
1090:	1 1 
1091:	2 
1092:	1 
1094:	2 
1095:	1 3 
1096:	1 
1097:	1 14 
1098:	1 1 1 
1100:	1 
1101:	1 
1102:	1 2 1 
1103:	1 
1104:	3 
1106:	1 
1107:	5 
1108:	1 
1109:	2 1 3 
1110:	1 
1111:	1 1 
1112:	2 
1113:	2 2 
1114:	1 
1115:	3 1 
1116:	1 1 
1117:	4 1 1 
1118:	1 4 1 3 6 
1119:	1 1 
1120:	2 2 1 
1121:	4 1 2 3 
1122:	2 1 
1123:	1 
1125:	1 
1126:	2 9 
1127:	4 
1128:	1 1 5 
1129:	1 
1130:	4 
1133:	1 6 3 
1135:	3 
1141:	1 
1142:	8 5 
1144:	3 
1146:	7 
1147:	1 
1157:	3 
116:	3 3 
