
=== GRAPH INFO ===
Nodi: 23654
Archi: 65826
Duration (sec): 66787110 = 2y in interval [1639338209, 1706125319]
Delta (sec): 66787110 = 2y1m1w5d23h58min30s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 10120

size 2 → 5282 pattern
size 3 → 1925 pattern
size 4 → 873 pattern
size 5 → 521 pattern
size 6 → 327 pattern
size 7 → 219 pattern
size 8 → 152 pattern
size 9 → 126 pattern
size 10 → 93 pattern
size 11 → 81 pattern
size 12 → 62 pattern
size 13 → 42 pattern
size 14 → 51 pattern
size 15 → 39 pattern
size 16 → 26 pattern
size 17 → 25 pattern
size 18 → 15 pattern
size 19 → 11 pattern
size 20 → 10 pattern
size 21 → 14 pattern
size 22 → 16 pattern
size 23 → 16 pattern
size 24 → 17 pattern
size 25 → 9 pattern
size 26 → 8 pattern
size 27 → 12 pattern
size 28 → 10 pattern
size 29 → 6 pattern
size 30 → 8 pattern
size 31 → 6 pattern
size 32 → 6 pattern
size 33 → 9 pattern
size 34 → 9 pattern
size 35 → 3 pattern
size 36 → 6 pattern
size 37 → 5 pattern
size 38 → 2 pattern
size 39 → 8 pattern
size 40 → 3 pattern
size 41 → 1 pattern
size 42 → 2 pattern
size 43 → 2 pattern
size 44 → 5 pattern
size 45 → 3 pattern
size 46 → 4 pattern
size 47 → 2 pattern
size 48 → 1 pattern
size 49 → 2 pattern
size 50 → 6 pattern
size 51 → 1 pattern
size 52 → 2 pattern
size 54 → 2 pattern
size 55 → 1 pattern
size 56 → 1 pattern
size 58 → 2 pattern
size 59 → 1 pattern
size 60 → 2 pattern
size 64 → 1 pattern
size 66 → 3 pattern
size 69 → 2 pattern
size 71 → 1 pattern
size 73 → 3 pattern
size 74 → 2 pattern
size 78 → 2 pattern
size 82 → 1 pattern
size 83 → 1 pattern
size 86 → 2 pattern
size 89 → 1 pattern
size 91 → 2 pattern
size 99 → 1 pattern
size 100 → 1 pattern
size 122 → 1 pattern
size 165 → 1 pattern
size 301 → 1 pattern
size 307 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 8258

size 2 → 6029 pattern
size 4 → 1359 pattern
size 6 → 434 pattern
size 8 → 200 pattern
size 10 → 101 pattern
size 12 → 55 pattern
size 14 → 32 pattern
size 16 → 17 pattern
size 18 → 13 pattern
size 20 → 4 pattern
size 22 → 4 pattern
size 24 → 4 pattern
size 26 → 1 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 36 → 1 pattern
size 50 → 1 pattern
size 52 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 13056

size 2 → 10302 pattern
size 4 → 1714 pattern
size 6 → 555 pattern
size 8 → 238 pattern
size 10 → 111 pattern
size 12 → 48 pattern
size 14 → 36 pattern
size 16 → 20 pattern
size 18 → 8 pattern
size 20 → 11 pattern
size 22 → 4 pattern
size 24 → 3 pattern
size 28 → 1 pattern
size 30 → 1 pattern
size 34 → 1 pattern
size 38 → 1 pattern
size 48 → 1 pattern
size 52 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 9397

size 2 → 7290 pattern
