=== non-contiguous nft : chains ===
Found 14885 chain interruption in 12175 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	7 1 
10:	2 
100:	1 
1000:	2 1 
10000:	1 
10002:	1 2 1 
10003:	1 1 
10005:	1 
10007:	2 
10008:	1 5 1 4 
10009:	1 
1001:	1 
10010:	2 
10011:	4 13 19 1 11 2 
10012:	1 
10013:	2 
10015:	4 
10017:	2 
10019:	2 
10020:	3 2 2 1 1 2 
10022:	1 1 
10023:	2 
10028:	1 4 1 23 1 1 
10029:	1 
1003:	1 1 
10030:	2 
10031:	2 3 
10033:	9 4 1 1 
10038:	1 
10039:	1 
10040:	6 3 1 5 
10042:	4 
10043:	1 1 1 
10044:	1 1 3 2 3 
10045:	2 
10046:	2 1 
10048:	4 
10049:	2 2 
1005:	11 4 
10051:	1 2 
10052:	3 1 
10055:	1 
10058:	2 
1006:	3 
10061:	1 4 2 
10063:	2 
10064:	2 1 1 
10066:	2 
10067:	8 
10068:	1 
1007:	3 
10070:	5 
10072:	14 4 
10073:	1 1 
10074:	7 1 2 8 1 7 2 
10075:	1 7 5 
10077:	2 3 
1008:	1 22 1 
10080:	2 
10081:	2 
10083:	1 1 1 1 2 
10084:	2 
10085:	2 
10086:	5 
10087:	2 2 1 4 1 5 1 5 3 1 3 2 2 3 1 7 8 5 
10089:	1 
10091:	1 
10093:	2 
10094:	7 3 4 8 4 5 4 1 1 1 6 
10095:	2 
10096:	1 
10099:	1 
101:	1 1 2 
10101:	1 
10102:	3 
10104:	3 
10105:	2 
10108:	1 2 
10109:	1 3 
1011:	6 5 6 6 5 1 1 1 1 3 1 2 
10111:	1 1 
10113:	2 
10115:	1 
10116:	2 1 1 
10117:	2 1 1 2 
10119:	1 1 
1012:	2 
10120:	1 
10121:	1 
10124:	1 
10125:	4 
10126:	2 1 3 1 
10127:	1 
10128:	2 
10129:	1 2 1 2 
1013:	1 
10130:	3 9 11 
10132:	1 2 
10133:	3 
10135:	2 
10136:	2 1 
10137:	3 
10138:	2 2 
1014:	4 
10141:	1 
10143:	3 
10146:	1 3 2 3 1 5 4 1 
10148:	2 1 
10149:	1 5 4 5 
10150:	1 
10152:	1 
10153:	1 
10158:	1 
1016:	2 1 
10160:	2 1 1 1 
10161:	1 
10162:	1 
10163:	2 1 
10167:	3 
10168:	1 2 
1017:	1 
