=== non-contiguous nft : chains ===
Found 4011 chain interruption in 9112 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
1000:	5 1 4 
1001:	5 
1002:	4 1 
1003:	3 3 
1004:	3 
1005:	3 
1006:	2 2 2 
1007:	1 1 
1008:	5 
1009:	3 
101:	1 
1010:	3 
1011:	2 
1012:	1 1 
1013:	8 
1014:	2 
1015:	3 1 
1016:	2 2 
1017:	1 
1018:	4 
1019:	2 1 
102:	5 
1020:	6 
1021:	1 
1023:	2 
1024:	2 
1025:	1 1 
1026:	5 
1027:	2 2 3 
1028:	2 
1029:	10 
103:	2 1 2 
1030:	1 3 1 
1031:	1 5 1 1 1 
1032:	3 
1033:	4 
1034:	1 
1035:	2 1 
1036:	2 
1037:	2 7 
1038:	11 
1039:	5 6 
104:	1 
1040:	6 
1041:	14 
1042:	2 1 
1044:	5 3 
1045:	3 
1046:	1 
1047:	1 
1048:	3 
1049:	1 2 
105:	3 
1050:	8 
1051:	4 1 2 
1052:	4 
1053:	3 1 
1054:	2 
1055:	3 
1056:	1 3 2 
1057:	6 
1058:	6 
1059:	1 
106:	1 
1060:	7 5 
1064:	1 2 
1065:	5 1 2 4 
1066:	2 
1067:	1 
1068:	3 
1069:	8 
1070:	6 
1071:	4 
1072:	4 
1073:	2 1 
1074:	5 
1077:	3 
1078:	1 2 
1079:	3 
108:	2 1 3 
1080:	6 
1081:	1 6 
1082:	4 
1083:	2 1 
1084:	3 
1085:	4 
1086:	1 1 2 
1087:	1 2 4 
1088:	2 
1089:	1 
109:	3 
1090:	1 
1091:	2 
1092:	4 3 
1093:	1 
1094:	4 
1095:	1 
1096:	12 
1097:	5 
1098:	3 
1099:	3 
110:	1 
1100:	3 
1101:	6 
1102:	5 
1103:	3 2 2 
1104:	7 
1105:	1 5 
1106:	2 1 1 
1107:	4 2 
1108:	3 
1109:	2 2 
111:	4 
1110:	2 
1113:	4 
1114:	6 1 
1115:	3 1 
1116:	12 3 
1117:	5 
1118:	1 
1119:	7 3 
112:	1 
1120:	1 
1121:	1 
1123:	4 
1124:	1 
1125:	5 
1126:	1 2 1 1 
1127:	5 
1128:	7 1 
1129:	2 
113:	1 
1130:	5 
1131:	3 
1132:	3 
1133:	3 
1134:	4 
1135:	2 5 
1136:	2 
1137:	2 
1138:	5 
1139:	6 
114:	1 
1140:	3 2 
1141:	3 1 1 1 
1142:	3 
1143:	6 2 
1145:	1 
1146:	7 
1147:	4 
1148:	1 1 
1149:	1 3 3 
115:	2 1 
1150:	1 
1153:	1 
1154:	5 1 
1155:	2 2 1 2 1 
1156:	4 2 
1157:	7 
1158:	6 
1159:	2 
116:	1 
1160:	4 1 
1161:	2 
1162:	1 
1163:	3 
1164:	2 
1165:	2 
1166:	5 1 
1167:	3 
1168:	3 5 
1169:	6 
117:	3 
1170:	5 2 
1171:	4 1 1 2 
1172:	6 
1173:	1 
1174:	1 2 
1175:	4 
1176:	4 
1177:	2 
1178:	2 
1179:	3 
118:	5 2 
1180:	4 1 
1181:	4 
1182:	4 3 
1183:	2 
1184:	6 
1185:	1 
1186:	2 
1187:	1 1 
1188:	2 
1189:	3 
119:	4 
1190:	3 
1191:	1 
1192:	3 
1193:	3 
1194:	4 
1195:	1 
1196:	2 2 
1197:	2 
1198:	1 
1199:	2 
120:	1 
1200:	5 
1201:	6 
1202:	3 
1203:	2 
1204:	3 1 
1205:	3 
1206:	6 
1207:	5 
1208:	7 
1209:	2 3 2 2 
121:	3 
1210:	6 
1211:	2 
1212:	1 
1213:	2 1 1 1 
1214:	3 
1215:	2 
1216:	1 
1217:	3 
1218:	6 4 2 4 3 
