=== non-contiguous nft : chains ===
Found 5490 chain interruption in 12362 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10003:	1 
10005:	1 
10006:	3 
10010:	1 3 
10011:	2 1 1 
10012:	3 
10014:	2 
10017:	1 
10019:	2 
10024:	4 
10025:	2 
10027:	2 
10028:	3 
10030:	2 1 
10035:	1 
10036:	3 
1004:	1 
10043:	1 
10046:	2 1 
10050:	1 
10051:	2 1 1 
10052:	1 
10054:	1 1 2 
10058:	4 
10059:	1 
10060:	1 
10071:	1 1 
10072:	3 
10073:	1 
10074:	1 
10075:	1 
10076:	4 
10077:	3 
10079:	2 
10080:	2 
10081:	1 1 
10082:	1 
10083:	1 2 
10084:	2 
10085:	1 
10086:	1 2 
10087:	1 
10088:	2 
10089:	2 
10090:	1 
10091:	2 1 
10092:	3 
10093:	2 1 1 
10094:	3 
10099:	2 
10100:	1 
10102:	4 2 
10103:	1 
10104:	4 
10105:	2 
10106:	1 1 
10107:	2 
10108:	3 
10109:	1 
10110:	1 3 
10111:	1 
10112:	2 2 1 
10113:	1 1 3 
10114:	3 
10115:	4 3 
10116:	1 2 3 
10117:	1 
10118:	1 
10119:	1 1 1 
1012:	1 
10120:	1 5 
10122:	1 
10123:	1 3 
10125:	1 
10126:	2 
10127:	4 
10128:	3 
10129:	1 2 1 
1013:	3 
10130:	1 
10131:	2 2 2 
10132:	1 
10133:	3 
10134:	1 1 
10135:	1 
10136:	3 
10137:	1 1 
10138:	3 
10139:	2 
1014:	1 
10140:	4 
10141:	5 1 1 2 
10142:	6 2 
10143:	1 2 
10144:	1 
10145:	2 1 2 
10146:	4 
10147:	1 
10148:	1 3 
10149:	3 5 
10150:	4 
10151:	2 
10152:	2 
10153:	8 
10154:	1 
10155:	1 1 
10156:	3 1 
10157:	4 4 1 
10158:	2 3 
10159:	1 3 
10160:	1 
10161:	4 
10162:	1 3 1 
10163:	4 
10164:	2 
10165:	3 2 
10166:	4 
10167:	1 1 3 
10168:	2 
10169:	2 1 
1017:	2 2 
10170:	1 2 1 
10171:	6 4 
10172:	3 
10173:	2 
10174:	1 
10175:	1 
10176:	2 
10177:	1 
10178:	2 2 
10179:	1 
10180:	1 
10181:	1 1 
10182:	1 1 4 
10183:	2 1 
10184:	2 
10185:	6 
10186:	2 1 1 
10187:	3 
10188:	3 
10189:	1 
1019:	4 
10190:	7 
10191:	1 
10193:	1 4 
10194:	3 1 
10195:	1 1 
10196:	2 1 
10197:	3 
10199:	4 
102:	1 
1020:	1 
10200:	2 
10203:	3 
10204:	3 2 2 3 
10205:	1 1 1 
10206:	1 
10207:	1 1 
10208:	2 4 
10209:	1 3 
10210:	1 
10211:	1 
10212:	1 
10213:	1 
10214:	1 
10215:	1 2 1 
10216:	2 
10217:	4 
10218:	2 1 
10219:	1 
1022:	2 
10220:	1 1 2 1 
10221:	2 
10222:	2 
10223:	1 1 
10224:	1 4 
10225:	3 
10226:	2 
10227:	5 
10228:	1 2 1 
10229:	1 
1023:	4 1 2 3 
10230:	2 2 
10231:	1 2 
10232:	2 
10233:	2 
10234:	6 
10236:	4 
10237:	1 
10238:	2 1 
10239:	2 
10240:	1 2 
10241:	5 
10242:	1 2 
10243:	1 1 1 1 
10244:	3 
10245:	1 
10247:	5 1 
10248:	1 1 1 
10249:	2 1 
1025:	1 2 
10250:	3 
10251:	2 3 
10252:	2 
10254:	1 
10255:	1 4 
10256:	1 
10257:	2 
10258:	5 
10259:	2 
1026:	3 
10260:	3 5 
10261:	1 1 
10262:	2 1 2 
10263:	1 1 
10264:	2 
10265:	1 
10266:	1 3 1 
10267:	1 1 
10268:	2 
1027:	1 
10270:	2 
10271:	3 
10272:	1 
10273:	1 
10275:	1 
10276:	1 
10277:	4 
10278:	3 
10279:	4 
10280:	3 
10281:	3 
10282:	2 
10283:	1 2 1 
10285:	1 
10286:	1 3 1 
10287:	3 
10289:	7 2 
10290:	3 2 
10291:	1 1 
10292:	3 
10293:	1 3 1 
10294:	5 2 
10296:	2 
10297:	1 2 
10298:	1 
10299:	1 
10300:	2 
10301:	2 
10302:	1 
10303:	1 
10304:	1 1 
10305:	1 2 
10307:	4 3 
10308:	3 1 
10309:	1 2 
10310:	3 6 
10311:	3 
10313:	1 4 1 
10314:	3 
10315:	1 
10316:	2 
10317:	3 
10318:	1 
10319:	2 
1032:	1 1 1 1 
10320:	1 2 1 
10321:	2 
10323:	1 
10324:	1 
10325:	4 
10326:	1 4 1 
10327:	5 
10328:	1 
10329:	7 
10330:	3 2 
10331:	1 1 1 
10333:	2 
10334:	3 
10335:	2 
10337:	1 2 1 
10338:	3 
10339:	1 
10340:	6 
10341:	2 1 
10342:	1 2 
10343:	2 2 
10345:	5 
10346:	1 1 2 1 6 
10348:	2 
10349:	1 
1035:	1 
10350:	2 
10351:	1 1 
10352:	1 1 2 
10353:	3 3 1 
10354:	1 
10355:	1 
10356:	1 1 1 
10358:	2 
10359:	1 
10360:	3 
10361:	1 1 1 
10362:	2 1 
10365:	1 1 2 2 
10367:	2 2 1 1 
10368:	5 
10369:	1 1 
1037:	1 2 
10370:	2 
10373:	1 
10374:	4 
10375:	4 
10376:	2 
10377:	1 
10378:	2 
10379:	2 1 
10381:	2 
10382:	5 
10383:	2 1 
10384:	1 3 
10385:	2 
10386:	2 
10387:	3 
10388:	1 
10389:	3 2 
10390:	5 8 
10391:	2 
10392:	1 
10396:	1 2 
10397:	4 
10398:	1 
10399:	1 2 
10400:	1 1 
10401:	4 2 1 
10402:	4 1 3 1 
10404:	1 1 5 
10405:	4 1 
10406:	4 1 
10407:	1 
10408:	3 
10409:	4 
10411:	3 
10412:	4 1 
10413:	1 
10414:	1 1 
10415:	2 2 
10416:	1 1 
10417:	4 1 3 
10418:	1 1 4 2 
10419:	1 
10420:	2 
10421:	1 
10422:	1 2 
10423:	1 
10425:	3 1 
10426:	2 
10428:	1 1 1 1 2 1 
10429:	1 
10430:	3 2 1 
10431:	2 
10432:	1 2 
10433:	1 
10434:	2 
10435:	3 1 2 2 
10436:	1 4 
10438:	1 
10439:	2 
1044:	1 
10440:	1 
10441:	4 
10442:	4 
10443:	1 
10444:	3 
10445:	1 1 2 
10446:	1 
10447:	1 
10448:	1 1 
10449:	1 6 
10450:	1 1 
10451:	2 
10452:	1 
10453:	4 2 1 
10454:	1 1 5 
10455:	1 1 
10457:	1 
10458:	1 1 
10460:	2 
10461:	1 
10462:	1 
10463:	1 
10464:	1 2 1 
10465:	4 
10467:	6 
