=== non-contiguous nft : chains ===
Found 1246 chain interruption in 6173 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 
1000:	2 
1001:	3 
1002:	3 
1003:	2 
1004:	1 
1005:	2 
1006:	1 
1007:	1 2 
1008:	1 
1009:	1 1 
101:	1 
1010:	2 
1019:	1 
102:	1 1 
1020:	4 
1022:	2 1 2 
1024:	1 
1025:	2 
1026:	1 
1027:	1 
1028:	1 
1031:	1 
1032:	1 
1033:	1 1 
1034:	3 
1035:	3 
1036:	1 
1037:	1 
1038:	1 
1039:	3 
104:	1 
1043:	3 1 
1044:	1 
1045:	1 
1046:	3 
1048:	1 
1049:	2 
1051:	3 
1052:	1 1 
1053:	1 
1055:	3 
1056:	3 
1058:	2 
106:	1 
1060:	1 1 
1061:	5 
1063:	1 
1064:	1 1 
1067:	1 
1068:	1 
1069:	1 
107:	1 
1070:	1 
1074:	1 
1075:	2 
1077:	1 
1078:	2 
1079:	1 
108:	1 
1080:	1 
1081:	1 1 
1083:	1 
1086:	3 
1090:	4 
1091:	1 
1092:	1 
1094:	1 1 
1095:	1 
1096:	1 
1097:	1 
1103:	2 
1105:	1 
1106:	1 
1107:	1 
1108:	2 
111:	2 
1111:	2 
1112:	2 
1113:	2 1 
1114:	3 2 2 
1115:	3 
1116:	1 1 
1119:	2 
112:	2 
1120:	2 
1121:	2 
1123:	1 
1125:	4 
1128:	1 
1129:	1 4 
113:	1 
1131:	1 
1132:	3 
1133:	2 
1134:	3 
1138:	3 
1139:	1 
114:	3 
1140:	2 
1141:	3 
1143:	2 
1144:	1 5 
1146:	1 
1147:	1 
1151:	1 
1154:	1 
1155:	4 2 
1157:	3 
1160:	1 
1162:	1 
1164:	1 1 1 1 
1165:	1 1 
1166:	1 
1167:	3 
1168:	1 
1169:	1 
117:	3 1 
1170:	1 
1171:	2 
1172:	4 
1173:	6 1 
1174:	4 
118:	1 
1181:	3 
119:	1 2 
1190:	3 
1191:	4 1 
1192:	1 
1193:	1 
1194:	1 
1195:	2 
1196:	1 
1197:	1 
1199:	1 1 
120:	3 
1200:	2 2 1 
1201:	2 
1209:	1 
121:	1 
1210:	1 
1211:	4 
1212:	2 
1213:	2 1 
1214:	2 1 
1215:	1 
1217:	1 
1219:	2 
122:	1 2 1 2 
1220:	1 2 
1224:	1 
1225:	1 
1227:	1 
123:	2 5 1 
1231:	1 
1233:	1 
124:	1 
1240:	2 
1241:	1 
1242:	1 
1243:	1 
1244:	1 
1245:	1 
1246:	1 
1247:	1 
1250:	3 
1251:	1 
1252:	1 
1254:	1 
1255:	3 
1259:	1 
126:	1 
1263:	1 
1264:	2 
1265:	8 
1266:	4 
1267:	2 
1268:	2 2 
1269:	1 
127:	2 
1270:	1 
1271:	2 
1274:	3 
1275:	1 1 
1276:	3 
1277:	1 
1278:	1 
1280:	2 
1281:	1 
1282:	1 
1284:	1 
1285:	2 
1286:	1 
1288:	1 
1289:	3 
1290:	1 
1291:	1 1 2 
1292:	2 
1293:	1 
