=== non-contiguous nft : chains ===
Found 2157 chain interruption in 4105 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 1 
1001:	3 
1007:	1 2 
1008:	2 
1009:	3 
1011:	1 
1012:	2 
1013:	3 
1014:	3 
1017:	3 
1018:	2 
1019:	6 
1020:	2 
1021:	1 
1022:	1 5 
1023:	2 
1024:	3 
1025:	1 1 
1026:	1 3 
1027:	1 2 
1028:	1 
1029:	1 2 1 
1030:	1 
1031:	1 
1032:	1 2 1 1 
1033:	4 
1034:	4 
1035:	3 1 
1036:	1 1 
1037:	2 
1038:	2 
1043:	3 
1044:	2 
1046:	2 
1048:	4 
1049:	3 1 3 
1050:	2 1 
1051:	9 
1054:	2 
1055:	3 
1056:	3 
1057:	2 
1060:	6 
1061:	1 
1065:	1 
1066:	2 
1068:	3 
1069:	3 
1070:	4 1 
1071:	1 
1072:	4 
1073:	1 2 1 1 
1074:	1 
1075:	2 7 2 
1076:	3 1 
1077:	1 
1078:	2 1 
1079:	1 2 2 
1080:	1 
1081:	1 
1082:	1 
1083:	1 1 4 
1084:	1 
1085:	1 2 
1086:	8 
1087:	1 
1088:	1 2 
1089:	5 1 
1090:	1 1 
1091:	2 
1092:	3 2 
1093:	2 
1094:	1 3 
1095:	2 1 
1096:	1 
1097:	1 
1098:	1 
1099:	1 
1101:	5 
1102:	2 
1103:	1 
1104:	2 
1105:	1 
1106:	3 3 
1107:	1 
1108:	3 2 
1109:	2 1 
1110:	1 
1111:	6 
1112:	3 3 1 
1113:	2 1 
1114:	1 
1115:	1 
1116:	3 
1117:	2 
1118:	1 1 
1119:	2 
1120:	2 
1151:	2 2 
1183:	1 
1185:	4 
1186:	4 
1217:	2 9 3 
1218:	1 1 
1219:	1 
1220:	1 1 1 
1221:	4 
1242:	1 1 1 
1243:	1 
1244:	3 
1245:	1 
1246:	2 
1247:	2 2 2 
1249:	1 
1250:	3 2 2 
1251:	2 
1252:	1 
1253:	1 
1255:	1 
1256:	2 1 2 4 
1257:	2 2 1 
1258:	1 
1259:	1 
1260:	3 
1261:	2 
1262:	1 3 
1263:	3 
1264:	1 
1265:	1 
1266:	5 
1267:	2 
1268:	2 
1269:	5 
1270:	5 
1271:	7 
1272:	2 
1273:	1 
1274:	5 1 2 2 
1275:	4 
1277:	2 
1278:	1 4 
1279:	5 
1280:	4 8 3 
1281:	1 
1282:	4 
1283:	1 
1284:	5 5 
1285:	1 
1286:	3 
1287:	2 
