=== non-contiguous nft : chains ===
Found 7912 chain interruption in 7047 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 1 
1:	1 1 1 
1000:	2 1 1 
1001:	1 2 1 1 
1002:	1 1 2 1 
1003:	2 
1004:	1 
1005:	2 
1006:	3 
1007:	1 1 
1009:	2 1 
1010:	2 
1011:	3 2 1 1 1 1 
1012:	1 1 2 
1013:	3 
1014:	2 
1015:	3 
1027:	2 2 
1029:	1 1 3 
1030:	1 1 4 
1032:	1 
1035:	1 
1036:	2 
1041:	2 
1042:	1 
1043:	2 1 2 1 
1044:	1 1 
1045:	1 3 
1048:	2 1 
1050:	1 
1052:	1 1 
1054:	3 
1056:	1 1 
1057:	1 
1058:	1 2 
1059:	2 
1060:	1 1 
1061:	1 
1062:	1 1 
1063:	1 
1068:	2 
1069:	1 
1071:	3 1 
1072:	1 5 1 1 1 
1074:	1 
1075:	1 1 2 
108:	1 
1083:	2 
1084:	2 2 1 
1085:	2 1 
1086:	1 
1091:	3 
1092:	1 1 1 1 2 2 
1093:	1 
1094:	3 
1095:	3 
1096:	1 1 3 1 
1097:	1 
1100:	1 3 
1101:	1 1 1 1 1 
1102:	1 1 1 1 4 1 
1105:	1 
1109:	1 1 1 
111:	1 1 
1110:	3 1 
1111:	1 
1112:	1 2 1 
1113:	1 
1115:	1 
1116:	1 1 1 
1118:	3 1 
1119:	1 1 1 
1123:	3 1 1 
1127:	1 1 2 1 1 
1129:	2 
1139:	8 3 
1142:	2 
1143:	1 2 
1144:	1 
1146:	1 1 2 2 
1147:	1 
1149:	1 
1151:	1 1 
1155:	1 4 
1156:	1 
1158:	1 
116:	1 1 
1160:	2 
1161:	3 1 1 
1162:	2 
1163:	1 2 
1164:	1 
1168:	2 
1169:	1 1 
1170:	1 1 
1171:	1 
1173:	2 
1175:	2 
1176:	1 
1177:	1 
1178:	1 
1179:	1 
118:	2 
1180:	1 1 2 
1181:	1 2 1 1 3 
1182:	1 
1183:	1 2 
1184:	2 3 1 
1185:	1 
1186:	5 
1187:	1 1 
1189:	2 1 1 
1190:	1 1 1 
1191:	1 
1194:	1 1 
1195:	1 
1196:	2 
1198:	1 
1199:	1 
1201:	1 
1203:	1 1 
1205:	3 
1209:	2 2 
1210:	1 1 
1211:	1 1 
1212:	4 
1215:	1 3 
1216:	1 1 
1222:	2 
1224:	1 
1225:	1 1 1 
1226:	1 
1231:	1 
1232:	1 1 1 
1234:	2 
1236:	1 1 
1237:	1 
1238:	2 
124:	3 
1240:	2 
1241:	4 
1242:	1 
1243:	1 2 
1244:	1 1 3 
1251:	3 1 
1252:	1 1 
1253:	2 
1254:	1 4 3 
1256:	1 1 
1257:	2 
1258:	1 
1259:	1 
1261:	3 
1263:	1 3 
1264:	1 
1265:	1 
1266:	1 3 
1267:	3 
1269:	5 
1270:	1 3 
1271:	1 1 
1274:	1 
1275:	1 2 1 
1279:	2 
1280:	2 
1281:	1 3 3 1 1 
1282:	1 
1283:	1 1 
1284:	1 
1286:	1 
1287:	1 4 1 1 
1288:	2 
1289:	2 
1290:	3 1 
1299:	3 2 2 1 1 
1302:	3 
1306:	1 1 2 
1308:	2 
1311:	1 
1314:	1 
1315:	1 4 
1316:	1 3 1 1 1 
1319:	1 1 
1320:	3 
1321:	2 1 1 
1322:	2 
1323:	1 
1324:	2 1 4 4 2 
1325:	1 2 
1326:	2 
1328:	2 
1329:	1 
1330:	1 1 1 1 
1331:	1 
1333:	1 
1334:	1 1 1 2 
1335:	3 
1336:	1 
1338:	1 1 2 1 
1340:	2 
1342:	2 
1343:	1 
1345:	3 
1347:	3 
1348:	1 
1349:	3 1 
1350:	1 1 
1351:	2 
1352:	1 
1353:	1 1 1 1 
1354:	5 1 1 
1359:	1 
1360:	2 1 1 3 1 
1361:	1 3 
1362:	1 1 1 1 3 3 2 
1369:	1 1 1 2 2 1 4 
1370:	1 2 1 1 
1372:	1 
1374:	1 2 
1375:	1 
1376:	3 1 
1378:	3 
1379:	2 1 
138:	1 2 2 
1380:	1 
1381:	3 
1384:	1 
1385:	1 2 3 1 
1386:	7 
1387:	1 2 
1388:	2 
1389:	2 
139:	4 
1390:	1 
1392:	3 1 1 1 
1394:	3 2 
1396:	1 1 
1397:	1 4 
1398:	1 1 1 1 1 1 
14:	1 1 1 
1400:	1 1 
1401:	1 5 
1402:	2 
1403:	1 1 2 
1404:	3 
1405:	5 1 1 
1406:	1 1 1 
1407:	1 1 
1408:	2 
1409:	1 1 1 
141:	1 1 1 1 
1411:	1 2 
1413:	3 1 1 1 1 
1414:	1 1 1 
1416:	2 2 
1417:	1 1 2 
1418:	1 
1419:	1 
1420:	1 1 1 1 
1422:	1 2 
1423:	2 
1424:	4 1 
1425:	1 1 
1426:	1 4 
1427:	1 1 2 1 
1428:	1 
143:	1 2 
1430:	2 1 3 1 2 
1433:	1 
1434:	1 
1435:	2 
1436:	8 1 1 
1437:	1 
1438:	1 
1439:	1 2 1 
1440:	2 1 1 1 
1443:	1 1 
1444:	1 1 1 
1445:	1 
1446:	1 5 1 1 3 1 
1447:	1 2 
1448:	1 1 
1451:	4 
1454:	1 2 3 1 
1456:	1 1 1 1 1 3 1 
1458:	8 
1461:	1 1 1 
1462:	3 1 1 
1463:	1 4 1 1 
1464:	2 
1465:	1 
1466:	1 
1467:	1 2 1 2 1 1 
1469:	1 1 3 
1471:	1 
1473:	1 3 1 2 2 1 
1474:	3 
1475:	1 2 3 
1476:	5 
1477:	1 
1479:	1 1 
1480:	4 
1482:	1 3 6 1 1 2 
1483:	1 
1484:	1 1 1 
1486:	1 
1489:	2 1 
1490:	1 1 
1492:	1 
1495:	1 1 
1498:	1 
1499:	2 1 
150:	2 
1500:	1 
1501:	2 
1502:	3 1 
1503:	1 
1504:	2 
1505:	1 
1506:	1 
1507:	1 2 
1508:	1 
1509:	1 1 
1510:	1 1 
1512:	1 2 
1513:	4 2 1 
1514:	1 2 
1516:	3 1 2 
1517:	1 2 
1518:	1 
1519:	1 1 1 
1520:	1 2 1 1 1 
1521:	2 
1522:	1 3 1 
1523:	2 
1524:	3 
1525:	1 
1527:	1 3 
1528:	1 
1529:	1 
1530:	1 
1531:	2 
1532:	4 
1533:	1 2 3 1 1 
1535:	3 2 1 
1537:	2 1 1 
1538:	1 
1539:	1 1 1 2 
1540:	1 1 
1541:	1 1 1 
1544:	3 
1546:	3 1 1 1 
1548:	2 
155:	1 1 1 
