=== non-contiguous nft : chains ===
Found 2410 chain interruption in 7804 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	1 
10:	3 1 
100:	5 
1003:	1 4 
1004:	2 
101:	3 2 
1010:	1 4 
1011:	1 2 
1013:	8 
1014:	2 
1015:	1 3 
1016:	5 
1019:	4 2 1 
102:	2 
1022:	1 
1023:	1 
1024:	3 
1025:	1 
1026:	3 
1029:	2 
1030:	2 1 
1032:	3 2 
1033:	1 
1034:	1 
1035:	1 
1037:	4 
1040:	6 
1042:	5 1 1 
1043:	4 
1046:	2 
1047:	6 
1049:	1 
105:	1 
1050:	2 
1051:	3 
1053:	6 
1054:	1 
1056:	3 
1057:	1 
1058:	2 
1059:	1 
106:	7 
1062:	2 
1063:	2 
1064:	3 
1065:	6 1 
1067:	4 
1069:	4 
107:	1 
1070:	3 
1071:	2 
1073:	1 
1077:	2 
108:	4 1 
1083:	3 
1086:	3 
1089:	2 
1090:	1 
1093:	6 
1094:	4 
1099:	2 1 2 
11:	1 
110:	2 3 
1103:	5 
1106:	6 
1111:	6 
1112:	4 
1114:	1 
1115:	1 1 1 4 
1116:	4 
1117:	2 
1118:	1 
1119:	2 1 1 
1120:	1 1 2 
1121:	4 
1123:	6 
1124:	1 
1127:	1 
1128:	4 
1129:	1 
113:	2 
1130:	1 
1131:	1 
1132:	1 
1133:	3 
1134:	1 
1137:	1 
1139:	1 
1140:	4 
1142:	1 
1143:	1 
1144:	2 
1145:	1 
1148:	2 
115:	3 
1150:	2 6 
1151:	1 6 
1152:	3 
1153:	3 
1158:	3 
1161:	2 
1162:	2 
1163:	1 
1164:	2 
1166:	1 
1168:	5 
1169:	1 
1172:	2 
1173:	2 
1178:	1 
1179:	1 
1180:	3 
1181:	1 
1182:	2 
1183:	1 
1184:	1 
1185:	2 
1186:	4 
1187:	1 1 
1190:	1 
1191:	1 
1192:	1 
1195:	1 4 
1197:	2 1 
1198:	1 
1199:	2 
12:	2 
1200:	5 
1201:	3 
1202:	8 
1203:	3 
1204:	1 
1205:	1 
1206:	1 
1207:	2 
1208:	3 
1209:	3 
121:	2 
1211:	1 1 
1213:	3 
1214:	1 
1216:	3 
1217:	1 6 
1218:	3 
1220:	1 
1221:	3 1 
1227:	1 
1228:	1 
1229:	1 
1230:	2 2 
1231:	1 
1232:	2 
1235:	1 
1236:	2 
1237:	1 
1238:	1 
1240:	8 
1241:	3 
1242:	5 
1243:	3 
1244:	2 1 
1245:	4 
1246:	1 
1247:	1 
1248:	2 
125:	6 
1250:	3 
1251:	3 
1252:	1 2 
1253:	2 
1254:	6 
1255:	3 
1256:	7 
1257:	2 3 
1259:	1 6 1 
1260:	1 9 2 
1261:	1 1 
1262:	2 
1263:	1 
1264:	2 
1265:	2 
1266:	3 
1267:	3 2 
1268:	3 3 
1269:	2 
