=== non-contiguous nft : chains ===
Found 2433 chain interruption in 6690 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 1 
100:	2 
1000:	1 
10000:	1 
1001:	5 2 2 
1003:	4 
1004:	2 1 
1005:	3 
1007:	2 
1009:	3 
101:	4 
1011:	2 
1012:	1 
1014:	1 
1015:	1 
1016:	1 
1017:	1 2 
1018:	2 
102:	3 
1020:	2 2 
1023:	2 
1024:	1 
1025:	1 2 
1027:	1 
1028:	2 
1029:	1 
103:	2 
1032:	2 
1034:	3 
1035:	3 
1036:	4 
104:	1 
1040:	4 
1041:	1 
1042:	2 
1045:	3 1 
1047:	4 
1049:	1 
105:	1 
1050:	1 
1051:	2 
1053:	3 2 2 
1054:	1 2 1 
1055:	1 1 1 
1057:	2 
1058:	1 
1059:	2 
106:	2 
1061:	1 
1063:	2 4 1 
1066:	1 
1069:	3 
107:	1 
1070:	2 
1071:	1 1 
1072:	2 
1073:	1 
1074:	1 
1075:	1 1 
1077:	1 
1079:	1 
108:	1 
1080:	2 2 
1081:	1 
1082:	4 
1084:	1 
1086:	1 
1089:	4 
1090:	1 
1091:	2 
1092:	2 3 
1093:	1 
1094:	6 
1097:	1 
1099:	1 1 
11:	3 
110:	2 
1100:	4 1 
1102:	3 
1103:	1 1 
1104:	4 
1106:	1 
1107:	2 
1108:	1 
1109:	1 
111:	1 
1110:	1 
1112:	2 
1115:	3 
1116:	1 3 2 
1119:	1 1 
112:	2 
1120:	1 5 
1121:	1 
1124:	2 
1125:	1 1 
1126:	1 3 
1127:	1 
1128:	2 
1129:	3 
113:	2 
1130:	1 
1131:	1 1 1 
1132:	1 
1133:	2 1 
1134:	2 
1135:	2 
1137:	3 
1138:	1 1 1 1 
1139:	1 
1140:	2 
1141:	2 1 
1142:	1 
1143:	3 
1146:	4 2 
1148:	1 
115:	2 
1150:	5 
1151:	2 1 
1152:	1 
1153:	2 
1155:	2 
1156:	4 2 
1157:	1 2 
1158:	3 
1160:	2 
1161:	1 2 
1163:	1 
1164:	2 
1166:	1 
1167:	2 
1169:	1 
1171:	1 3 
1174:	1 1 1 1 1 
1175:	3 
1177:	2 
1178:	1 
1179:	3 
1182:	2 
1184:	1 2 
1186:	1 
1188:	3 
119:	1 
1191:	1 
1192:	3 
1193:	1 2 
1194:	3 
1195:	1 1 1 
1197:	2 3 
120:	3 
1200:	1 
1201:	1 1 
1202:	1 
1203:	2 2 1 
1204:	2 
1206:	1 
1207:	2 1 
1209:	1 
1212:	2 
1215:	2 1 
1217:	1 
1218:	1 1 1 2 
1219:	1 1 
122:	2 
1220:	2 
1221:	2 2 5 3 
1222:	1 
1223:	3 
1224:	2 
1225:	2 
1226:	1 
1227:	4 
1228:	3 
1229:	3 
123:	1 
1230:	2 1 2 
1231:	2 
1232:	1 
1233:	1 1 
1236:	1 
1237:	1 1 1 
1238:	2 
1239:	3 2 2 1 
124:	1 
1240:	2 
1241:	2 
1242:	2 
1245:	4 1 
1246:	2 1 
1247:	2 
1248:	1 
1249:	3 2 
125:	1 
1251:	4 1 
1254:	6 1 2 1 1 
1255:	3 
1257:	2 
1259:	1 1 
126:	2 1 
1260:	1 
1261:	1 
1262:	2 4 
1264:	2 
1265:	1 2 
1266:	3 
1270:	1 1 
1271:	2 
1272:	1 
1273:	1 
1275:	1 
1276:	1 
1279:	4 
128:	3 
1280:	1 
1282:	2 1 
1283:	3 
1285:	4 
1286:	3 
1287:	1 
1288:	1 1 
1289:	1 
1290:	1 
1291:	3 
1293:	1 
1294:	2 
1295:	2 
1296:	2 
1299:	1 
13:	2 
130:	1 
1300:	2 
1301:	2 
1302:	1 
1303:	6 1 3 
1304:	3 1 1 
1305:	6 
1306:	1 
1307:	6 
1309:	1 1 
1310:	1 
1311:	6 1 
1312:	2 
1313:	2 
1314:	2 
1315:	6 
1316:	1 
