=== non-contiguous nft : chains ===
Found 3821 chain interruption in 10350 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
1000:	1 
10000:	3 1 
10002:	1 
10004:	4 
10008:	1 
10009:	1 
1001:	2 
10012:	1 1 1 
10013:	4 5 
10016:	1 
10017:	2 
10019:	1 
1002:	3 
10020:	1 
10021:	1 
10023:	2 1 
10024:	3 
10025:	1 
10026:	2 
10027:	2 
10028:	1 
1003:	2 
10030:	1 
10031:	1 
10032:	1 
10034:	1 
10035:	1 
10036:	1 
10037:	1 
10038:	1 
10040:	3 2 
10042:	5 
10044:	1 
10047:	2 1 
10048:	1 
10049:	2 
1005:	2 1 2 
10050:	3 
10051:	1 
10052:	1 
10053:	1 1 
10054:	2 1 
10057:	2 
10058:	3 3 
10059:	6 2 
1006:	1 1 
10060:	2 
10061:	1 
10063:	5 
10064:	1 1 2 
10065:	1 
10066:	3 2 1 1 2 1 1 
10067:	1 
10068:	1 
10069:	3 
1007:	1 
10070:	1 1 
10072:	1 
10073:	1 
10075:	1 
10076:	1 3 
10077:	2 
10078:	2 
10079:	3 1 
1008:	1 
10080:	9 
10081:	2 
10084:	1 
10085:	1 
10086:	3 
10087:	1 
10088:	5 
10091:	2 
10092:	1 
10093:	1 1 
10094:	4 
10095:	2 
10096:	3 
10097:	2 
10098:	5 
10099:	1 
1010:	1 
10100:	1 3 1 
10101:	1 1 
10102:	2 
10103:	1 
10104:	6 
10105:	2 
10106:	1 
10107:	1 
10108:	1 
10109:	1 
1011:	1 
10110:	1 
10111:	1 
10112:	2 
10114:	4 
10116:	1 
10117:	3 1 
10118:	2 
10119:	2 4 
1012:	1 1 
10120:	1 1 
10121:	3 
10123:	1 
10124:	1 4 
10125:	2 
10126:	2 
10127:	3 
1013:	2 
10130:	1 
10133:	1 
10135:	1 
10136:	3 1 
10137:	1 
10138:	3 
10139:	1 
1014:	1 
10141:	3 1 
10142:	1 3 
10143:	2 
10145:	4 
10146:	2 2 2 
10147:	2 
10148:	1 
10150:	1 
10151:	1 
10155:	1 
10156:	1 
10157:	1 
10159:	1 1 
10161:	3 
10162:	2 
10163:	5 
10164:	2 
10167:	1 
10168:	1 1 
1017:	4 
10170:	1 
10172:	1 
10174:	2 
10175:	1 
10176:	3 
10178:	2 
10179:	2 
1018:	2 
10180:	1 
10183:	5 
10185:	1 
10186:	1 
10187:	2 
10188:	1 3 
10189:	1 
1019:	1 1 
10191:	1 
10192:	5 
10193:	2 
10194:	1 1 
10198:	4 
10199:	2 3 
102:	1 
10200:	1 
10201:	1 1 1 
10202:	1 1 
10203:	2 1 1 1 
10204:	3 
10206:	1 1 
10208:	2 
10209:	2 
10210:	1 
10211:	2 
10212:	1 
10213:	1 
10216:	2 
10218:	2 2 
10219:	3 
1022:	4 
10220:	1 
10221:	1 
10223:	2 1 
10224:	3 
10227:	1 
10228:	1 1 
1023:	1 
10230:	6 
10231:	4 
10232:	1 
10234:	1 
10235:	1 3 
10236:	3 5 
10237:	1 1 
10239:	1 
