=== non-contiguous nft : chains ===
Found 256 chain interruption in 511 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 1 
1:	1 
100:	1 
1000:	1 
102:	2 
104:	1 
105:	1 1 
106:	1 
108:	2 
109:	2 3 
11:	1 1 1 
110:	1 1 2 
112:	2 
116:	2 1 
117:	1 
118:	3 1 
121:	2 
125:	1 
129:	1 
131:	1 
133:	2 1 
136:	1 
137:	1 
138:	1 1 
14:	2 
140:	1 
141:	1 
142:	1 
143:	1 
144:	2 
145:	1 1 
146:	1 1 
147:	1 
148:	1 
152:	1 
153:	1 1 
155:	2 1 
156:	1 1 1 
158:	1 
159:	1 
16:	2 
161:	1 1 
163:	1 1 
164:	1 1 
165:	1 1 1 
167:	1 
17:	2 
171:	1 
172:	2 
174:	1 
176:	1 1 
177:	1 2 
178:	1 
179:	1 
180:	1 
182:	1 
184:	1 1 
185:	1 1 1 
186:	1 
187:	1 
189:	1 1 
191:	2 
192:	1 
199:	1 
2:	1 
202:	1 1 1 
203:	1 
205:	1 1 
208:	1 
210:	1 1 
211:	2 
212:	1 
213:	1 
214:	1 
216:	2 
220:	1 1 1 
221:	1 
225:	1 
227:	1 
228:	1 2 
229:	1 2 
23:	1 
235:	1 1 
236:	1 
238:	2 
240:	1 
242:	3 2 2 1 
243:	1 1 3 
244:	1 
248:	2 
25:	1 
250:	1 
253:	1 
254:	1 
256:	5 
257:	1 
258:	2 
26:	2 
260:	1 
261:	1 2 
263:	2 
264:	1 
266:	1 
268:	1 
269:	1 
271:	1 
272:	1 
273:	2 
277:	3 
280:	1 
282:	2 
283:	3 1 
287:	1 
289:	1 
29:	3 3 1 
290:	1 
293:	1 1 
298:	1 
30:	7 
300:	1 1 1 
302:	1 
304:	1 1 1 1 
306:	1 
308:	1 
311:	2 
313:	3 
316:	2 
32:	1 
320:	2 1 
321:	1 
322:	1 
323:	2 1 1 
325:	1 1 
326:	1 2 2 
327:	1 
329:	1 1 1 
330:	1 1 1 1 
332:	2 
334:	1 
342:	1 
344:	1 
345:	1 1 1 1 
346:	3 
347:	1 
350:	1 
351:	1 1 
352:	1 1 
354:	4 
355:	1 1 1 
356:	1 
357:	1 
36:	1 1 
360:	1 
361:	1 1 
362:	1 1 1 
364:	1 
365:	1 1 2 
366:	1 1 
368:	1 
37:	2 
373:	2 1 
374:	1 
375:	1 
376:	1 
378:	1 
379:	2 
380:	1 
381:	2 
382:	2 
385:	2 
386:	2 
387:	1 
388:	1 
389:	1 1 
39:	1 
391:	1 
395:	1 1 
397:	1 
398:	1 2 1 1 
399:	1 
40:	2 
400:	2 2 
403:	1 
406:	3 2 
407:	2 1 
408:	1 3 
409:	2 
410:	1 
411:	3 
412:	1 1 1 
414:	2 
416:	1 
422:	2 2 
425:	1 1 
426:	1 
427:	1 1 
428:	2 
429:	2 1 
433:	1 1 
434:	2 1 1 
435:	1 
437:	1 
441:	6 
442:	1 
443:	2 
448:	3 
449:	1 
45:	1 1 
450:	1 
451:	1 2 2 
452:	1 
453:	2 1 
457:	1 
46:	1 
460:	1 
462:	1 
463:	1 
466:	1 
469:	1 
47:	1 
470:	2 1 
471:	1 
473:	1 2 
474:	1 1 
475:	1 1 
479:	1 1 
481:	2 
482:	1 1 
483:	2 2 
485:	1 
486:	1 
487:	1 1 
489:	2 1 1 
49:	1 
490:	2 1 
491:	1 
493:	1 1 1 
498:	1 
499:	1 
50:	1 1 
500:	4 
502:	2 
504:	2 1 
505:	2 
51:	4 1 
511:	1 1 
514:	1 1 
516:	1 1 
517:	1 1 
52:	2 
520:	2 1 
522:	1 
523:	1 
526:	1 
528:	1 
529:	1 
53:	3 
530:	1 
532:	1 
535:	1 
536:	1 2 
538:	1 
54:	1 
541:	1 
542:	2 
544:	1 
545:	2 
548:	1 1 
55:	3 
550:	1 
555:	1 
559:	2 1 
560:	1 
561:	2 2 
562:	2 1 
563:	3 
565:	1 1 
569:	1 1 
571:	1 
573:	1 1 1 
574:	1 1 
575:	1 1 
576:	1 
577:	1 
578:	1 1 
580:	1 
583:	1 1 1 
584:	1 1 1 
585:	1 
59:	2 2 
590:	1 
591:	1 1 
592:	1 1 1 
594:	1 1 1 
595:	1 3 
596:	1 
597:	2 1 
598:	1 
6:	1 1 
601:	2 
603:	1 1 
606:	1 
607:	1 1 
608:	1 
611:	2 
614:	1 1 
616:	1 
618:	1 2 
62:	2 
622:	1 
624:	2 
625:	1 
628:	1 1 
629:	1 
63:	2 
632:	2 2 
634:	1 
637:	1 3 
638:	3 1 
639:	1 
64:	2 
642:	2 
646:	3 1 
