=== non-contiguous nft : chains ===
Found 201 chain interruption in 1117 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1003:	1 
1005:	2 
1008:	1 
1014:	2 2 
1015:	1 
102:	1 
1020:	2 
1023:	1 2 
1031:	1 
1035:	1 
1048:	3 
1050:	1 1 
106:	1 
1065:	1 
1066:	1 
1077:	1 
1078:	1 
1090:	2 1 
1093:	1 
1096:	1 
1099:	1 
11:	1 4 
1144:	3 
1146:	2 
1147:	1 
1150:	1 2 
1155:	2 
1159:	1 
1164:	1 
117:	1 
1183:	1 
1201:	1 
1214:	2 
1223:	1 
1228:	1 
1233:	3 
1241:	1 
1243:	1 
1258:	1 
1259:	1 
1265:	2 
1272:	2 
1280:	1 
1282:	1 
1284:	1 
1291:	1 
1305:	2 
1306:	1 
1310:	2 
1312:	2 1 
1352:	2 
1370:	1 
138:	3 
1380:	1 
1382:	2 
1393:	2 
1394:	1 4 
1398:	2 
1409:	3 2 
1418:	1 
1441:	2 
1462:	1 2 
1470:	3 
1474:	1 2 1 
148:	2 
1485:	2 
149:	1 
1497:	1 
1499:	1 
1525:	1 
1527:	3 
1536:	1 
1542:	1 
1556:	1 
1558:	4 
1561:	3 
1566:	1 
1581:	1 
1585:	1 
1590:	1 
1596:	2 
1611:	1 
1620:	1 1 
1623:	4 3 
1625:	2 
1626:	1 
1632:	2 
1636:	1 
1647:	2 
1666:	5 
1676:	1 2 1 3 1 
1687:	2 
1694:	2 
1699:	2 
1713:	1 
1719:	1 
1732:	2 
1733:	1 
1734:	3 
1737:	1 
1743:	2 
1745:	4 
1747:	2 
1757:	1 
176:	1 
1760:	3 1 
1766:	6 
1796:	1 2 
1803:	1 
1812:	1 
1814:	2 
1822:	1 
1825:	3 
1855:	3 
1856:	1 
1869:	1 1 
1871:	2 
1873:	2 
188:	1 1 
1881:	3 
1894:	2 
1895:	2 
1904:	1 3 
1951:	3 
1956:	2 
1964:	1 
1967:	3 
