=== non-contiguous nft : chains ===
Found 1654 chain interruption in 1579 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1001:	2 
1002:	2 
1003:	3 
1004:	1 1 
1005:	2 
1006:	2 
1007:	1 7 
1008:	3 
1009:	3 1 1 1 1 4 1 
101:	1 5 
1010:	1 1 
1011:	1 2 4 1 1 
1012:	1 1 
1013:	1 
1014:	2 1 
1015:	2 1 
1016:	4 2 3 1 4 
1017:	5 
1019:	1 
102:	1 1 
1020:	3 
1021:	1 
1022:	1 4 
1023:	1 
1024:	2 3 
1025:	1 5 3 
1026:	1 
1027:	3 
1028:	1 4 
1029:	1 
103:	1 2 
1030:	2 2 
1031:	1 3 
1032:	4 
1033:	1 
1034:	2 1 3 
1035:	2 3 
1036:	2 1 
1038:	1 
1039:	2 1 
1040:	1 10 
1041:	12 
1042:	2 2 7 
1043:	2 1 
1044:	2 2 2 
1045:	1 
1046:	1 
1047:	1 
1048:	1 1 3 
1049:	2 
105:	1 
1050:	1 3 
1051:	1 1 
1052:	1 2 2 
1054:	1 2 4 
1055:	1 1 2 1 
1056:	3 2 
1057:	2 12 
1058:	5 
1059:	1 3 2 3 
106:	1 1 
1060:	1 2 2 
1061:	4 
1062:	3 
1063:	1 1 14 
1066:	1 1 4 
1067:	1 
1068:	1 
1069:	1 1 3 
107:	1 
1070:	1 1 1 
1073:	2 
1074:	1 
1075:	1 
1076:	4 
1077:	1 
1078:	2 
1079:	2 3 
108:	2 
1080:	4 2 
1082:	3 
1084:	3 
1085:	5 3 
1086:	1 2 
1087:	6 
1089:	2 1 1 
109:	1 
1090:	3 1 7 13 
1091:	1 1 1 
1093:	2 2 
1094:	1 
1095:	1 
1096:	1 
1097:	1 
1098:	1 3 1 1 
1099:	1 3 2 
1100:	3 
1101:	1 
1102:	1 
1103:	3 
1104:	3 
1105:	1 1 
1106:	1 
1107:	1 
1108:	3 
1109:	1 3 2 1 
1110:	7 11 
1111:	1 1 
1112:	1 1 2 
1113:	2 
1114:	1 
1115:	1 1 
1117:	2 1 
1118:	2 
1120:	4 1 2 1 
1121:	3 3 2 1 7 
1122:	4 
1123:	1 3 1 3 
1124:	2 
1125:	1 1 
1126:	1 1 2 
1127:	1 2 1 
1129:	3 
1130:	2 1 
1131:	1 
1132:	1 1 
1134:	1 
1135:	1 4 
1136:	2 1 
1137:	2 2 1 
1138:	4 1 
1139:	1 
1140:	3 
1141:	1 4 
1142:	1 1 
1143:	1 2 
1144:	3 1 
1145:	1 4 
1147:	2 
1148:	1 3 
1149:	1 4 1 3 
115:	1 4 
1150:	4 3 
1151:	4 1 1 
1152:	1 
1153:	1 1 
1154:	2 1 1 
1155:	2 2 
1156:	1 2 1 1 2 
1157:	1 3 3 3 
1158:	2 
1159:	4 2 
116:	1 2 1 
1160:	3 3 
1161:	1 1 2 
1162:	2 1 6 
1163:	1 1 3 
1165:	2 
1166:	2 1 5 
1167:	2 3 1 
1168:	1 3 1 
1169:	3 
117:	2 1 1 
1171:	6 
1172:	5 
1173:	1 1 3 
1176:	1 5 
1177:	6 3 2 
1179:	2 1 
118:	3 
1180:	3 
1181:	1 2 2 2 
1182:	1 
1183:	3 
1184:	1 4 
1186:	2 
1187:	1 2 
1189:	1 4 
119:	1 
1191:	6 
1192:	2 
1193:	1 
1194:	1 
1195:	2 
1196:	4 
1197:	4 
1199:	3 
1200:	1 4 
1201:	6 
1205:	1 2 
1206:	1 1 2 
1207:	2 
1208:	1 
1210:	1 3 1 
1211:	2 3 1 4 1 2 1 5 1 
1213:	2 2 1 
1214:	1 3 
1215:	3 
1216:	3 
1217:	2 1 3 1 2 
1218:	1 
1219:	2 2 
122:	1 
1220:	2 
1221:	3 2 
1222:	2 1 
1223:	1 2 2 2 
1224:	2 
1225:	2 1 1 1 
1226:	1 
1227:	1 1 
1228:	2 2 
1229:	2 1 
1230:	2 
1231:	2 3 5 
1232:	1 
1233:	1 14 
1234:	1 1 
1236:	2 1 3 
1237:	1 1 
1238:	1 3 1 
1239:	1 1 2 5 
124:	1 
1240:	1 
1241:	2 1 2 
1242:	1 2 
1245:	1 1 2 1 
1246:	6 4 
1247:	1 1 2 
1249:	1 
125:	4 
1250:	2 1 
1251:	2 
1252:	1 4 1 3 1 3 
1253:	4 
1255:	3 1 
1256:	1 
1257:	5 
1258:	1 1 
1259:	1 
126:	1 1 2 1 2 
1260:	2 
1261:	1 2 
1262:	1 
1263:	2 1 2 
1264:	4 1 
1265:	1 
1266:	3 1 
1267:	4 
1268:	1 3 
1269:	2 2 
127:	1 1 
1270:	3 2 1 
1271:	3 
1274:	3 4 
1275:	1 4 
1277:	2 1 3 1 
1278:	2 2 3 
1279:	1 
1280:	3 2 
1281:	1 
1283:	1 8 
1284:	1 
1285:	1 2 
1286:	2 
1288:	1 1 
129:	5 
1290:	3 
1291:	2 2 
1292:	4 1 
1293:	1 
1294:	1 4 
1295:	2 
1296:	2 2 2 2 2 
1297:	4 1 
1298:	1 1 
130:	1 1 
1300:	1 
1304:	4 
1305:	1 1 
1306:	2 5 
1307:	1 1 1 
1308:	2 
1309:	1 1 
1310:	1 1 1 
1312:	3 1 
1313:	1 4 
1314:	1 
1315:	2 6 
1316:	1 
1317:	2 
1319:	1 2 2 
1320:	2 1 6 
1321:	1 2 1 5 
1323:	1 
1324:	2 2 
1325:	3 
1326:	4 
1327:	1 
1328:	1 1 1 
1329:	2 4 
133:	1 1 
1330:	2 
1332:	2 
1333:	1 1 
1334:	2 1 
1335:	1 1 
1336:	1 
1337:	1 3 3 
1338:	1 6 2 5 4 
1339:	3 1 
134:	1 
1340:	2 1 
1342:	2 1 2 2 5 
1343:	1 2 
1344:	1 1 
1345:	1 2 1 3 
1346:	1 
1348:	2 1 
135:	1 4 
1350:	1 
1351:	2 2 1 
1352:	1 1 2 1 
1354:	2 2 
1355:	3 6 
1356:	1 2 
1357:	2 
1358:	2 
1359:	1 1 1 
136:	5 
1360:	4 2 5 
1362:	1 
1363:	3 1 3 
1364:	1 6 
1365:	1 
1366:	1 2 
1368:	1 1 
1369:	2 1 1 1 1 
1370:	3 
1371:	3 1 
1372:	2 
1373:	4 2 4 
1374:	2 
1375:	1 1 7 3 
1376:	1 1 
1377:	6 
1378:	4 
1379:	1 2 
138:	3 1 4 3 3 2 
1380:	1 
1383:	4 1 
1384:	4 3 
1385:	1 
1386:	2 1 1 
1388:	3 1 
1389:	2 
139:	2 
1390:	2 2 1 
1391:	1 1 
1392:	2 2 
1393:	1 4 1 
1394:	3 1 2 
1395:	1 
1396:	3 
1397:	1 1 
1400:	1 
1401:	2 1 1 
1402:	1 
1403:	1 1 
1404:	1 
1407:	2 4 2 3 3 
1409:	2 
141:	1 1 
1410:	1 
1411:	1 3 1 
1412:	2 3 2 
1414:	1 5 
1415:	1 
1416:	1 4 5 
1418:	3 
1419:	3 
142:	3 
1420:	1 1 3 
1421:	1 4 3 
1422:	2 1 
1423:	1 
1424:	1 2 5 1 
1425:	2 
1426:	3 
1427:	2 
1428:	1 1 
1429:	2 1 1 
143:	2 2 
1430:	2 
1431:	1 
1432:	2 2 
1433:	2 3 4 
1434:	1 2 2 1 2 1 
1435:	2 1 
1436:	1 
1437:	1 
1438:	1 
1440:	9 
1441:	1 
1442:	1 4 
1443:	1 
1444:	17 
1445:	2 
1446:	1 1 2 
1447:	1 3 1 
1448:	1 
1449:	2 
145:	10 
1450:	1 1 
1451:	1 2 1 3 2 
1452:	1 
1453:	1 
1454:	3 
1455:	2 
1457:	1 2 1 2 
1458:	2 1 1 1 
1459:	1 1 1 1 
146:	5 2 1 
1461:	2 1 
1463:	1 2 
1464:	2 1 
1465:	1 2 1 
1467:	1 
1468:	1 
1469:	1 2 1 1 
147:	1 
1470:	1 
1471:	5 
1472:	2 2 
1473:	1 1 
1474:	1 
1475:	1 
1476:	1 
1477:	1 
1478:	6 
1479:	1 1 
1480:	3 1 
1481:	1 2 1 2 
1482:	7 
1483:	2 
1485:	1 2 2 1 1 
1486:	2 1 4 
1487:	3 
1488:	1 3 1 
1489:	2 2 
149:	1 2 5 
1490:	1 
1491:	1 
1492:	1 2 1 
1493:	1 2 1 
1495:	1 1 
1496:	3 
1497:	1 2 2 
1498:	7 9 
1499:	1 3 5 
150:	1 1 2 8 
1500:	1 1 
1501:	1 3 
1502:	1 
1504:	1 1 1 
1505:	2 11 
1507:	1 1 2 1 
1508:	1 
1509:	1 1 2 
151:	2 
1510:	2 3 
1511:	1 12 
1512:	1 
1513:	1 2 2 
1515:	3 
1516:	1 2 1 
1517:	3 
1518:	3 1 
1519:	1 2 1 
152:	6 
1520:	2 1 
1521:	2 3 
1522:	1 4 3 1 
1523:	2 1 
1524:	2 1 2 
1525:	3 1 3 1 1 
1526:	2 
1527:	1 1 1 
