=== non-contiguous nft : chains ===
Found 10909 chain interruption in 8684 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	2 
1:	2 
10:	2 1 1 1 2 1 2 
100:	1 2 1 5 
1000:	1 
1001:	2 2 3 8 
1002:	3 
1003:	2 
1004:	3 
1006:	1 2 
1007:	1 1 4 
1008:	2 3 
1009:	3 
101:	3 1 
1010:	2 1 
1011:	1 
1012:	1 2 
1013:	5 2 8 2 7 2 
1014:	1 1 5 
1015:	2 2 2 
1016:	3 8 1 3 13 1 
1017:	1 
1018:	2 1 1 6 2 4 6 4 1 
102:	1 1 
1020:	8 6 3 4 
1021:	1 1 
1022:	2 1 
1023:	1 
1024:	2 3 4 7 2 
1025:	1 2 
1026:	3 2 2 
1027:	2 
1028:	3 
1029:	1 
103:	1 
1030:	1 2 
1031:	1 
1032:	1 
1033:	4 3 6 8 2 1 3 
1034:	3 
1035:	2 1 
1036:	1 1 1 2 
1037:	1 2 4 3 17 9 
1038:	1 1 
1039:	3 2 1 
104:	1 
1040:	1 2 1 
1042:	1 1 
1043:	1 
1044:	1 1 1 1 2 1 1 3 
1045:	2 
1046:	3 2 
1047:	2 
1048:	1 1 2 1 1 8 1 
1049:	4 4 
105:	2 2 1 1 
1050:	1 
1051:	3 
1052:	2 
1053:	1 17 6 
1054:	1 3 5 1 
1055:	2 7 3 
1056:	2 1 1 
1057:	1 
1058:	5 2 5 13 3 
1059:	3 4 2 
106:	2 
1060:	3 2 1 
1061:	1 1 4 2 1 1 
1063:	1 1 
1064:	24 7 2 1 1 1 5 3 5 
1065:	2 1 1 1 1 1 
1066:	3 
1067:	2 
1068:	5 
1069:	4 5 8 2 2 
107:	1 2 
1070:	2 
1071:	3 3 
1073:	3 1 
1074:	1 
1077:	1 2 
1078:	1 
1079:	3 3 4 4 1 
108:	1 
1080:	4 
1081:	7 2 
1082:	1 2 9 
1083:	2 5 8 3 4 1 1 9 
1084:	1 
1085:	1 2 
1087:	1 
1088:	1 3 15 3 1 10 1 3 1 3 
1089:	1 
109:	2 
1090:	1 
1091:	2 1 2 7 2 2 1 
1092:	4 1 
1094:	3 3 6 13 
1096:	2 2 
1097:	3 30 
1098:	3 
1099:	1 
11:	5 1 
110:	2 
1100:	1 1 4 
1101:	1 2 
1102:	2 
1103:	4 2 
1104:	2 
1105:	1 1 4 
1106:	1 
1107:	3 2 
1108:	1 
1109:	1 4 4 2 2 1 
111:	3 4 
1110:	3 
1111:	6 1 
1112:	1 1 3 1 
1113:	2 1 
1114:	1 3 
1115:	2 
1116:	9 
1117:	2 1 1 
1118:	2 
1119:	4 
112:	3 
1120:	1 2 
1121:	4 1 3 
1122:	1 11 2 
1123:	1 11 2 1 4 
1124:	2 
1125:	3 1 
1126:	1 
1127:	5 
1128:	4 
1129:	1 2 2 1 
113:	1 
1130:	1 
1131:	3 1 
1132:	10 1 9 2 
1133:	5 4 1 1 
1134:	1 
1135:	5 
1136:	3 
1137:	3 2 1 
1138:	1 2 4 
1139:	2 
114:	1 1 1 9 24 3 2 
1140:	2 
1141:	3 3 
1143:	1 4 1 5 
1144:	2 
1145:	1 
1147:	1 5 
1149:	1 
115:	1 1 
1150:	1 
1151:	2 1 
1152:	1 1 
1153:	1 2 1 4 1 3 5 4 9 1 
1154:	2 4 
1155:	4 8 
1156:	2 
116:	1 2 
1160:	3 1 
1161:	6 
1162:	1 
1163:	3 
1164:	2 2 
1165:	3 2 1 1 7 
1166:	3 3 
1167:	2 1 23 3 1 3 
1168:	2 1 
1169:	2 
117:	4 
1170:	7 3 4 8 1 1 7 14 6 1 4 
1171:	1 4 
1172:	2 16 
1173:	3 1 1 
1174:	1 1 
1175:	4 1 
1176:	1 
1177:	3 
1178:	2 1 
1179:	7 2 1 4 1 
118:	2 5 4 1 1 1 3 8 4 2 4 3 
1180:	3 2 
1181:	1 
1182:	2 
1183:	2 
1184:	1 2 1 
1185:	1 5 3 8 3 1 3 
