=== non-contiguous nft : chains ===
Found 3132 chain interruption in 8467 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	2 
1:	1 
100:	2 
1002:	2 1 11 
1005:	4 
101:	2 
1013:	1 
1014:	3 
1015:	2 
1016:	1 3 1 3 2 
1017:	4 
1018:	2 
1019:	1 
102:	2 
1020:	6 1 
1021:	3 6 
1022:	4 
1023:	3 1 
1024:	3 
1025:	1 2 1 
1026:	4 
1027:	2 
1028:	1 
1029:	1 
103:	2 1 
1030:	4 
1031:	1 
1032:	1 
1034:	1 
1035:	1 
1036:	3 1 
1037:	1 1 
104:	1 1 
1040:	1 2 
1041:	1 1 
1042:	2 
1043:	2 
1044:	2 
1045:	2 
1046:	2 2 
1047:	1 
1048:	2 
105:	2 1 1 
1050:	2 
1051:	1 
1053:	2 
1056:	1 
106:	2 
1062:	1 
1063:	2 1 
1064:	1 2 
1065:	1 
1066:	3 
1067:	3 4 1 1 4 
1068:	2 
107:	1 
1071:	1 
1079:	1 
108:	1 
1081:	2 1 
1082:	1 2 3 
1083:	3 
1084:	2 
1085:	1 
1086:	8 
1087:	1 
1088:	5 3 
1089:	3 
109:	1 
1090:	3 
1091:	3 
1092:	1 
1093:	1 1 
1096:	2 1 
1097:	3 
1098:	3 
1099:	1 
11:	1 
110:	1 
1100:	3 1 
1101:	3 4 5 
1102:	4 
1104:	1 
1105:	1 
1106:	2 
1107:	4 
1109:	1 
111:	1 
1110:	1 
1111:	2 2 
1113:	1 2 
1114:	1 
1115:	2 
1116:	1 
1117:	1 1 
1118:	1 
1119:	4 
112:	1 
1120:	1 
1121:	3 1 1 
1122:	4 
1123:	5 
1124:	3 
1125:	2 
1126:	4 
1127:	2 1 
1128:	2 
1129:	4 
113:	1 
1130:	1 1 2 
1131:	1 1 1 
1132:	3 
1133:	2 
1134:	2 
1135:	1 
1138:	2 
1139:	2 1 
114:	1 
1145:	2 1 3 4 
1146:	2 
1148:	1 
115:	1 
1150:	2 
1151:	3 1 
1153:	1 
1154:	1 
1155:	2 
1157:	6 1 
1158:	3 1 
1159:	3 
116:	5 
1160:	2 
1161:	1 
1162:	1 
1163:	1 
1164:	2 
1165:	2 
1166:	1 2 
1167:	1 
1168:	1 
1169:	2 
117:	3 1 
1170:	1 
1171:	1 
1172:	1 
1173:	3 1 
1174:	7 
1175:	3 
1176:	5 
1177:	4 1 
1178:	3 
1179:	2 
118:	2 3 
1180:	1 8 
1187:	4 
119:	5 
1190:	5 
1191:	2 
1192:	1 2 
1193:	5 
1194:	5 
1195:	4 1 2 
1196:	4 
1197:	2 2 
1198:	4 
1199:	1 
12:	1 3 
120:	1 1 2 1 
1200:	3 
1201:	2 
1202:	4 
1203:	2 6 
1204:	1 
1205:	1 
1206:	5 3 2 
1207:	1 1 
1208:	1 
1209:	2 
121:	3 
1210:	3 
1211:	2 
1212:	2 
1213:	3 1 
1214:	2 
1215:	2 
1217:	1 
1218:	3 
1219:	5 1 
122:	3 
1220:	3 2 2 1 
1221:	1 1 
1223:	3 
1224:	5 2 
1225:	3 
1226:	2 
1227:	2 1 
1228:	4 
1229:	2 
123:	3 
1231:	3 
1234:	1 
1235:	2 
1236:	1 3 1 
1237:	4 2 2 
1238:	2 
1239:	1 2 
124:	1 
1240:	1 
1241:	2 
1242:	1 
1243:	7 
1244:	2 
1245:	1 
1247:	1 
1250:	2 
1254:	1 
1255:	3 
1256:	3 
1257:	2 
1258:	2 
1259:	3 
1260:	1 
1261:	1 
1262:	2 
1270:	2 
1271:	3 
1272:	1 
1273:	1 
1274:	1 
1275:	1 
1276:	3 
1277:	5 5 
1278:	1 2 
1279:	3 
128:	3 
1280:	3 
1281:	1 
1282:	1 
1283:	4 
1284:	2 1 6 
1285:	5 
1286:	5 
1287:	2 
129:	4 
1291:	1 
1293:	1 
1294:	2 5 
1295:	3 
1296:	2 
1297:	1 1 
1298:	3 
1299:	3 
13:	6 2 1 
1300:	1 2 
