=== non-contiguous nft : chains ===
Found 2499 chain interruption in 7564 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 
1000:	1 
1001:	1 
1002:	4 
1003:	1 
1005:	1 1 
1008:	2 
1009:	1 2 
1010:	2 
1011:	1 
1012:	3 4 
1013:	2 
1014:	1 
1015:	2 
1016:	1 
1017:	1 2 1 
1018:	1 
1019:	1 
1020:	1 
1021:	4 2 
1022:	1 
1023:	1 
1024:	1 
1025:	1 
1026:	1 
1027:	2 
1028:	2 
1029:	1 1 1 
1030:	2 
1031:	1 
1032:	3 
1033:	2 
1034:	1 
1035:	3 
1037:	1 
1038:	1 
1039:	1 1 
104:	2 
1040:	1 
1041:	1 
1042:	2 
1043:	2 
1044:	5 
1045:	4 1 
1046:	1 
1047:	1 2 
1048:	3 
1049:	1 
1050:	7 
1051:	4 
1052:	2 
1053:	2 
1054:	1 2 
1055:	1 
1056:	2 
1057:	2 1 
1058:	4 
1059:	2 
106:	8 
1060:	1 
1061:	3 
1062:	3 1 
1063:	1 
1064:	1 
1065:	3 
1066:	3 
1067:	1 
1068:	1 
1069:	2 
107:	3 1 
1070:	3 
1071:	2 
1073:	2 
1074:	2 2 
1075:	2 
1076:	1 
1077:	2 1 
1079:	1 
108:	2 
1080:	2 1 
1081:	5 
1082:	1 
1083:	2 
1084:	1 2 
1085:	2 
1086:	1 
1087:	1 
1088:	1 
1089:	4 
1090:	1 
1091:	3 1 
1092:	1 2 
1093:	2 
1098:	2 
1099:	3 
110:	1 
1100:	1 
1101:	1 
1102:	1 
1103:	2 
1104:	1 
1105:	5 
1106:	2 
1107:	1 
1108:	1 1 
1109:	3 
1110:	5 2 
1111:	2 
1112:	4 
1113:	4 2 
1114:	3 
1116:	1 
1117:	2 2 
1118:	2 1 
1119:	2 
112:	1 
1120:	2 
1121:	1 1 1 1 
1122:	2 
1124:	1 1 
1125:	2 
1126:	1 
1127:	1 1 4 
1128:	3 2 
1129:	1 
113:	1 1 2 
1130:	1 
1131:	1 2 
1132:	2 
1133:	1 
1134:	2 
1135:	4 
1136:	3 1 
1137:	2 5 
1138:	1 1 1 
1139:	1 
114:	2 1 
1140:	2 
1141:	1 1 
1142:	1 
1145:	4 
1146:	4 
1147:	3 3 1 
1148:	1 
1149:	1 
115:	1 1 
1150:	3 
1151:	1 1 2 
1152:	1 
1153:	1 1 
1154:	5 
1155:	1 
1158:	2 1 
116:	1 
1163:	1 1 
1164:	1 3 
1165:	2 
1166:	2 1 2 
1169:	1 
1170:	1 
1171:	2 
1172:	3 
1173:	3 2 
1174:	1 4 
1176:	1 
118:	1 1 
1180:	3 
1181:	2 
1183:	2 
1184:	1 1 
1185:	3 
1186:	2 
1187:	1 
1188:	2 
1189:	2 
1190:	1 
1191:	3 
1192:	2 
1193:	2 
1194:	1 
1195:	1 
1196:	6 
1198:	3 
1199:	1 
12:	3 
1200:	1 
1201:	2 
1203:	3 
1204:	1 
1205:	1 
1206:	1 
1207:	1 
1208:	2 1 
1209:	1 
1210:	1 
1212:	1 
1213:	3 
1214:	1 
1215:	2 
1216:	1 1 2 1 
1217:	1 2 1 1 
1219:	1 1 2 1 
122:	1 
1221:	2 
1228:	1 
1229:	3 
123:	1 
1230:	1 
1231:	2 
1232:	3 
1233:	2 
1234:	1 
1235:	4 
1236:	1 
1237:	1 
1238:	1 2 
1239:	2 
124:	1 
1240:	2 3 
1241:	1 1 
1242:	4 
1243:	1 
1244:	1 
1245:	3 
1246:	1 
1247:	2 
1248:	1 
1249:	1 
125:	1 
1250:	2 1 2 
1251:	1 
1252:	2 
1253:	2 
1254:	4 
1255:	5 
