=== non-contiguous nft : chains ===
Found 1867 chain interruption in 8782 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
10:	1 
100:	3 
1000:	2 
1001:	1 1 
1002:	2 
1003:	1 
1004:	1 
1006:	3 
1007:	3 
1008:	1 
1009:	2 
1010:	3 
1011:	2 1 
1012:	1 
1013:	2 
1014:	1 
1015:	1 
1016:	3 
1017:	3 1 
1018:	4 
1019:	2 
1020:	1 
1021:	3 
1022:	8 
1023:	3 
1024:	2 1 
1025:	1 
1026:	1 3 
1027:	1 1 1 
1028:	3 
1029:	1 
1030:	1 
1031:	2 
1032:	3 
1033:	2 
1034:	1 
1035:	1 1 2 
1036:	4 
1037:	2 
1038:	3 1 
1039:	1 
104:	2 
1040:	1 
1041:	2 
1042:	1 
1044:	5 
1045:	2 
1046:	2 
1047:	1 
1048:	3 
1049:	4 1 
105:	2 1 
1050:	4 
1051:	1 2 
1052:	2 
1053:	2 
1054:	1 
1055:	4 
1056:	3 
1057:	3 1 1 
1058:	2 
1059:	3 3 
106:	1 
1060:	2 
1061:	6 
1063:	1 
1064:	4 
1065:	5 
1066:	2 2 
1067:	4 
1068:	1 
1069:	3 
1070:	3 
1071:	6 
1072:	5 
1073:	1 
1074:	4 
1075:	1 
1076:	1 
1077:	1 
1078:	3 
1079:	1 1 
1080:	1 
1081:	5 1 
1082:	2 1 
1083:	1 3 
1084:	3 
1085:	2 
1086:	2 
1087:	2 
1088:	3 
1089:	3 
109:	3 
1090:	1 
1091:	1 
1092:	4 
1093:	3 
1094:	4 
1095:	1 
1096:	3 2 
1097:	3 
1098:	5 
1099:	2 
1100:	3 
1101:	1 
1102:	2 
1103:	3 
1104:	10 
1105:	1 
1106:	6 
1107:	2 
1108:	3 
1109:	1 2 
111:	1 1 
1110:	2 
1111:	1 
1112:	3 3 
1113:	4 
1114:	2 
1115:	5 
1116:	3 
1117:	4 
1118:	2 2 
1119:	3 
1120:	1 
1121:	1 
1122:	2 
1123:	1 
1124:	3 
1125:	3 
1126:	4 
1127:	1 
1128:	3 
1129:	1 1 
113:	2 
1130:	2 
1131:	2 
1132:	2 2 
1133:	2 
1134:	1 
1135:	1 
1136:	4 
1137:	1 
1138:	2 
1139:	3 1 
114:	1 
1140:	2 3 
1141:	2 3 
1142:	2 
1143:	2 
1145:	5 
1146:	2 
1147:	3 1 
1148:	3 
1149:	2 
115:	1 
1150:	2 
1151:	1 
1152:	5 
1153:	1 
1154:	1 
1155:	3 
1156:	2 1 
1157:	3 
1158:	1 3 
1159:	1 
1160:	7 
1161:	1 
1162:	1 
1163:	3 
1164:	1 
1165:	1 1 
1166:	1 
1168:	3 1 
1170:	1 
1171:	1 
1172:	3 
1173:	5 
1174:	4 
1175:	3 1 
1176:	4 1 
1177:	3 
1179:	3 
118:	4 1 1 1 1 
