=== non-contiguous nft : chains ===
Found 2405 chain interruption in 7959 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	3 1 
1000:	1 2 
10000:	1 
10001:	1 
10002:	2 
10004:	3 
10005:	5 1 
10006:	1 
10007:	3 
10008:	4 
1001:	2 
10010:	1 1 
10011:	1 
10014:	1 
10015:	1 
10017:	2 1 
10019:	2 
1002:	9 2 
10020:	1 
10021:	4 1 
10022:	1 
10023:	2 
10024:	8 
10025:	1 
10027:	2 2 
10028:	1 
10029:	1 
1003:	4 
10031:	5 
10032:	3 2 2 
10033:	1 
10034:	2 
10035:	1 
10036:	1 
10037:	1 
10038:	5 
1004:	5 
10040:	4 
10041:	4 
10042:	1 
10043:	1 
10044:	1 
10045:	1 1 
10046:	2 
10047:	1 
10048:	7 1 
10049:	3 
1005:	1 
10050:	2 
10051:	1 
10052:	1 
10053:	1 1 
10054:	3 1 
10055:	1 
10056:	2 
10057:	6 
1006:	1 2 
10062:	1 2 
10063:	2 
10064:	2 
10065:	3 
10066:	2 
10067:	3 
10068:	2 3 
1007:	1 
10070:	1 2 
10071:	1 1 
10072:	7 7 
10073:	1 
10074:	1 
10075:	1 
10076:	2 
10077:	1 1 
10078:	1 
10079:	1 
1008:	5 
10081:	1 
10082:	2 
10083:	4 
10084:	2 
10085:	1 
10086:	2 5 
10087:	3 
10088:	4 
10089:	1 
1009:	2 
10090:	1 
10091:	1 
10092:	1 3 
10093:	6 1 
10094:	1 
10095:	1 1 
10096:	4 1 
10097:	4 
10098:	1 
10099:	1 
1010:	1 2 
10100:	2 
10101:	1 
10102:	2 
10103:	1 
10104:	2 
10105:	1 
10106:	1 
10107:	1 
10108:	1 2 2 
10109:	1 
1011:	1 
10110:	2 
10111:	1 
10112:	1 
10113:	1 10 
10114:	2 
10115:	1 
10116:	1 
10117:	1 
10118:	1 
10119:	8 
1012:	1 
10120:	1 
10124:	1 
10125:	1 
10126:	4 
10127:	1 
10128:	1 
10129:	1 
1013:	1 1 3 
10130:	3 
10131:	1 1 
10132:	1 
10133:	1 
10134:	1 
10135:	1 2 
10136:	1 1 1 
10137:	1 1 
10138:	1 
10139:	1 
10140:	2 
10141:	2 
10142:	2 
10143:	2 1 
10144:	2 
10145:	1 
10146:	1 
10147:	1 
10148:	2 
1015:	2 
10151:	1 1 
10152:	3 1 
1016:	2 
10162:	3 
10163:	1 1 
10164:	1 
10165:	1 4 2 
10166:	4 1 
10167:	1 1 
10168:	1 1 
10169:	1 1 
10170:	3 
10171:	3 
10172:	1 
10173:	1 1 
10174:	1 1 1 
10175:	2 
10176:	1 2 
10177:	5 
10178:	2 3 
10179:	1 
10180:	2 1 
10181:	3 
10182:	1 
10183:	1 
10184:	1 1 
10185:	1 
10186:	6 
10187:	2 
10188:	1 1 1 1 1 4 
10189:	1 
