
=== GRAPH INFO ===
Nodi: 16507
Archi: 76597
Duration (sec): 46116750 = 1y in interval [1660387877, 1706504627]
Delta (sec): 46116750 = 1y5m2w4d18h12min30s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 12850

size 2 → 6332 pattern
size 3 → 2295 pattern
size 4 → 1327 pattern
size 5 → 694 pattern
size 6 → 515 pattern
size 7 → 303 pattern
size 8 → 264 pattern
size 9 → 183 pattern
size 10 → 139 pattern
size 11 → 111 pattern
size 12 → 69 pattern
size 13 → 64 pattern
size 14 → 54 pattern
size 15 → 44 pattern
size 16 → 52 pattern
size 17 → 33 pattern
size 18 → 27 pattern
size 19 → 25 pattern
size 20 → 24 pattern
size 21 → 16 pattern
size 22 → 34 pattern
size 23 → 18 pattern
size 24 → 17 pattern
size 25 → 12 pattern
size 26 → 14 pattern
size 27 → 12 pattern
size 28 → 9 pattern
size 29 → 9 pattern
size 30 → 7 pattern
size 31 → 8 pattern
size 32 → 11 pattern
size 33 → 5 pattern
size 34 → 7 pattern
size 35 → 5 pattern
size 36 → 7 pattern
size 37 → 3 pattern
size 38 → 3 pattern
size 39 → 4 pattern
size 40 → 2 pattern
size 41 → 5 pattern
size 42 → 5 pattern
size 43 → 1 pattern
size 44 → 2 pattern
size 45 → 2 pattern
size 46 → 1 pattern
size 47 → 4 pattern
size 48 → 4 pattern
size 49 → 3 pattern
size 50 → 3 pattern
size 51 → 2 pattern
size 52 → 3 pattern
size 53 → 3 pattern
size 54 → 3 pattern
size 57 → 2 pattern
size 58 → 2 pattern
size 59 → 2 pattern
size 60 → 1 pattern
size 61 → 1 pattern
size 62 → 1 pattern
size 65 → 1 pattern
size 66 → 1 pattern
size 67 → 1 pattern
size 73 → 2 pattern
size 75 → 2 pattern
size 77 → 2 pattern
size 82 → 1 pattern
size 84 → 2 pattern
size 86 → 3 pattern
size 87 → 3 pattern
size 89 → 1 pattern
size 93 → 1 pattern
size 94 → 1 pattern
size 95 → 1 pattern
size 96 → 1 pattern
size 106 → 1 pattern
size 109 → 2 pattern
size 113 → 1 pattern
size 122 → 1 pattern
size 131 → 1 pattern
size 143 → 1 pattern
size 151 → 1 pattern
size 152 → 1 pattern
size 153 → 1 pattern
size 154 → 1 pattern
size 163 → 1 pattern
size 164 → 1 pattern
size 166 → 1 pattern
size 217 → 1 pattern
size 223 → 1 pattern
size 245 → 1 pattern
size 283 → 1 pattern
size 4207 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 6884

size 2 → 5416 pattern
size 4 → 979 pattern
size 6 → 277 pattern
size 8 → 120 pattern
size 10 → 52 pattern
size 12 → 17 pattern
size 14 → 7 pattern
size 16 → 4 pattern
size 18 → 3 pattern
size 20 → 4 pattern
size 22 → 1 pattern
size 24 → 1 pattern
size 26 → 2 pattern
size 30 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 12475

size 2 → 10541 pattern
size 4 → 1347 pattern
size 6 → 345 pattern
size 8 → 139 pattern
size 10 → 51 pattern
size 12 → 26 pattern
size 14 → 9 pattern
size 16 → 5 pattern
size 18 → 3 pattern
size 20 → 2 pattern
