=== non-contiguous nft : chains ===
Found 12789 chain interruption in 9109 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	2 1 
1000:	1 
1002:	4 
1003:	4 
1004:	2 
1005:	1 2 1 
1006:	4 
1007:	5 
1008:	2 
1009:	3 4 2 
101:	2 1 1 1 
1010:	3 3 
1011:	2 
1012:	3 1 
1013:	7 2 
1014:	7 5 
1015:	1 2 1 
1016:	3 
1017:	5 3 
1018:	1 1 1 1 
1019:	6 1 1 1 1 
102:	1 2 1 
1020:	1 1 
1021:	4 
1022:	1 3 2 1 2 
1024:	6 1 
1025:	1 1 3 
1026:	3 
1027:	3 1 
1028:	1 1 10 1 
1029:	4 
1030:	2 1 1 2 1 
1031:	2 1 
1032:	1 4 6 
1033:	1 2 3 1 
1034:	1 2 1 2 4 2 
1035:	5 
1036:	1 1 1 1 1 
1037:	5 1 3 1 1 3 3 2 8 
1038:	6 2 2 4 
1039:	6 3 
1040:	6 2 
1041:	1 1 1 
1042:	5 
1043:	1 9 1 1 
1044:	5 1 1 1 1 2 
1045:	1 2 1 2 1 2 4 10 2 2 1 1 
1046:	2 1 
1047:	1 
1048:	5 5 1 
1049:	1 4 1 2 1 3 
1050:	1 1 1 
1051:	1 1 1 1 10 4 1 2 3 1 2 4 
1052:	2 4 
1053:	1 1 
1054:	1 7 
1055:	1 4 2 1 
1056:	1 5 
1057:	3 1 2 1 
1058:	3 1 2 
1059:	2 4 
1060:	6 1 2 7 
1061:	3 3 
1062:	3 3 
1063:	3 1 
1064:	4 
1065:	2 1 
1066:	2 6 
1067:	1 3 1 1 
1068:	2 3 
1069:	5 
107:	1 1 1 
1070:	1 1 1 2 2 
1071:	5 2 6 
1072:	11 1 
1073:	4 1 3 
1074:	3 2 2 
1075:	1 1 2 
1076:	9 1 3 4 
1077:	2 1 2 4 2 
1078:	2 
1079:	6 
1080:	1 3 5 
1081:	1 2 1 
1082:	5 1 2 
1083:	4 4 
1084:	3 7 2 6 2 
1085:	2 2 3 3 1 
1086:	1 4 3 2 2 1 1 3 3 
1088:	2 2 
1089:	5 
109:	2 3 
1090:	4 5 
1091:	2 1 
1092:	3 
1093:	3 
1094:	1 1 2 
1095:	1 2 
1096:	3 
1097:	3 2 2 
1098:	5 2 
1099:	1 3 2 
110:	1 1 5 
1100:	2 2 
1101:	2 
1102:	3 1 
1103:	4 
1104:	3 1 
1105:	1 3 
1106:	3 
1107:	2 1 2 
1108:	11 2 1 
1109:	2 
1110:	10 
1111:	2 1 
1112:	9 1 2 
1113:	4 
1114:	2 4 2 5 2 2 3 
1115:	6 2 1 2 
1116:	3 2 4 4 
1117:	1 3 2 
1118:	2 
1119:	4 
1120:	6 
1121:	2 1 1 
1122:	6 
1123:	4 
1124:	2 
1125:	1 1 
1126:	5 3 
1127:	2 1 
1128:	4 4 3 
1129:	2 4 1 
1130:	2 1 1 
1131:	2 
1132:	3 
1133:	2 4 
1134:	1 3 
1135:	1 4 3 
1136:	2 7 2 3 
1137:	4 2 1 
1138:	6 2 1 
1139:	3 
1140:	3 
1141:	3 
1142:	1 1 5 2 
1143:	1 2 1 1 
1144:	1 1 1 
1145:	2 
