=== non-contiguous nft : chains ===
Found 2687 chain interruption in 2787 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	6 1 
100:	1 1 
1000:	1 
1001:	1 
1002:	5 5 4 
1003:	3 
1004:	1 3 
1005:	4 
1006:	3 1 
1007:	5 1 
1008:	17 
101:	3 2 1 
1010:	3 3 
1011:	3 
1012:	5 2 1 
1013:	4 
1014:	3 
1015:	1 
1016:	3 2 
1017:	4 2 2 3 
1018:	1 
1019:	2 
102:	1 3 1 
1020:	4 
1021:	2 3 
1022:	1 4 1 3 
1023:	1 5 
1024:	3 
1025:	2 1 
1026:	1 2 3 
1027:	2 2 
1028:	7 
1029:	4 
103:	6 4 2 
1030:	2 1 
1031:	3 
1032:	4 
1033:	3 
1035:	7 1 1 1 
1036:	4 1 
1038:	3 1 
1039:	8 
104:	2 
1040:	1 
1041:	3 
1042:	2 2 
1043:	2 
1044:	1 
1045:	4 
1046:	1 5 2 
1047:	4 
1048:	3 1 2 
1049:	7 1 
105:	5 
1050:	1 1 1 
1051:	4 2 
1052:	7 1 1 
1053:	4 
1054:	1 2 4 
1055:	6 1 1 
1057:	4 2 
1058:	6 
1059:	4 4 
106:	3 
1060:	4 1 
1062:	4 1 2 1 
1063:	1 
1064:	7 
1065:	2 3 2 
1066:	2 
1067:	4 2 1 
1068:	2 
1069:	3 1 1 1 2 
107:	1 1 
1070:	2 
1071:	3 2 1 1 
1072:	2 
1073:	1 2 
1074:	1 1 
1075:	6 
1076:	3 3 
1077:	3 2 
1078:	6 2 
1079:	1 
108:	4 1 
1080:	1 1 
1081:	5 1 
1082:	1 1 
1083:	2 3 1 
1084:	3 3 
1085:	3 1 1 
1086:	5 
1087:	2 1 1 1 2 
1088:	2 1 
1089:	2 
109:	1 
1090:	5 
1091:	3 2 1 
1093:	2 
1094:	5 
1095:	4 14 4 
1096:	2 
1097:	2 3 1 1 
1098:	1 
1099:	4 4 
110:	1 
1102:	1 2 1 
1103:	4 2 
1104:	1 
1105:	4 
1106:	2 
1107:	3 
1108:	5 3 
1109:	7 1 
111:	3 2 
1110:	10 
1112:	1 
1113:	2 1 1 1 1 1 
1114:	1 1 
1115:	2 
1116:	1 
1117:	3 2 
1118:	1 1 1 
1119:	6 
112:	6 
1120:	10 1 
1121:	4 5 
1122:	1 
1123:	2 
1125:	3 
1126:	3 1 
1127:	2 
1128:	1 1 2 1 
1129:	5 
113:	6 1 2 1 
1130:	1 
1131:	2 
1132:	2 2 
1133:	1 3 
1134:	1 
1135:	1 1 1 
1136:	7 
1137:	1 
1138:	1 
1139:	2 1 1 
1140:	6 1 2 
1141:	7 3 1 
1142:	3 
1143:	3 
1144:	5 5 
1145:	4 2 1 1 2 
1146:	8 2 
1147:	2 1 1 
1148:	1 
1149:	4 
1150:	2 3 2 
1151:	2 4 2 
1152:	7 1 
1153:	2 
1154:	2 2 
1155:	1 2 
1156:	3 1 1 
1157:	2 5 
1158:	3 
1159:	2 1 1 
116:	5 
1160:	3 1 1 3 
