=== non-contiguous nft : chains ===
Found 2332 chain interruption in 6911 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1000:	1 
1001:	1 
1002:	5 
1003:	1 
1004:	1 
1005:	1 1 1 
1006:	1 
1007:	1 
1008:	2 2 2 1 
1009:	1 
101:	1 
1010:	4 
1011:	2 
1012:	2 
1013:	2 1 
1014:	2 
1016:	4 
1017:	2 
1018:	3 
1019:	1 2 1 
102:	4 
1020:	1 
1021:	1 2 10 
1022:	1 
1025:	3 
1026:	1 
1027:	3 
1028:	2 
1029:	1 
103:	1 
1030:	1 2 
1031:	1 
1032:	1 
1033:	1 1 
1035:	1 
1036:	1 2 
1037:	1 
1038:	1 
1039:	2 
104:	2 
1040:	4 
1041:	1 
1042:	1 
1043:	2 
1044:	1 
1045:	1 
1046:	1 
1047:	4 
1048:	1 
1049:	2 
1050:	1 1 
1051:	2 
1052:	2 
1053:	1 
1054:	3 
1056:	1 
1057:	1 
1058:	2 
1059:	1 
106:	1 
1060:	1 2 
1061:	1 3 
1062:	2 
1063:	1 
1064:	2 
1065:	5 
1066:	1 
1067:	2 
1068:	5 
1069:	1 6 
107:	1 1 
1070:	1 
1072:	2 
1073:	1 2 
1074:	1 
1075:	8 1 
1076:	2 
1077:	2 
1078:	1 
1079:	2 
108:	1 
1080:	1 
1081:	2 
1082:	1 
1083:	1 
1084:	1 
1085:	1 
1086:	1 1 
1087:	1 
1088:	3 
1089:	2 1 
109:	3 
1091:	3 1 4 
1092:	3 1 
1093:	5 
1094:	1 2 
1095:	1 
1096:	1 
1097:	5 10 4 
1098:	2 
1099:	1 
11:	1 4 
110:	1 
1100:	1 
1101:	2 
1102:	1 
1103:	1 
1104:	3 
1105:	1 1 
1107:	2 
1108:	2 
1109:	1 
111:	1 
1110:	5 
1111:	2 
1113:	2 
1114:	1 3 2 1 
1115:	5 
1116:	1 3 
1117:	4 
1118:	1 
1119:	2 
1120:	1 3 
1121:	1 
1122:	1 
1123:	3 
1124:	1 
1125:	1 2 2 
1126:	1 
1127:	4 5 
1128:	1 
1129:	1 
113:	2 
1130:	1 
1131:	1 
1133:	2 
1134:	1 
1135:	2 
1136:	2 
1137:	1 
1138:	1 
1139:	4 
114:	1 
1140:	1 
1142:	1 
1143:	2 
1144:	1 
1145:	3 
1146:	4 1 1 2 
1148:	2 1 
1149:	1 
115:	2 
1150:	4 
1151:	1 
1152:	2 
1154:	1 
1155:	2 
1156:	1 
1157:	1 
1158:	2 
116:	1 
1160:	1 
1161:	1 
1162:	2 
1163:	2 
1164:	2 
1165:	1 1 
1166:	1 
1167:	1 
1168:	3 
1169:	1 
117:	1 
1170:	1 
1171:	4 
1172:	1 
1173:	2 5 
1174:	2 
1175:	2 2 1 
1176:	1 
1177:	4 
1178:	3 1 
1179:	1 1 
118:	1 
1180:	1 1 
1181:	2 
1183:	3 
1184:	1 
1185:	1 1 
1186:	3 
1187:	1 
1188:	2 
1189:	3 
119:	2 
1190:	2 
1191:	1 
1192:	4 2 
1193:	1 9 1 
1194:	2 1 
1196:	1 
1197:	3 
1198:	1 1 1 
12:	1 
120:	2 
1200:	1 
1201:	3 
1202:	2 1 2 
1203:	1 
1204:	2 
1205:	1 
1207:	1 
1208:	1 2 
1209:	1 2 
121:	1 
1210:	7 
1211:	3 
1212:	1 1 
1213:	3 
1214:	2 
1216:	7 2 
1217:	1 
1218:	1 
1219:	1 
122:	2 1 1 
1220:	1 2 1 
1221:	2 
1222:	3 
1223:	1 
1224:	2 
1225:	5 
1226:	3 2 
1227:	1 
1228:	1 
1229:	2 
123:	1 
1230:	1 1 
1231:	2 
1233:	1 1 
1234:	4 
1235:	1 
1236:	2 
1237:	2 
1238:	1 
124:	1 
1240:	2 
1241:	1 
1242:	1 
1243:	7 
1244:	1 1 
1245:	2 
1246:	1 2 
1247:	1 2 1 
1248:	1 
1249:	3 3 
125:	1 
1250:	3 
1251:	2 
1252:	1 
1253:	2 
1254:	1 2 
1255:	2 
1256:	1 
1257:	2 
1259:	1 
126:	1 
1260:	1 
1261:	1 
1262:	2 6 
1263:	8 
1264:	1 
1265:	1 
1266:	1 2 
1267:	2 
1268:	1 1 1 
127:	5 
1271:	1 
1273:	1 
1274:	1 
1276:	3 
1277:	2 3 
1278:	2 
1279:	1 
128:	1 
1280:	1 
1281:	5 
1282:	1 
1283:	1 
1284:	2 2 
1285:	1 3 
1286:	2 
1287:	2 
1288:	2 
1289:	2 1 
129:	1 
1290:	2 2 
1291:	3 
1293:	4 
1294:	1 
1295:	1 
1297:	1 
1298:	1 
1299:	1 
13:	1 
130:	1 
1300:	1 4 
1301:	1 2 1 
1302:	2 1 1 1 3 
1303:	2 1 2 
1304:	1 1 1 
1305:	2 
1306:	1 
1307:	2 
1308:	2 
1309:	1 
131:	1 
1310:	1 1 2 1 
1311:	2 1 2 1 
1312:	1 1 
1313:	1 
1314:	1 
1315:	2 
1316:	2 
1317:	2 
1318:	2 1 1 
1319:	1 
132:	2 
1320:	4 
1321:	2 
1322:	1 
1323:	1 1 
1324:	1 1 
1325:	1 
1326:	1 
1327:	3 1 1 
1328:	4 
1329:	2 
133:	1 
1330:	2 
1331:	2 
1332:	4 
1333:	1 
1334:	1 
1335:	1 
1337:	1 
1338:	2 
1339:	5 
134:	3 
1340:	2 
1341:	1 
1342:	2 
1343:	3 
1344:	1 
1345:	2 
1347:	1 
1348:	1 
1349:	1 
135:	1 
1350:	2 1 
1351:	1 2 
1352:	1 
1355:	1 
1356:	3 
1357:	2 
1358:	1 1 2 1 
1359:	4 
136:	1 
1360:	1 
1361:	4 
1362:	1 
1363:	1 
1364:	2 
1365:	2 2 1 
1366:	5 
1369:	1 1 
1370:	1 
1371:	1 1 
1372:	1 
1373:	2 2 
1374:	1 
1375:	1 
1376:	2 1 
1377:	1 
1378:	2 
1379:	6 
138:	2 
1381:	2 
1382:	1 
1383:	1 
1384:	1 
1386:	1 
1387:	4 
1388:	6 
1389:	1 1 
139:	1 
1390:	3 
1391:	1 1 
1392:	1 
1394:	2 
1395:	2 
1396:	1 
1397:	2 3 
1398:	1 5 
1399:	5 
14:	4 
140:	3 
1400:	3 1 1 
1401:	2 
1402:	2 
1403:	1 
1406:	2 
1407:	3 
1409:	1 
141:	2 1 
1410:	1 
1411:	2 
1412:	2 
1413:	1 
1416:	2 
1417:	2 
1418:	1 
1419:	1 2 
142:	1 
1420:	1 1 
1421:	3 3 2 
1423:	2 
1424:	2 
1425:	1 
1427:	1 3 
1428:	1 
1429:	1 
143:	1 
1430:	1 
1431:	1 1 
1432:	1 1 2 
1433:	1 
1434:	1 
1435:	2 
1436:	4 
1437:	1 1 
1438:	1 
1439:	4 
144:	4 
1440:	1 
1441:	3 1 1 1 
1442:	1 
1443:	2 
1444:	4 1 
1445:	2 1 
1446:	3 
1447:	1 1 
1448:	1 
1449:	1 
145:	1 
1450:	3 
1451:	4 1 
1452:	3 
1453:	1 
1455:	1 
1456:	7 
1457:	1 2 3 
1458:	1 
1459:	1 
146:	1 
1461:	2 
1462:	1 
1463:	1 3 2 2 
1464:	4 
1465:	6 
