=== non-contiguous nft : chains ===
Found 3099 chain interruption in 10024 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	1 
10023:	1 1 6 
10024:	3 
10025:	1 
10026:	1 
10027:	9 
10028:	1 
10029:	3 
10031:	2 
10032:	2 
10033:	1 2 
10034:	1 1 
10035:	1 
10036:	2 
10037:	1 
10038:	1 
10040:	2 
10041:	1 
10043:	1 
10045:	4 
10047:	1 
10049:	1 
10050:	3 
10051:	2 
10052:	1 
10056:	2 
10057:	4 
10058:	1 
10059:	1 
10060:	2 
10062:	2 
10063:	1 4 1 
10066:	1 
10067:	3 
10068:	1 
10069:	1 
1007:	2 1 
10070:	1 5 1 
10071:	1 
10072:	1 
10073:	2 
10074:	1 
10077:	1 
10078:	1 
10079:	1 
10080:	3 
10081:	2 
10082:	6 
10086:	1 1 
10087:	2 1 1 1 
10089:	1 
10090:	1 2 
10092:	1 
10093:	1 
10095:	1 
10096:	2 
10097:	1 
10099:	1 3 2 
10100:	1 
10102:	4 
10103:	4 
10104:	1 1 
10105:	2 
10107:	2 
10108:	3 
10109:	2 
10110:	1 1 
10111:	2 
10112:	1 
10113:	1 
10114:	1 
10116:	1 
10117:	2 1 
10118:	1 
10119:	2 
10120:	1 
10121:	2 
10122:	1 
10123:	1 1 
10124:	1 
10126:	2 
10127:	1 
10135:	1 1 
10136:	1 1 
10137:	1 
10138:	1 
10139:	1 1 
10140:	1 
10141:	2 
10142:	1 
10143:	1 
10144:	3 3 
10145:	1 
10146:	1 
10147:	2 
10148:	1 
10149:	1 
10150:	1 
10151:	2 
10152:	4 
10153:	2 
10154:	2 1 
10155:	2 
10157:	2 
10178:	1 
10179:	1 1 2 
10180:	1 1 1 
10181:	1 
10182:	1 
10183:	1 
10184:	2 2 
10185:	2 1 5 
10186:	3 
10187:	2 
10188:	4 
10190:	3 
10191:	1 
10192:	1 2 
10193:	1 
10194:	5 
10195:	3 6 
10196:	1 
10199:	1 
10201:	1 
10202:	1 
10203:	2 
10204:	1 2 1 
10205:	3 
10207:	1 1 1 
10209:	2 
10210:	1 
10213:	1 
10214:	1 
10215:	1 
10216:	2 
10217:	1 1 
10218:	2 
10219:	1 1 
10220:	3 1 
10221:	4 
10222:	1 
10223:	3 
10224:	2 
10225:	2 
10226:	1 
10228:	2 
10229:	1 4 5 
10230:	2 
10231:	2 
10233:	1 3 
10234:	4 
10237:	1 
10238:	1 3 
10239:	3 
1024:	1 
10240:	1 2 
10244:	1 
10245:	1 
10248:	1 1 
1025:	1 2 
10250:	4 
10251:	2 
10255:	2 3 2 
10257:	1 
10258:	1 
10260:	4 
10261:	3 
10262:	4 
10264:	1 
10265:	1 
10266:	2 
10267:	3 
10268:	3 
10269:	7 3 
10272:	2 
10273:	3 
10274:	1 
10275:	1 
10276:	1 
10277:	3 1 1 
10278:	2 
10279:	3 
10280:	2 
10281:	1 1 2 3 
10282:	1 
10284:	2 2 
10287:	1 
10288:	1 
10289:	1 
1029:	1 
10290:	1 2 
10291:	1 
