=== non-contiguous nft : chains ===
Found 2233 chain interruption in 3835 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	3 
100:	1 
1000:	1 
1001:	1 
1002:	2 1 1 1 1 1 5 14 18 5 2 
1003:	1 1 1 
1004:	1 
1007:	1 
1008:	2 
1009:	1 
101:	2 
1010:	1 
1011:	2 3 3 
1012:	2 1 
1014:	2 
1015:	1 
1016:	2 
1017:	9 1 1 2 4 
1018:	1 1 
1019:	7 
102:	2 
1020:	2 
1023:	1 
1024:	1 
1025:	1 1 
1026:	1 
1027:	1 
1028:	1 
1029:	1 1 
103:	2 1 
1030:	1 
1031:	1 
1032:	1 2 
1033:	2 
1034:	7 17 
1035:	2 
1038:	1 
1039:	1 
104:	1 
1040:	2 
1041:	1 
1042:	2 3 
1043:	2 
1044:	2 1 1 
1045:	4 
1046:	1 
1047:	1 1 
1049:	1 2 
105:	1 1 
1050:	11 
1051:	1 1 1 
1052:	5 
1053:	1 
1054:	1 
1056:	2 2 4 
1058:	1 1 
106:	2 
1060:	4 3 
1061:	3 1 
1062:	1 
1065:	3 
1066:	1 
1067:	2 
1068:	1 5 
1069:	1 
107:	2 
1070:	2 
1071:	9 1 1 4 
1072:	1 
1073:	1 
1074:	6 
1077:	2 
1079:	2 
1080:	2 
1081:	2 
1082:	1 
1084:	3 
1087:	5 2 
1088:	3 
1089:	4 
109:	4 
1091:	2 1 
1092:	2 1 1 
1093:	2 
1095:	2 
1096:	1 
1097:	1 2 
1099:	3 1 
11:	3 
110:	2 
1101:	2 
1102:	1 
1103:	1 
1104:	3 
1107:	1 1 
1108:	2 
111:	1 1 
1111:	1 
1113:	1 2 
1114:	3 
1115:	1 1 
1116:	1 2 
1117:	1 
1118:	2 1 
1119:	2 
112:	2 
1121:	4 
1122:	1 
1123:	1 3 5 
1124:	3 1 
1125:	1 
1126:	6 
1127:	1 
1128:	2 
1129:	3 
113:	2 
1130:	1 2 7 
1131:	3 
1132:	2 2 
1133:	2 
1134:	1 
1135:	2 
1136:	2 
1137:	1 
1138:	1 4 1 1 
1139:	3 
114:	1 
1140:	3 
1141:	2 
1142:	3 
1143:	4 
1144:	1 
1145:	1 
1146:	2 
1147:	1 
1148:	1 
1149:	4 1 1 
115:	1 2 
1150:	1 3 2 
1151:	1 2 9 5 6 
1152:	8 
1154:	1 1 1 
1155:	1 5 
1156:	1 2 1 
1158:	3 4 
1159:	1 
116:	2 
1161:	1 
1163:	3 
1164:	2 
1165:	3 1 
1166:	1 
1168:	1 
1169:	2 
117:	2 
1171:	4 
1172:	3 1 
1174:	1 
1176:	1 
1177:	4 4 4 
1178:	2 
1179:	1 
118:	8 
1180:	1 
1181:	1 
1182:	1 
1184:	3 1 2 2 1 
1187:	1 
1188:	1 1 
1189:	5 1 
119:	1 
1190:	1 
1191:	3 
1192:	1 
1193:	1 
1194:	3 1 
1195:	1 
1196:	4 
1197:	1 
1198:	5 1 
1199:	3 
12:	1 2 1 1 
120:	2 
1201:	2 2 1 
1202:	10 3 3 
1203:	1 
1205:	1 
1207:	2 
1208:	7 
121:	2 1 
1210:	1 
1211:	1 
1212:	2 
1214:	5 
1215:	1 
1216:	1 1 
1218:	1 2 
122:	1 
1220:	1 
1221:	1 
1222:	2 
1223:	5 1 
1224:	4 
1225:	2 
1226:	1 
1227:	2 
1228:	1 
1230:	3 
1231:	1 
1234:	3 2 1 6 4 9 
1235:	3 
1236:	1 1 
1237:	2 
1238:	2 
1239:	2 
124:	1 2 
1240:	3 
1241:	1 
1243:	10 
1245:	1 
1246:	3 1 
1247:	2 
1248:	4 
1249:	1 
1250:	2 
1251:	1 1 
1252:	1 
1253:	1 3 
1254:	1 
1255:	2 
1256:	1 3 
1257:	3 
1258:	4 
126:	3 
1260:	1 1 1 
1261:	1 
1264:	2 
1266:	1 
1267:	3 
1268:	1 1 
127:	2 
1270:	1 
1272:	2 
1273:	4 
1274:	2 5 
1276:	1 1 
1277:	1 
1278:	1 
1279:	1 1 
128:	1 
1280:	1 2 
1281:	3 
1282:	3 1 6 2 
1283:	1 
1284:	1 
1285:	1 
1287:	1 3 
1288:	1 1 
129:	1 1 6 
1290:	3 1 1 1 
1291:	2 
1292:	2 
1293:	1 
1294:	2 
1295:	3 
1296:	2 1 
1298:	1 1 
1299:	2 
13:	1 1 
130:	3 7 
1300:	1 
1302:	4 
1303:	1 1 2 
1304:	3 2 1 4 2 
1305:	17 
1306:	1 2 
1307:	4 
1308:	1 2 
1309:	2 2 3 
1310:	2 
1311:	1 2 
1312:	1 
1314:	3 
1315:	1 
1317:	2 3 
1318:	1 
1319:	1 
132:	1 6 
1320:	3 
1321:	4 
1322:	1 3 
1324:	1 
1325:	2 
1326:	2 2 
1327:	1 1 
1328:	3 1 
1330:	3 
1331:	1 
1332:	1 
1335:	1 
1338:	1 
1339:	4 1 
134:	3 1 
1340:	2 
1341:	2 2 5 
1342:	5 
1344:	2 
1345:	1 
1346:	1 
135:	1 
1350:	1 2 1 3 
1351:	1 
1352:	1 1 1 
1353:	1 3 1 
1354:	3 
1355:	2 
1356:	1 
1357:	3 
1358:	3 1 1 1 1 1 6 3 1 
1359:	1 2 
136:	2 2 
1361:	1 
1362:	9 
1363:	2 1 2 4 
1364:	1 1 
1365:	1 
1366:	3 1 
1368:	1 4 
1369:	2 1 1 
137:	1 
1370:	2 2 
1371:	2 
1372:	8 
1373:	3 
1374:	3 1 3 
1375:	2 1 
1376:	7 1 
1377:	1 6 
1378:	1 
1379:	1 
138:	4 
1380:	3 
1381:	8 3 
1383:	1 
1384:	1 2 3 
1385:	3 
1386:	1 8 
1387:	3 1 
1388:	1 
1389:	2 1 
139:	3 
1390:	1 
1391:	1 
1392:	2 
1393:	1 
1394:	2 
1395:	1 3 
1396:	1 
1397:	5 
1398:	1 
1399:	2 
14:	1 
140:	2 
1401:	4 1 3 8 1 
1402:	1 
1403:	1 
1404:	1 
1405:	2 
1406:	1 1 
1408:	1 
1410:	1 1 1 
1411:	1 
1412:	2 
1414:	2 
1415:	3 1 1 
1416:	1 
1417:	2 
1418:	1 
142:	2 
1420:	3 2 
1421:	2 2 
1424:	2 
1425:	9 1 
1427:	1 3 2 2 
1428:	2 1 4 
1429:	1 2 
143:	1 
1430:	1 
1431:	3 
1434:	1 1 
1435:	1 1 
1436:	2 
1437:	3 1 
1438:	1 
1439:	3 
144:	13 
1440:	1 
1441:	2 
1442:	2 
1443:	3 1 2 
1444:	1 
1446:	2 
1448:	4 
1449:	1 2 
145:	3 1 1 2 
1450:	1 
1451:	1 
1454:	2 1 2 
1456:	3 1 2 1 1 1 
1458:	2 
1459:	3 
146:	2 
1460:	2 2 4 1 2 4 
1461:	1 2 
1462:	2 
1463:	1 4 
1464:	2 
1465:	1 
1466:	2 
1467:	1 
1468:	1 
1469:	3 
147:	1 
1470:	1 
1471:	2 
1472:	1 
1474:	1 
1475:	1 2 
1476:	4 1 
1478:	5 1 3 
1479:	9 
148:	1 
1480:	1 
1481:	1 
1483:	1 
1484:	1 
1485:	1 
1486:	1 
1488:	1 2 3 
1489:	1 2 1 
149:	2 
1492:	1 
1493:	2 
1495:	1 
1498:	3 1 
1499:	2 
15:	1 3 
150:	1 1 2 
1500:	2 
1501:	1 2 2 
1502:	1 
1503:	1 
1507:	3 
1508:	5 
1509:	2 
151:	1 3 
1510:	8 
1511:	1 
1512:	2 1 1 3 2 
1513:	1 
1514:	1 
1516:	1 
1518:	2 
1519:	2 
1520:	1 
1521:	1 
1522:	3 
1523:	2 2 2 3 
1524:	2 1 
1525:	1 5 
1526:	5 
1527:	1 2 1 
1528:	1 7 
1529:	4 
153:	2 
1530:	1 
1531:	3 
1532:	2 3 
1534:	2 
1535:	1 
1536:	4 24 
1537:	1 
1539:	4 
154:	2 
1540:	1 
1541:	6 
1543:	1 
1544:	2 1 1 
1545:	2 1 
1547:	2 9 1 3 
1548:	3 3 
1551:	1 1 1 1 1 
1553:	1 
1554:	4 
1555:	1 
1558:	2 2 1 1 1 
1559:	2 2 
156:	2 
1560:	2 1 
1561:	4 2 
1562:	2 
1563:	4 
1564:	1 
1565:	1 2 
1566:	2 1 1 1 1 3 1 9 6 
1567:	3 
1568:	2 
1569:	2 
1570:	3 
1571:	2 
1572:	4 
1573:	4 1 
1574:	1 
1575:	2 
1576:	2 
1577:	1 
1578:	1 
1579:	2 
1580:	2 
1584:	1 
1586:	2 
1587:	7 1 
159:	6 
1590:	2 
1591:	1 3 1 
1593:	3 
1594:	4 2 
1596:	2 
1597:	3 
1598:	4 
1599:	1 1 
16:	1 
1600:	1 
1601:	3 
1602:	1 1 3 
1603:	1 
1605:	1 
1606:	1 2 1 2 
1608:	1 
1609:	2 
161:	1 1 
1610:	2 
1611:	2 6 
1612:	2 
1613:	1 5 4 
1614:	1 
1615:	2 4 
1616:	3 1 
1617:	1 
1618:	1 1 
1619:	4 
1621:	1 
1623:	1 
1624:	3 
1625:	2 
1626:	3 5 
1628:	2 1 
1629:	2 1 2 
163:	2 
1630:	6 
1632:	1 
1633:	1 2 
1635:	1 2 
1636:	1 
1637:	3 
1638:	2 
1639:	1 
1640:	3 
1641:	2 1 3 
1642:	1 
1643:	3 
1644:	4 1 
1646:	1 2 
1647:	3 
1648:	6 
165:	1 
1651:	3 1 1 1 2 1 2 
1652:	3 5 1 
1653:	5 2 
1654:	1 
1655:	1 
1656:	1 
1657:	3 2 1 1 
1659:	1 
166:	6 2 
1660:	3 
1661:	1 2 
1662:	1 
1663:	4 
1664:	2 
1665:	1 1 
1666:	1 
1668:	2 
1669:	3 
167:	1 
1670:	3 
1671:	10 1 1 
1673:	3 1 8 1 
1674:	5 1 
1675:	8 2 8 2 
1676:	1 
1677:	1 
1678:	1 
1679:	1 
168:	2 
1680:	3 5 
1681:	1 1 
1682:	1 
1683:	5 
1684:	4 1 
1685:	11 1 
1686:	2 
1687:	3 2 2 
1688:	1 10 16 2 
1689:	2 
169:	2 2 
1690:	1 
1692:	2 
1693:	2 6 
1694:	2 2 
1695:	1 
1696:	5 
1697:	4 
1698:	1 1 2 
17:	2 1 
1701:	1 
1702:	1 
1703:	4 
1705:	3 
1708:	1 
1709:	1 
171:	2 
1710:	2 
1711:	4 
1712:	2 
1713:	3 2 
1714:	2 1 2 3 
1715:	2 2 
1716:	1 
1717:	3 
1718:	2 
172:	1 
1720:	4 
1721:	1 
1722:	3 5 
1723:	1 
1724:	1 
1725:	3 
1726:	2 3 
1727:	1 
1728:	1 
1729:	2 
173:	2 
1730:	2 
1731:	2 2 1 2 
1732:	5 
1734:	2 
1735:	1 
1736:	1 1 5 
1738:	6 
1739:	1 
174:	3 
1740:	2 1 
1741:	2 2 3 
1742:	1 
1745:	2 1 1 
1746:	1 
1747:	6 2 
1748:	1 
1749:	2 3 
175:	1 
1750:	2 1 
1751:	2 3 
1753:	1 
1754:	1 
1755:	1 2 1 
1756:	6 1 1 3 
1757:	8 3 6 13 5 
1758:	1 2 
1759:	1 
1760:	2 
1761:	2 
1764:	8 
1765:	2 2 
1767:	2 
1768:	2 9 1 1 
1769:	1 
177:	1 
1770:	1 
1771:	3 2 
1774:	2 
1775:	1 
1776:	3 
1777:	1 1 
178:	1 3 1 2 2 
1780:	2 1 1 1 1 
1781:	1 
1782:	2 
1783:	1 1 
1785:	2 1 
1786:	2 
1787:	6 
1788:	3 2 
1789:	1 
179:	3 2 
1790:	1 
1791:	8 6 
1792:	1 
1793:	1 
1794:	6 
1796:	3 5 1 1 5 
1797:	2 
1798:	2 
18:	1 1 2 1 13 3 
180:	1 3 
1800:	2 
1802:	1 
1803:	3 
1804:	1 
1805:	1 1 
1806:	1 
1807:	1 
1808:	2 1 1 1 
181:	3 
1810:	2 
1812:	2 3 
1813:	1 
1814:	1 2 
1817:	1 
1819:	1 
182:	1 4 
1820:	1 
1821:	2 1 
1822:	1 
1823:	1 1 1 
1824:	1 
1825:	2 
1826:	6 1 
1828:	1 3 
1829:	5 
183:	3 2 6 
1830:	3 
1832:	7 
1833:	1 1 3 3 
1834:	1 
1835:	1 
1837:	1 
1838:	7 
1839:	2 
184:	1 2 2 1 3 
1840:	5 3 
1842:	2 3 2 
1843:	1 
1844:	1 
1847:	1 1 
1849:	1 3 
185:	2 
1850:	4 1 
1851:	3 
1852:	2 
1853:	1 
1854:	1 2 
1855:	1 
1856:	1 
1857:	1 4 
1858:	1 
186:	2 2 
1860:	1 
1862:	2 
1864:	1 
1865:	5 
1866:	1 
1867:	2 5 2 
1868:	1 3 2 
1869:	1 
187:	1 2 
1870:	7 1 
1871:	2 
1872:	1 
1873:	1 
1874:	1 1 
1875:	2 1 
1876:	1 
1877:	6 
1878:	2 
1879:	4 
188:	2 
1880:	3 
1881:	2 
1882:	1 
1883:	1 
1884:	1 3 
1885:	2 
1886:	4 1 1 
1887:	1 
1888:	1 
1889:	5 1 2 
189:	4 
1890:	2 
1891:	2 
1892:	2 
1893:	2 1 
1894:	1 
1895:	1 
1896:	1 
1897:	2 
1898:	3 
1899:	5 
190:	1 
1900:	1 
1901:	1 
1902:	2 
1904:	1 1 
1905:	2 3 2 1 5 
1906:	1 
1907:	1 1 1 
1908:	1 
191:	1 1 
1911:	4 
1912:	1 
1913:	3 1 
1914:	2 3 
1915:	2 1 1 
1916:	1 
1917:	2 
1918:	4 
192:	1 
1921:	3 1 
1922:	2 
1923:	1 
1924:	1 
1926:	1 
1927:	2 2 
1928:	2 1 
1929:	1 
193:	1 
1930:	2 
1931:	1 
1932:	2 1 1 2 1 
1933:	1 
1934:	2 
1935:	2 
1936:	1 
1937:	1 
1938:	1 
1939:	1 
194:	3 3 2 2 
1940:	4 2 
1941:	1 1 
1944:	1 1 
1945:	3 
1946:	1 3 
1947:	1 1 
1948:	3 
1949:	1 
195:	1 7 2 
1950:	1 
1951:	4 
1952:	3 2 
1953:	2 
1955:	1 
1956:	2 1 
1957:	2 
1958:	4 
