=== non-contiguous nft : chains ===
Found 2876 chain interruption in 7645 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
1000:	3 1 
1001:	2 
1002:	2 
1003:	1 
1004:	1 
1005:	2 
1006:	6 
1007:	2 
1008:	1 2 6 14 7 
1009:	1 1 
1010:	2 
1011:	1 4 1 
1012:	1 1 1 2 2 1 
1013:	2 
1014:	3 
1015:	3 
1017:	2 
1018:	1 2 
1019:	1 
1020:	5 
1021:	1 
1022:	4 1 
1023:	3 
1024:	1 
1025:	4 5 1 2 
1026:	1 
1027:	5 
1028:	2 
1029:	2 
1030:	3 
1031:	1 
1032:	2 1 1 1 
1033:	5 
1034:	3 
1035:	3 2 1 
1036:	1 
1037:	1 
1038:	1 
1039:	1 
1040:	2 
1041:	1 
1042:	1 
1043:	1 
1044:	2 2 
1045:	2 
1050:	3 
1051:	1 
1052:	1 1 
1053:	1 
1054:	9 
1055:	1 
1057:	1 
1058:	2 
1059:	2 
1061:	2 1 1 1 
1063:	1 2 
1065:	2 6 
1066:	1 
1067:	2 1 
1068:	1 2 
1070:	1 
1071:	1 1 
1072:	2 2 
1073:	1 2 
1074:	1 
1075:	1 
1076:	2 2 
1077:	1 1 
1078:	1 
1079:	1 
1080:	1 
1081:	1 
1083:	2 
1084:	1 
1085:	1 1 
1086:	2 
1087:	2 
1088:	1 
1090:	2 
1091:	3 
1092:	2 
1093:	1 3 
1094:	1 
1096:	2 
1098:	2 
1099:	3 2 
11:	4 
1100:	2 
1101:	1 1 3 
1102:	2 
1103:	1 1 1 
1105:	2 
1106:	2 1 
1107:	3 
1108:	3 1 
1109:	4 
1110:	2 3 
1111:	2 
1112:	1 
1113:	1 
1114:	1 
1115:	3 
1117:	3 
1118:	3 
1119:	3 
1120:	4 4 
1121:	1 1 
1122:	2 1 1 
1123:	1 
1124:	3 
1125:	2 
1127:	1 3 2 
1128:	3 
1129:	1 
1130:	2 3 
1131:	1 
1133:	2 
1134:	3 
1136:	1 
1137:	1 
1139:	2 
1141:	2 
1143:	1 
1144:	1 1 
1145:	2 1 
1146:	4 1 
1147:	1 
1148:	1 
1149:	1 
1150:	2 1 2 
1151:	2 
1152:	3 
1153:	3 
1154:	2 
1156:	6 
1157:	1 1 2 
1159:	2 1 
1160:	1 
1161:	2 
1163:	1 
1165:	3 
1166:	1 10 
1168:	5 
1169:	1 
1170:	4 1 
1172:	2 1 
1173:	1 
1174:	2 
1175:	2 
1176:	2 
1177:	1 1 
1178:	1 
1179:	1 
1180:	2 
1181:	3 
1183:	4 1 
1184:	3 2 
1185:	4 
1186:	2 
1188:	1 
1189:	3 
1190:	2 1 1 
1191:	1 
1192:	2 
1193:	2 
1194:	4 1 
1195:	1 
1198:	2 
1199:	1 
1200:	1 
1202:	1 
1203:	3 
1204:	4 1 
1205:	1 
1206:	1 
1207:	1 
1208:	2 2 
1209:	2 8 22 
1210:	2 
1211:	2 
1212:	9 8 
1213:	1 
1214:	1 2 
1215:	3 
1217:	2 
1218:	2 
