=== non-contiguous nft : chains ===
Found 1475 chain interruption in 8854 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 2 
1:	1 
10:	1 
100:	4 2 3 
1000:	2 
1001:	2 
1002:	3 
1003:	6 
1004:	1 
1005:	1 
1006:	1 
1008:	1 
1009:	2 
101:	2 
1011:	1 
1013:	3 
1014:	2 
1015:	3 
1016:	2 1 
1017:	2 
1018:	3 2 
1019:	2 
102:	3 
1021:	4 
1022:	1 
1023:	2 
1024:	1 3 
1025:	2 
1026:	1 
1027:	1 
1028:	5 
1029:	1 1 
103:	1 
1030:	1 
1031:	2 
1032:	2 1 
1033:	2 
1034:	3 
1035:	3 
1036:	3 
1037:	2 
1038:	1 
1039:	1 2 
1040:	1 1 
1041:	5 1 
1042:	2 
1043:	4 
1044:	1 
1045:	4 3 
1046:	3 
1047:	1 
1049:	3 
105:	2 
1051:	1 
1053:	3 
1054:	4 
1055:	1 
1056:	3 
1058:	2 
1059:	3 
1060:	2 2 
1061:	1 
1062:	1 1 
1063:	2 
1064:	1 
1065:	3 
1066:	2 
1067:	4 
1068:	1 
1069:	7 
107:	11 
1070:	1 
1071:	2 
1072:	3 
1073:	3 
1074:	2 
1075:	2 
1076:	2 
1077:	1 
1078:	2 
1079:	5 
108:	4 1 
1080:	1 
1082:	3 
1083:	4 
1085:	2 
1088:	1 
109:	5 3 1 1 2 
1090:	4 
1092:	6 
1093:	4 
1094:	1 
1095:	1 
1096:	1 3 
1097:	1 1 
1098:	2 
1099:	3 
110:	1 
1100:	1 
1101:	4 
1102:	1 
1103:	3 
1104:	3 
1106:	3 
1107:	5 
1108:	3 
1109:	1 
1110:	7 
1111:	1 
1112:	5 
1113:	1 
1114:	2 
1115:	1 
1116:	3 
1117:	4 
1118:	2 
1119:	4 
112:	1 
1120:	2 
1121:	1 2 
1122:	1 
1123:	2 
1124:	1 2 
1125:	1 
1126:	9 
1128:	1 
1129:	2 
113:	3 1 
1130:	3 
1131:	3 
1132:	3 
1133:	2 
1136:	3 
1137:	2 
1138:	1 1 
1139:	1 2 
114:	4 
1140:	1 
1141:	1 
1142:	1 
1145:	1 
1147:	2 
1148:	1 
1149:	1 
115:	2 
1150:	4 
1151:	5 
1152:	1 
1153:	2 
1157:	1 
1158:	2 
1159:	5 
116:	3 
1160:	3 
1161:	1 
1162:	4 2 
1163:	6 
1164:	1 
1165:	2 
1166:	1 
1167:	2 
1168:	2 
1169:	2 
117:	4 
1170:	2 
1171:	2 
1172:	2 
1173:	1 
1175:	2 
1176:	3 
1177:	2 1 
1178:	1 
1180:	4 
