=== non-contiguous nft : chains ===
Found 3810 chain interruption in 7170 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 2 
1:	1 
100:	1 1 2 3 
1000:	4 
1003:	4 
1005:	2 2 
1006:	1 
1008:	1 
1009:	8 
101:	2 
1012:	2 1 
1014:	4 
1015:	2 
1016:	2 
1017:	1 
1018:	1 
1019:	3 
1020:	1 2 3 
1021:	1 
1022:	1 2 
1024:	2 
1025:	1 
1028:	1 
1029:	2 
103:	2 1 
1030:	4 2 
1031:	1 
1032:	3 
1034:	1 
1035:	1 
1037:	2 
1038:	1 
1039:	1 1 3 
104:	1 
1040:	4 
1041:	3 
1042:	4 
1046:	1 1 1 1 
1047:	1 2 
1048:	1 
1049:	2 
105:	2 
1053:	1 2 
1054:	2 
1055:	1 3 
1056:	2 
1059:	1 1 
106:	1 
1060:	1 
1061:	1 3 1 
1062:	2 
1063:	2 1 6 
1065:	1 1 3 
1066:	4 1 1 2 
1067:	2 1 1 1 
1068:	1 1 1 1 
1069:	1 
1070:	6 
1071:	1 
1072:	4 
1074:	2 1 
1076:	1 2 2 
1077:	4 1 1 
1078:	2 2 2 
1079:	1 
108:	1 
1080:	1 
1081:	2 
1082:	3 
1083:	1 2 
1084:	7 1 
1085:	2 
1086:	2 
1088:	1 
1089:	1 
1092:	3 
1093:	2 
1094:	2 
1095:	1 
1096:	1 
1097:	3 
1098:	1 1 1 
1105:	2 1 1 
1107:	2 
1108:	2 1 
1109:	2 
1110:	4 
1112:	1 
1113:	4 
1115:	2 1 
1117:	5 1 1 1 
1118:	4 4 
1119:	2 
1120:	1 3 2 
1121:	1 
1123:	1 
1124:	1 
1125:	3 
1126:	1 1 
1127:	1 
1128:	3 
1130:	1 3 
1131:	1 
1132:	1 1 
1133:	3 
1134:	2 6 
1135:	3 
1136:	1 6 
1137:	1 
1138:	2 
1141:	2 
1142:	1 
1144:	2 
1149:	2 
1150:	2 1 4 1 
1151:	4 
1152:	2 1 
1154:	2 1 
1156:	1 
1157:	2 
1158:	2 
1159:	1 1 
1160:	3 1 2 
1161:	1 1 
1162:	1 
1164:	1 1 4 
1165:	3 
1166:	5 2 2 
1168:	1 
1169:	2 
1170:	4 1 1 
1171:	1 1 
1172:	1 
1173:	1 
1174:	1 
1175:	3 
1176:	1 
1177:	3 
1178:	2 1 2 
1179:	2 
1180:	1 
1182:	3 
1185:	3 1 
1186:	3 
1187:	1 
1188:	2 
1189:	1 
1190:	1 
1191:	4 2 
1192:	4 
1194:	5 
1195:	2 
1196:	1 1 
1197:	1 
1198:	1 1 
1199:	6 
