=== non-contiguous nft : chains ===
Found 3753 chain interruption in 5389 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
100:	1 1 
1000:	1 
10003:	1 1 
1001:	3 
10015:	2 
10025:	1 
1003:	2 1 
10035:	1 
1007:	1 
1008:	2 
1009:	1 
101:	1 3 
1010:	1 1 
1011:	1 
1012:	1 
1014:	1 
1015:	2 
1016:	1 
1021:	1 
1022:	1 
1023:	3 
1024:	3 1 1 2 
1025:	4 
1027:	1 
1028:	1 1 
1029:	1 1 
1030:	2 
1031:	1 
1033:	1 
1034:	1 
1035:	1 
1039:	2 
104:	1 4 1 
1040:	5 2 
1041:	1 
1044:	2 
1045:	1 
1046:	1 
1047:	1 
1048:	4 
1049:	1 
105:	1 
1050:	1 2 3 1 
1052:	1 
1053:	1 
1054:	1 
1056:	1 
1057:	1 
1058:	1 
1059:	1 
106:	4 
1060:	1 1 
1061:	1 
1062:	1 
1063:	1 
1064:	1 
1066:	1 1 
1067:	1 
1068:	1 
1069:	1 1 1 
107:	1 3 
1070:	1 2 
1071:	2 2 
1072:	1 
1073:	1 
1075:	1 2 2 
1076:	1 
1077:	3 
1078:	3 
108:	3 
1080:	1 
1081:	2 1 2 
1084:	1 2 
1085:	1 
109:	1 
1090:	1 
1091:	1 
1094:	1 1 
1095:	1 1 
1098:	2 
1099:	1 
11:	2 1 1 3 
1101:	1 3 
1102:	1 
1103:	1 1 1 
1104:	1 4 
1105:	1 
1106:	1 2 
1107:	1 
1109:	1 
1110:	1 
1111:	5 
1113:	1 
1114:	3 
1115:	2 1 3 
1117:	1 
1118:	1 1 3 
1119:	4 
112:	2 3 
1120:	1 
1122:	1 1 
1123:	1 1 1 
1124:	4 1 
1125:	1 
1127:	1 
1128:	1 2 
1129:	1 
113:	1 2 
1130:	1 
1132:	2 
1134:	2 
1135:	2 
1137:	1 
1138:	1 
114:	1 
1140:	1 3 1 1 
1141:	1 1 1 1 1 1 2 
1142:	2 1 
1144:	1 3 
1145:	1 
1146:	2 
1147:	2 
1148:	1 
1151:	2 
1152:	1 
1153:	3 
1154:	1 1 
1157:	2 3 
1158:	1 
1160:	2 
1161:	1 3 
1162:	1 1 4 
1163:	2 
1164:	1 1 
1166:	2 
1169:	1 
117:	1 
1170:	1 1 1 2 
1171:	1 
1172:	2 
1173:	2 
1174:	4 
1176:	2 
1177:	3 
1178:	2 
118:	2 
1182:	1 
1183:	1 1 
1184:	1 
1185:	1 1 
1186:	4 
1187:	2 
1188:	1 
1189:	1 
119:	1 
1190:	1 
1192:	1 
1193:	2 
1195:	1 
1196:	1 2 1 
1198:	1 1 
1199:	1 
12:	2 
120:	1 
1200:	1 
1203:	1 1 
1205:	1 
1207:	1 
1208:	1 6 
1209:	8 
121:	2 
1211:	5 2 
1212:	1 
1213:	2 
1215:	1 1 5 
1218:	1 3 
1219:	1 
1220:	2 
1221:	1 
1235:	1 
1236:	1 
1237:	1 1 
1243:	1 1 1 1 
1247:	1 1 1 
1248:	2 
1249:	2 
