=== non-contiguous nft : chains ===
Found 2872 chain interruption in 5027 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	7 
100:	2 
1000:	2 1 1 
1001:	5 
1002:	2 
1003:	4 
1004:	1 1 
1005:	1 6 
1006:	5 1 2 
1007:	1 
1008:	1 
1009:	1 
101:	1 1 
1010:	4 
1011:	2 
1012:	2 
1013:	9 
1014:	2 1 
1015:	3 
1016:	1 
1017:	5 
1018:	2 
1019:	3 
102:	1 
1020:	1 
1021:	1 1 
1022:	1 
1023:	1 
1024:	1 1 
1025:	3 1 
1027:	3 
1028:	1 1 2 1 1 
1029:	1 
103:	4 
1030:	1 
1031:	1 
1032:	5 
1033:	3 6 
1035:	2 1 1 2 2 
1036:	1 
1037:	3 
1039:	1 1 
104:	1 
1040:	2 
1041:	1 
1042:	1 
1043:	3 1 
1044:	2 
1045:	1 6 3 
1046:	1 1 
1047:	1 
1048:	3 1 3 
1049:	4 1 
105:	4 3 1 
1051:	3 
1052:	5 1 1 
1053:	1 
1054:	3 
1055:	3 1 3 
1056:	3 
1057:	3 
1058:	2 2 2 1 
106:	1 3 
1060:	1 1 2 2 
1061:	2 
1062:	7 
1063:	1 
1064:	1 2 3 
1065:	4 1 
1066:	5 4 
1067:	2 
1068:	1 
1069:	1 
107:	1 2 
1070:	3 3 5 2 
1071:	1 2 
1072:	1 
1073:	3 
1074:	2 
1075:	1 
1076:	2 
1077:	1 10 
1078:	1 
1079:	4 1 
108:	1 
1080:	2 2 
1081:	5 1 1 
1082:	1 
1083:	1 
1084:	3 
1085:	1 2 
1086:	2 
1087:	1 
1088:	2 1 
109:	1 
1090:	1 1 1 
1091:	4 
1092:	2 
1093:	2 
1094:	1 2 
1095:	2 2 
1096:	1 1 1 
1098:	2 
1099:	2 2 2 
11:	5 1 
110:	2 
1100:	2 1 
1102:	1 2 1 1 
1103:	2 
1105:	2 1 
1106:	2 1 
1107:	2 
1108:	3 1 
1109:	4 
111:	1 1 
1110:	5 
1112:	4 
1113:	2 
1114:	2 3 
1115:	3 
1117:	6 3 
1119:	1 1 1 
112:	1 2 6 2 
1120:	1 
1121:	2 
1122:	2 2 2 5 6 
1123:	7 4 
1124:	5 
1125:	2 
1126:	2 
1127:	2 1 
1128:	4 
1129:	1 
113:	1 
1130:	1 
1131:	3 
1132:	6 
1133:	2 
1134:	2 
1135:	2 
1136:	1 
1138:	2 
1139:	2 2 1 2 1 1 
114:	4 1 
1140:	1 1 1 
1141:	5 
1142:	3 2 
1143:	1 1 
1144:	1 
1145:	1 
1146:	3 
1147:	2 
1148:	3 
1149:	3 
115:	3 1 
1150:	3 
1151:	2 
1152:	3 
1155:	3 5 
1156:	1 1 1 
1158:	2 
1159:	1 1 
116:	5 
1160:	3 
1161:	1 1 
1162:	3 
1163:	4 
1164:	1 
1165:	3 
1166:	1 
1167:	2 
1168:	4 
1169:	8 
117:	2 
1170:	1 
1171:	1 
1173:	2 4 
1174:	7 1 
1175:	2 
1176:	2 
1177:	1 
1178:	1 
1179:	3 3 
118:	1 
1180:	2 
1181:	4 
1182:	1 
1183:	2 1 1 
1184:	1 
1186:	1 
1187:	1 
1188:	1 
1189:	1 
119:	1 1 
1190:	3 
1191:	2 
1192:	2 4 
1193:	2 
1194:	2 
1195:	3 
1197:	2 4 
1198:	4 
1199:	4 
12:	4 
1200:	5 
1201:	1 
1202:	2 
1203:	1 
1204:	3 
1205:	5 
1206:	1 1 
1207:	2 
1208:	1 
1209:	4 
121:	3 
1210:	4 2 
1211:	2 
1212:	1 
1213:	2 1 
1214:	6 
1215:	4 2 1 1 3 1 
1216:	1 1 1 
1217:	6 
1218:	1 
1219:	2 1 1 1 3 
122:	2 3 
1220:	3 
1221:	2 4 
1222:	5 
1223:	1 4 1 
1224:	1 4 1 1 1 4 
1225:	2 
1226:	4 1 
1227:	7 
1228:	1 
1229:	3 1 
123:	1 
1230:	3 1 
1231:	5 
1232:	2 
1233:	1 
1234:	3 2 1 1 
1235:	5 4 
1236:	2 1 
1237:	1 
1238:	3 
1239:	1 6 
124:	3 
1240:	1 
1241:	1 1 
1242:	5 
1243:	9 
1244:	2 
1245:	1 
1246:	3 
1247:	1 
1248:	4 
1249:	1 
125:	4 
1250:	2 
1251:	1 
1252:	1 2 
