=== non-contiguous nft : chains ===
Found 5041 chain interruption in 3205 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

10:	1 1 4 2 2 
100:	3 2 1 1 
1000:	1 1 1 
1001:	3 2 1 
1002:	2 
1003:	1 3 
1004:	3 2 4 
1005:	2 
1006:	4 
1007:	1 1 
1008:	4 1 2 1 1 1 2 3 
1009:	1 1 1 7 3 
101:	2 2 
1010:	1 1 1 
1011:	3 1 
1012:	2 1 1 
1013:	1 1 
1014:	1 
1015:	1 5 1 1 
1016:	4 
1017:	1 6 2 1 3 2 1 1 3 2 3 
1018:	4 1 
1019:	5 1 
102:	2 2 
1020:	2 2 1 11 
1021:	2 
1022:	1 
1023:	3 6 
1024:	1 3 
1025:	2 1 1 
1026:	1 1 
1027:	1 1 1 8 
1028:	2 
1029:	2 4 1 
103:	2 
1030:	2 1 3 1 2 3 2 
1031:	2 
1032:	1 5 
1033:	1 
1034:	2 
1035:	3 1 
1036:	1 3 1 
1037:	3 1 
1038:	5 
1039:	2 
104:	4 1 1 1 2 
1040:	5 3 
1041:	3 1 
1042:	1 4 
1043:	2 4 1 1 2 4 
1044:	6 5 1 
1045:	1 1 
1046:	1 1 11 
1047:	1 
1048:	1 1 3 
1049:	1 1 
105:	4 2 
1050:	2 
1051:	1 
1052:	1 1 
1053:	1 
1054:	2 1 1 
1055:	3 
1056:	1 1 
1057:	2 
1058:	1 1 
1061:	1 
1064:	4 
1065:	4 1 3 
1066:	1 1 
1067:	1 1 1 2 
1068:	3 
1069:	1 
107:	8 3 
1070:	1 2 1 4 
1071:	2 2 
1072:	2 2 
1073:	5 1 1 1 1 
1074:	4 2 1 3 2 
1075:	1 1 1 1 
1076:	2 1 
1078:	3 2 1 
1079:	3 2 2 
108:	4 1 1 5 5 
1080:	4 1 2 1 
1082:	1 1 1 1 
1083:	3 
1084:	1 
1086:	2 1 
1087:	4 1 1 
1089:	2 4 1 1 2 3 1 
109:	1 
1090:	6 
1091:	2 2 1 
1092:	1 1 
1094:	1 1 
1095:	2 
1097:	3 2 2 
1098:	1 4 4 7 2 
1099:	1 1 
11:	4 2 
110:	5 1 1 
1100:	2 
1101:	1 
1102:	5 
1103:	2 4 12 1 3 1 3 
1104:	2 
1105:	2 
1106:	2 2 4 4 
1107:	3 1 2 5 
1108:	2 1 1 1 
1109:	1 1 3 1 1 
111:	2 
1110:	3 1 
1111:	3 2 2 1 
1112:	2 
1113:	2 
1114:	1 2 1 
1115:	1 2 
1116:	5 2 3 1 6 
1117:	2 
1118:	2 2 1 
1119:	6 2 1 1 6 7 2 4 1 1 
112:	6 1 1 3 
1120:	1 1 2 1 1 
1121:	2 
1122:	3 
1123:	2 
1124:	2 
1127:	2 
1128:	5 
1129:	4 
113:	4 1 
1130:	2 
1131:	2 1 
1132:	2 1 3 
1133:	4 
1134:	1 2 
1135:	3 
1136:	3 1 2 1 1 1 
1137:	2 2 1 
1138:	2 2 1 
1139:	1 1 
1140:	7 1 3 
1141:	3 1 1 1 
1142:	1 
1143:	2 1 
1144:	6 2 1 
1145:	3 1 3 2 3 2 5 
1146:	2 2 2 2 
1147:	8 2 1 13 2 1 4 
1148:	1 3 
1149:	1 1 3 
115:	1 3 
1155:	5 2 1 3 2 1 
1156:	1 2 1 
1157:	2 
1158:	3 1 1 
1159:	2 
116:	5 1 2 8 1 1 2 1 
1160:	3 2 1 
1161:	3 1 1 1 
1162:	2 1 
1163:	3 
1164:	2 3 
1165:	1 1 1 
1166:	3 
1167:	2 
1168:	1 2 1 1 
1169:	5 1 1 
117:	1 
1170:	1 1 1 2 
1171:	4 
1172:	1 3 1 1 1 1 1 
1173:	2 
1174:	1 
1175:	2 3 2 2 
1176:	6 
1177:	5 3 1 1 4 2 3 
1178:	7 
1179:	2 
118:	2 
1180:	3 3 2 1 2 
1181:	2 1 
1182:	2 
1183:	3 1 1 
1184:	1 2 4 
1185:	6 
1186:	1 
1187:	5 
1189:	3 
119:	4 
1190:	1 4 
1191:	2 
1192:	4 
1193:	2 1 2 2 1 
1194:	1 3 2 1 1 
1195:	4 
1196:	4 1 
1197:	2 
1198:	2 2 
1199:	4 1 2 1 3 3 2 1 
12:	4 1 1 5 
120:	4 13 
1200:	5 
1201:	3 1 2 4 
1202:	2 1 2 
1203:	2 1 10 7 1 2 
1204:	4 1 
1205:	3 
1206:	3 1 
1207:	1 
1208:	1 3 1 2 
1209:	4 1 3 1 1 
121:	3 
1210:	4 
1211:	2 
1212:	1 
1213:	3 1 1 
1214:	2 6 1 1 
1215:	3 2 2 3 
1216:	3 12 
1217:	4 1 1 1 1 
1218:	5 3 
1219:	2 1 3 3 1 2 1 1 
122:	1 2 1 3 
1220:	2 
1221:	4 2 1 
1222:	3 1 
1223:	3 
1224:	5 1 2 1 1 
1225:	3 3 1 1 1 1 
1226:	2 13 2 12 4 8 1 
1227:	2 1 
1228:	2 1 2 
1229:	2 1 
123:	1 1 1 
1230:	2 2 1 1 
1231:	1 4 
1232:	2 1 1 3 
1233:	1 1 2 1 1 1 1 
1234:	3 1 1 
1235:	3 
1236:	2 2 1 
1237:	9 1 2 
1238:	4 
1239:	2 1 
124:	2 
1240:	1 
1241:	2 3 
1242:	2 
1243:	1 1 4 
1244:	3 
1245:	2 1 
1246:	2 
1247:	3 2 
1248:	2 1 
1249:	2 
125:	2 
1250:	2 2 1 1 2 
1251:	2 2 1 2 1 
1252:	3 3 1 
1253:	2 2 
1254:	3 3 1 
1255:	3 1 
1256:	1 1 1 
1257:	2 1 
1258:	1 
1259:	4 1 2 1 1 1 
126:	2 2 2 2 2 
1260:	1 4 1 1 
1261:	1 
1262:	5 1 1 1 
1263:	3 8 
1264:	2 1 
1265:	1 
1266:	6 2 
1267:	2 
1268:	1 4 
1269:	1 2 1 
127:	2 2 1 3 2 2 
1270:	4 3 4 
1271:	1 1 1 1 
1272:	4 1 3 
1273:	4 
1274:	1 1 
1275:	2 1 
1276:	3 1 1 
1277:	2 1 3 1 
1278:	4 
1279:	1 1 1 2 1 1 2 
128:	4 1 
1280:	2 
1281:	4 2 
1282:	3 
1283:	3 1 2 
1284:	1 2 
1285:	3 
1286:	1 1 1 1 1 5 
1287:	1 
1288:	4 1 
1289:	3 1 1 2 5 
129:	3 
1290:	1 3 1 
1291:	6 
1292:	3 1 
1293:	1 2 3 1 1 
1294:	1 7 
1295:	1 4 1 1 
1296:	3 2 1 
1297:	3 2 
1298:	4 
1299:	5 1 
13:	1 
130:	1 
1300:	1 2 4 
1301:	1 
1302:	2 
1303:	1 1 2 1 2 2 1 
1304:	2 
1305:	8 
1306:	2 
1307:	2 1 1 
1308:	7 
1309:	2 1 2 
131:	3 
1310:	2 2 2 2 
1311:	2 
1312:	6 3 8 12 3 1 2 
1313:	3 
1314:	4 1 2 
1315:	4 2 
1316:	1 1 1 2 1 
1317:	1 
1318:	3 4 1 
1319:	4 3 
132:	3 
1320:	2 3 
1321:	2 2 1 
1322:	2 4 
1323:	5 2 1 1 1 1 
1324:	2 1 
1325:	2 2 1 
