=== non-contiguous nft : chains ===
Found 1510 chain interruption in 6598 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	2 
1001:	5 
1002:	2 
1004:	4 1 
1006:	1 
1007:	2 
1008:	2 2 
1009:	3 
101:	3 
1010:	1 
1011:	1 1 
1013:	1 
1014:	2 
1015:	1 
1016:	2 
1017:	1 
1018:	2 
1021:	2 
1022:	3 
1025:	3 
1026:	1 
1027:	1 
1028:	3 
1029:	1 
103:	3 
1030:	4 
1031:	1 
1032:	1 
1033:	3 
1034:	1 
1036:	1 
1037:	2 
1039:	1 1 
1041:	4 
1042:	1 
1043:	3 
1044:	1 
1046:	4 2 
1047:	1 
1049:	2 
1054:	1 
1055:	2 
1057:	1 
1058:	2 
1059:	2 
106:	1 1 
1060:	1 2 
1061:	3 
1062:	1 
1063:	2 
1065:	3 3 
1066:	2 2 1 
1067:	1 
1068:	2 
1069:	2 2 1 
1070:	4 
1072:	3 
1073:	1 
1074:	1 
1075:	4 
1078:	1 
1079:	3 1 1 1 
108:	1 2 
1080:	5 
1081:	2 
1083:	1 
1085:	5 
1086:	1 2 
1087:	1 
1088:	1 
1089:	5 
109:	5 
1090:	2 
1091:	2 
1092:	2 
1093:	2 
1095:	3 
1096:	2 
1098:	3 
1099:	4 
1100:	1 
1101:	2 
1102:	1 6 
1103:	3 2 
1104:	1 
1105:	1 1 
1106:	1 
1107:	8 
1108:	3 1 
1109:	3 
1110:	1 
1111:	1 
1112:	1 
1113:	3 
1118:	4 1 
112:	2 1 3 1 
1120:	4 
1121:	5 
1122:	1 
1123:	2 
1124:	2 
1125:	2 2 3 
1126:	1 
1128:	4 
1129:	4 
113:	4 
1130:	2 
1131:	1 
1132:	2 
1133:	3 
1135:	1 2 
1136:	1 
1137:	9 
1138:	1 
1139:	1 
114:	1 4 
1141:	4 
1143:	1 1 
1144:	2 
1145:	4 
1146:	2 
1147:	3 1 
1148:	3 
1149:	1 
