=== non-contiguous nft : chains ===
Found 3615 chain interruption in 9265 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
1:	2 
10:	3 
100:	2 
1000:	1 
1001:	6 
1002:	3 
1003:	5 
1004:	2 1 
1005:	2 2 
1006:	1 
1007:	3 2 
1008:	2 
1009:	3 
101:	1 
1010:	3 
1011:	3 
1012:	3 
1013:	1 
1014:	1 
1015:	2 
1016:	4 
1017:	4 1 
1018:	4 
1019:	5 1 2 
102:	7 
1020:	1 
1021:	1 1 3 
1022:	1 
1023:	2 
1024:	3 
1025:	2 
1026:	6 
1027:	10 
1028:	3 1 
1029:	1 
103:	2 1 
1030:	4 
1031:	5 
1032:	1 
1033:	1 1 
1034:	4 
1035:	2 1 
1036:	4 
1037:	2 2 
1038:	4 1 
1039:	1 
104:	1 
1040:	3 2 
1041:	3 
1042:	2 1 
1043:	1 3 
1044:	1 
1045:	3 
1046:	2 
1048:	3 
1049:	3 
105:	1 
1050:	2 
1051:	1 
1052:	1 1 
1053:	1 
1054:	6 
1055:	3 
1056:	1 2 
1057:	1 2 
1058:	3 
1059:	6 
106:	2 
1060:	2 1 
1061:	1 
1062:	4 
1063:	3 2 
1064:	4 
1065:	2 
1066:	1 1 1 1 
1067:	3 
1068:	7 
1069:	3 
1070:	1 1 1 
1071:	6 
1072:	1 
1073:	2 1 
1074:	6 1 
1075:	2 
1076:	3 
1077:	5 
1078:	2 
1079:	2 1 
1080:	2 
1081:	3 
1082:	2 
1083:	4 
1084:	4 
1085:	4 
1086:	3 
1087:	3 
1088:	4 
1089:	1 2 
1090:	3 
1091:	1 2 
1092:	1 1 
1093:	1 
1094:	1 
1095:	4 
1096:	2 
1097:	3 
1098:	4 
1099:	5 1 2 1 2 
11:	5 
110:	2 
1100:	1 
1101:	1 
1102:	2 
1103:	3 
1104:	3 
1105:	1 
1106:	1 
1108:	1 
1109:	2 
1110:	1 1 
1111:	3 1 
1112:	6 1 
1113:	1 
1114:	3 2 
1115:	6 
1116:	3 
1117:	2 1 
1118:	2 
1119:	3 
112:	1 1 1 
1120:	1 
1121:	3 
1122:	2 
1123:	7 
1124:	1 
1125:	1 
1126:	3 
1127:	1 
1128:	10 
1129:	1 
113:	2 2 1 
1130:	5 1 
1131:	3 1 1 
1132:	1 5 1 
1134:	4 2 
1135:	5 
1136:	8 
1137:	4 1 
1138:	4 
1139:	2 
114:	2 
1140:	5 
1141:	2 6 
1142:	1 
1143:	2 
1144:	1 2 
1145:	1 
1146:	1 
1147:	1 1 
1148:	2 
1149:	2 
115:	2 
1150:	1 
1151:	6 
1152:	6 
1153:	4 
1154:	1 
1155:	5 
1156:	3 1 
1157:	4 
1158:	3 
1159:	2 
116:	6 2 1 
1160:	4 1 
1162:	1 
1163:	3 
1164:	3 2 1 
1165:	5 
1166:	5 
