=== non-contiguous nft : chains ===
Found 5126 chain interruption in 9179 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10:	1 2 3 
100:	1 
1000:	1 
1001:	6 
1002:	4 
1003:	3 
1004:	1 3 
1005:	2 1 3 
1006:	5 
1007:	2 
1008:	1 
1009:	4 1 1 
101:	2 
1010:	6 
1011:	4 
1012:	1 
1013:	3 
1014:	1 3 2 
1015:	3 6 
1016:	2 
1017:	7 
1018:	2 3 
1019:	2 1 
102:	2 1 
1020:	1 1 
1021:	2 2 2 
1022:	8 
1023:	11 
1024:	2 
1025:	5 
1026:	4 
1027:	1 1 
1028:	2 
1029:	5 
103:	2 
1030:	5 
1031:	22 
1032:	3 8 
1035:	4 3 
1036:	3 
1037:	2 
1038:	1 
1039:	2 
104:	2 
1040:	2 
1041:	3 
1042:	6 
1043:	5 2 
1044:	3 
1045:	1 1 
1046:	7 
1047:	1 
1048:	5 
105:	2 1 4 
1050:	2 
1051:	2 2 
1052:	6 
1053:	2 
1054:	6 
1055:	4 
1056:	2 5 
1057:	1 3 
1058:	2 
1059:	2 2 
106:	4 
1060:	3 
1061:	1 2 4 
1062:	2 1 1 6 
1063:	9 
1066:	6 
1067:	4 1 8 
1068:	3 
1069:	12 2 
107:	5 
1070:	5 
1071:	1 
1072:	7 
1073:	3 
1074:	5 5 
1075:	2 
1076:	1 3 
1077:	1 
1078:	1 3 1 3 1 
1079:	4 2 
108:	4 
1080:	9 
1081:	1 
1082:	2 1 2 1 
1083:	1 1 6 
1084:	2 2 
1085:	2 1 
1086:	4 
1087:	2 2 4 
1088:	4 
1089:	4 
109:	2 
1090:	2 
1091:	3 
1092:	1 13 1 5 
1093:	6 
1094:	4 
1095:	7 
1096:	4 
1098:	2 
1099:	1 1 
11:	1 1 1 3 
110:	1 
1100:	3 
1101:	3 
1102:	8 
1103:	2 
1104:	1 2 1 
1105:	2 2 
1106:	1 
1107:	3 
1108:	3 
1109:	3 4 
111:	4 
1110:	4 1 
1111:	1 
1112:	4 2 1 
1114:	1 1 2 
1115:	3 
1116:	1 1 2 
1117:	1 
1118:	1 
1120:	1 
1121:	2 
1122:	4 4 2 
1123:	1 1 2 
1124:	4 2 
1125:	2 
1126:	5 
1127:	5 
1128:	5 
1129:	9 
113:	4 4 
1130:	1 11 
1131:	2 2 
1132:	1 3 
1133:	7 4 
1134:	2 
1135:	1 1 9 
1136:	1 2 2 5 
1137:	2 1 
1138:	4 
1139:	1 1 1 2 
114:	3 6 
1140:	3 
1141:	2 
1142:	1 4 
1143:	9 
1144:	2 
1145:	2 
1146:	3 
1147:	2 
1148:	4 
1149:	1 
115:	2 
1150:	1 2 3 
1151:	7 
1152:	6 
1153:	2 
1155:	3 
1157:	1 
1158:	4 1 
1159:	1 7 3 
116:	1 
1160:	2 
1161:	6 
1162:	10 
1163:	6 
1164:	6 3 
1165:	4 
1166:	1 1 
1167:	1 1 
1168:	3 2 
1169:	7 
117:	3 
1170:	6 
1171:	4 6 
1172:	5 1 
