=== non-contiguous nft : chains ===
Found 4810 chain interruption in 9286 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

100:	1 
1000:	2 1 
1001:	2 1 1 
1002:	1 
1003:	3 
1004:	4 5 
1005:	3 
1006:	4 
1007:	1 
1008:	3 1 
1009:	5 
101:	2 3 2 
1010:	3 2 1 
1011:	5 1 
1012:	2 
1013:	1 
1014:	4 
1015:	3 1 
1016:	1 
1017:	1 
1018:	6 
1019:	1 1 
102:	2 
1020:	4 
1021:	3 
1022:	1 
1023:	4 
1024:	7 
1025:	1 
1026:	4 3 2 1 1 
1027:	3 
1028:	2 
1029:	3 
103:	3 
1030:	6 1 
1031:	1 
1032:	3 1 1 
1033:	2 2 2 
1035:	1 1 1 1 
1036:	1 
1037:	2 
1038:	7 
1039:	9 
104:	5 
1040:	4 
1041:	4 
1042:	2 
1043:	6 1 1 2 1 2 
1044:	3 
1045:	5 
1046:	2 
1047:	4 
1048:	2 
1049:	2 
105:	1 
1050:	1 1 1 
1051:	7 2 6 
1052:	2 1 
1053:	4 1 
1054:	2 5 
1055:	1 
1056:	2 
1057:	2 
1058:	1 1 
1059:	3 4 2 
106:	4 1 
1060:	2 
1061:	3 2 1 
1062:	1 3 
1063:	4 2 
1064:	4 
1065:	1 4 
1066:	4 3 1 
1067:	1 
1068:	4 
1069:	2 
107:	3 1 3 
1070:	3 
1071:	1 1 
1072:	2 
1073:	6 
1074:	5 1 
1075:	2 
1076:	2 
1077:	4 3 
1078:	3 1 
1079:	1 
108:	1 
1080:	1 
1081:	2 2 
1082:	1 
1083:	2 2 
1084:	1 
1085:	2 3 
1086:	3 2 1 1 
1087:	5 
1088:	1 
1089:	2 
109:	5 
1090:	4 
1091:	2 
1092:	2 
1093:	7 
1094:	2 
1095:	1 1 
1096:	5 
1097:	3 
1098:	6 
1099:	8 
110:	4 
1100:	2 
1101:	3 
1102:	2 
1103:	2 2 
1104:	4 
1105:	5 4 
1106:	4 
