=== non-contiguous nft : chains ===
Found 1026 chain interruption in 5786 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

0:	1 
100:	3 
1000:	2 
1001:	1 
1002:	3 
1008:	2 
1009:	1 
1010:	1 
1012:	1 
1013:	1 1 
1014:	1 
1015:	1 3 1 
102:	1 
1024:	2 
1026:	2 
1027:	2 
1029:	2 1 
103:	3 
1030:	5 
1031:	4 
1034:	4 
1035:	1 2 
1036:	1 
1037:	1 
1038:	3 
1040:	1 
1041:	1 
1044:	1 
1045:	2 
1047:	1 
1048:	2 1 
1049:	2 
1050:	2 
1051:	4 1 
1052:	2 
1053:	1 
1054:	1 
106:	2 
1060:	1 
1061:	1 
1062:	1 
1063:	4 
1064:	3 
1065:	1 
1066:	1 
1068:	1 
107:	1 
1072:	1 
1073:	2 
1074:	2 
1075:	3 1 
1076:	2 
1077:	1 
1080:	2 
1081:	1 
1082:	1 
1083:	2 
1084:	3 1 1 
1085:	1 
1086:	3 
1089:	1 
109:	1 
1090:	1 
1091:	1 
1092:	2 
1093:	3 
1094:	1 
1097:	3 
1099:	3 
110:	1 
1100:	1 
1101:	1 
1102:	2 
1103:	1 
1104:	2 
1105:	2 
1106:	1 
1108:	1 1 1 
1109:	2 
111:	1 
1110:	2 1 
1111:	1 2 
1112:	2 
1113:	1 
1114:	1 
1115:	1 
1116:	2 
1118:	1 
1119:	3 
112:	1 
1120:	2 1 
1121:	3 
1122:	2 
1123:	1 
1124:	1 
1125:	1 
1127:	1 
113:	1 
1133:	1 1 
1134:	2 
1135:	1 1 1 
1136:	6 
1137:	1 
1139:	2 
114:	1 
1140:	2 
1141:	2 
1142:	3 
1143:	2 
1144:	1 
1145:	1 
1146:	1 
1147:	2 
1148:	2 
1149:	1 
115:	5 
1162:	1 
1163:	1 
1164:	1 
117:	1 1 
1171:	3 
1178:	1 
1179:	1 
118:	1 
1180:	1 
1181:	1 
1182:	1 
1183:	3 
1184:	1 
1185:	2 
1186:	1 
1187:	1 1 
119:	1 
1190:	1 
1191:	3 
1192:	5 
1193:	2 
1194:	3 
1195:	1 
1197:	2 
1198:	1 
1199:	1 
120:	1 
1201:	1 
1206:	1 
1208:	1 
1209:	1 
121:	2 
1210:	1 
1211:	1 
1212:	1 
1213:	3 
1214:	1 
1215:	1 
1216:	1 
1217:	2 
122:	1 
1220:	2 
1221:	1 
1222:	1 1 
1223:	2 
1224:	1 
1225:	2 
1228:	1 1 
1229:	2 
123:	2 
1230:	3 4 
1231:	1 1 
1232:	5 
1233:	2 
1234:	1 
1235:	2 
1236:	1 
1237:	2 
1238:	1 
1239:	1 1 
124:	1 
1240:	1 2 
1241:	1 1 
1242:	2 
125:	3 
1251:	1 1 
1252:	6 
1253:	2 
1255:	1 
1256:	2 
1257:	1 1 
1258:	1 
126:	2 
1260:	1 
