=== non-contiguous nft : chains ===
Found 16364 chain interruption in 17032 different nfts
nft:	 contiguousTransactionCount1 contiguousTransactionCount2 ...

1:	1 
10001:	1 1 
10002:	5 
10003:	7 2 4 4 
10004:	2 3 
10005:	9 
10006:	1 
10007:	1 
10008:	1 1 
10009:	11 
1001:	4 
10010:	3 2 
10011:	2 
10012:	5 
10013:	1 1 
10014:	1 
10015:	1 
10016:	4 
10017:	2 9 
10018:	1 1 
10019:	4 
1002:	2 
10020:	1 
10021:	2 1 
10022:	1 
10023:	5 
10024:	1 8 
10025:	8 
10026:	2 
10027:	1 1 
10028:	1 1 3 
10029:	5 1 
1003:	1 2 2 
10030:	2 
10031:	1 
10032:	1 1 3 
10033:	1 
10034:	3 2 1 2 
10035:	5 
10036:	2 
10037:	2 
10038:	1 1 
10039:	2 
10040:	12 7 
10041:	2 1 1 2 
10042:	3 1 
10043:	1 
10044:	2 
10045:	7 
10046:	2 
10047:	1 1 2 
1005:	5 1 
10050:	1 1 6 
10051:	2 1 2 1 
10052:	1 
10053:	4 1 
10054:	2 2 
10055:	1 
10056:	1 
10057:	4 2 2 
10058:	3 1 1 2 
10059:	3 1 
10060:	1 
10061:	1 
10062:	3 
10063:	3 11 
10064:	2 
10065:	2 
10066:	1 
10067:	2 2 2 
10068:	4 
10069:	3 1 3 
10070:	2 
10071:	2 1 1 
10072:	2 
10073:	1 
10074:	3 
10075:	1 1 2 1 4 1 
10076:	1 1 1 
10077:	4 3 
10078:	3 1 
10079:	4 5 
10080:	3 1 7 2 
10081:	3 
10083:	2 
10084:	3 
10085:	2 4 2 
10086:	2 1 1 2 
10087:	3 
10088:	6 
10089:	1 
1009:	2 
10090:	3 3 1 2 
10091:	1 1 1 2 4 
10095:	5 
10097:	1 
1010:	6 5 1 6 
10102:	3 
10108:	11 3 
10109:	5 2 5 
10110:	1 
10111:	1 1 
10112:	3 1 
10113:	2 2 1 1 
10114:	1 
10115:	1 
10116:	1 1 4 
10117:	1 
10118:	1 
10119:	1 
1012:	2 
10120:	1 2 2 1 
10121:	1 1 
10122:	1 
10123:	3 1 1 1 1 
10124:	2 
10125:	2 
10126:	2 1 
10127:	1 1 
10128:	1 1 3 3 
10129:	1 
10130:	1 1 1 1 
10131:	1 
10132:	11 2 2 
10133:	2 
10134:	3 3 6 2 
10135:	4 14 3 
10136:	2 
10137:	2 1 5 
10138:	1 1 
10139:	2 7 6 1 14 2 1 
10140:	11 2 1 1 3 1 1 
10141:	2 
10143:	1 
10145:	2 1 2 2 
10146:	5 
10147:	1 
10148:	2 
10149:	1 
1015:	1 3 
10151:	2 
10152:	10 2 9 
10155:	5 3 
10156:	2 
10157:	2 2 
10158:	2 3 
10159:	1 
1016:	1 
10160:	4 
10161:	2 1 1 
10162:	3 
10163:	5 3 1 1 
10165:	1 
10166:	1 1 2 
10167:	2 
10168:	4 
10169:	4 1 2 2 
10170:	2 1 
10171:	7 
10172:	4 
10173:	3 
10174:	2 
10175:	3 5 
10176:	3 1 
10177:	2 
10178:	2 
